WP_003009553.1	lcl|NZ_AOVR01000084.1_cds_WP_000340715.1_1975	91.398	93	106
WP_003009527.1	lcl|NZ_AOVR01000084.1_cds_WP_000410273.1_1974	90.764	314	321
WP_003009527.1	lcl|NZ_AOVR01000084.1_cds_WP_000093099.1_1954	58.730	63	321
WP_003009527.1	lcl|NZ_AOVR01000084.1_cds_WP_000646250.1_1971	27.239	268	321
WP_003009527.1	lcl|NZ_AOVR01000119.1_cds_WP_000744700.1_2990	22.769	325	321
WP_003009527.1	lcl|NZ_AOVR01000084.1_cds_WP_000600889.1_1945	23.656	186	321
WP_003009527.1	lcl|NZ_AOVR01000084.1_cds_WP_000723090.1_1892	22.887	284	321
WP_003009527.1	lcl|NZ_AOVR01000084.1_cds_WP_001067557.1_1968	25.382	327	321
WP_003009854.1	lcl|NZ_AOVR01000084.1_cds_WP_000604524.1_1973	84.384	365	365
WP_003009869.1	lcl|NZ_AOVR01000084.1_cds_WP_000884059.1_1972	91.892	185	185
WP_003009869.1	lcl|NZ_AOVR01000086.1_cds_WP_000351733.1_2054	38.571	140	185
WP_003009535.1	lcl|NZ_AOVR01000084.1_cds_WP_000646250.1_1971	92.097	329	329
WP_003009535.1	lcl|NZ_AOVR01000119.1_cds_WP_000744700.1_2990	32.595	316	329
WP_003009535.1	lcl|NZ_AOVR01000084.1_cds_WP_000600889.1_1945	31.975	319	329
WP_003009535.1	lcl|NZ_AOVR01000084.1_cds_WP_000723090.1_1892	30.448	335	329
WP_003009535.1	lcl|NZ_AOVR01000015.1_cds_WP_001984071.1_298	32.248	307	329
WP_003009535.1	lcl|NZ_AOVR01000103.1_cds_WP_000649925.1_2549	30.341	323	329
WP_003009535.1	lcl|NZ_AOVR01000037.1_cds_WP_000709511.1_761	29.003	331	329
WP_003009535.1	lcl|NZ_AOVR01000084.1_cds_WP_000601375.1_1918	25.993	277	329
WP_003009535.1	lcl|NZ_AOVR01000084.1_cds_WP_001067557.1_1968	28.105	306	329
WP_003009535.1	lcl|NZ_AOVR01000085.1_cds_WP_000688695.1_1985	27.811	338	329
WP_003009535.1	lcl|NZ_AOVR01000084.1_cds_WP_000410273.1_1974	26.101	318	329
WP_003009535.1	lcl|NZ_AOVR01000084.1_cds_WP_000475904.1_1909	27.899	276	329
