WP_003009553.1	lcl|NZ_ANCF01000019.1_cds_WP_000340715.1_437	91.398	93	106
WP_003009527.1	lcl|NZ_ANCF01000019.1_cds_WP_000410273.1_436	90.764	314	321
WP_003009527.1	lcl|NZ_ANCF01000019.1_cds_WP_000646255.1_433	27.239	268	321
WP_003009527.1	lcl|NZ_ANCF01000193.1_cds_WP_000744695.1_3694	22.769	325	321
WP_003009527.1	lcl|NZ_ANCF01000180.1_cds_WP_000649929.1_3486	26.269	335	321
WP_003009527.1	lcl|NZ_ANCF01000135.1_cds_WP_000600891.1_2804	23.656	186	321
WP_003009527.1	lcl|NZ_ANCF01000135.1_cds_WP_000723081.1_2752	22.887	284	321
WP_003009527.1	lcl|NZ_ANCF01000019.1_cds_WP_001067557.1_430	25.382	327	321
WP_003009854.1	lcl|NZ_ANCF01000019.1_cds_WP_000604524.1_435	84.384	365	365
WP_003009869.1	lcl|NZ_ANCF01000019.1_cds_WP_000884059.1_434	91.892	185	185
WP_003009869.1	lcl|NZ_ANCF01000102.1_cds_WP_000351733.1_1965	38.571	140	185
WP_003009535.1	lcl|NZ_ANCF01000019.1_cds_WP_000646255.1_433	91.793	329	329
WP_003009535.1	lcl|NZ_ANCF01000193.1_cds_WP_000744695.1_3694	32.595	316	329
WP_003009535.1	lcl|NZ_ANCF01000135.1_cds_WP_000600891.1_2804	31.975	319	329
WP_003009535.1	lcl|NZ_ANCF01000135.1_cds_WP_000723081.1_2752	30.149	335	329
WP_003009535.1	lcl|NZ_ANCF01000127.1_cds_WP_002064390.1_2589	31.922	307	329
WP_003009535.1	lcl|NZ_ANCF01000180.1_cds_WP_000649929.1_3486	30.341	323	329
WP_003009535.1	lcl|NZ_ANCF01000127.1_cds_WP_000709511.1_2579	29.003	331	329
WP_003009535.1	lcl|NZ_ANCF01000135.1_cds_WP_000601375.1_2777	25.993	277	329
WP_003009535.1	lcl|NZ_ANCF01000019.1_cds_WP_001067557.1_430	28.105	306	329
WP_003009535.1	lcl|NZ_ANCF01000127.1_cds_WP_000688698.1_2609	27.811	338	329
WP_003009535.1	lcl|NZ_ANCF01000019.1_cds_WP_000410273.1_436	26.101	318	329
WP_003009535.1	lcl|NZ_ANCF01000135.1_cds_WP_000475897.1_2769	27.899	276	329
WP_003009535.1	lcl|NZ_ANCF01000060.1_cds_WP_001074779.1_1264	27.273	275	329
WP_003009535.1	lcl|NZ_ANCF01000068.1_cds_WP_001003563.1_1447	25.301	332	329
WP_003009535.1	lcl|NZ_ANCF01000135.1_cds_WP_000487319.1_2779	27.027	296	329
WP_003009795.1	lcl|NZ_ANCF01000019.1_cds_WP_000774259.1_432	81.648	267	267
WP_003009795.1	lcl|NZ_ANCF01000135.1_cds_WP_000800439.1_2799	26.923	234	267
WP_003009795.1	lcl|NZ_ANCF01000135.1_cds_WP_000859505.1_2780	27.049	244	267
WP_003009795.1	lcl|NZ_ANCF01000188.1_cds_WP_000667727.1_3610	28.866	194	267
WP_003009795.1	lcl|NZ_ANCF01000135.1_cds_WP_000842260.1_2751	26.316	190	267
WP_003009795.1	lcl|NZ_ANCF01000196.1_cds_WP_000805357.1_3856	33.735	83	267
WP_003009515.1	lcl|NZ_ANCF01000019.1_cds_WP_000612799.1_431	87.205	508	509
WP_003009515.1	lcl|NZ_ANCF01000125.1_cds_WP_000291581.1_2565	26.032	315	509
