WP_003009553.1	lcl|NZ_AOVO01000023.1_cds_WP_000340715.1_360	91.398	93	106
WP_003009527.1	lcl|NZ_AOVO01000023.1_cds_WP_000410273.1_361	90.764	314	321
WP_003009527.1	lcl|NZ_AOVO01000023.1_cds_WP_000093099.1_381	58.730	63	321
WP_003009527.1	lcl|NZ_AOVO01000023.1_cds_WP_000646250.1_364	27.239	268	321
WP_003009527.1	lcl|NZ_AOVO01000145.1_cds_WP_000744700.1_3551	22.769	325	321
WP_003009527.1	lcl|NZ_AOVO01000023.1_cds_WP_000600889.1_390	23.656	186	321
WP_003009527.1	lcl|NZ_AOVO01000023.1_cds_WP_000723090.1_443	22.887	284	321
WP_003009527.1	lcl|NZ_AOVO01000023.1_cds_WP_001067557.1_367	25.382	327	321
WP_003009854.1	lcl|NZ_AOVO01000023.1_cds_WP_000604524.1_362	84.384	365	365
WP_003009869.1	lcl|NZ_AOVO01000023.1_cds_WP_000884059.1_363	91.892	185	185
WP_003009869.1	lcl|NZ_AOVO01000143.1_cds_WP_000351733.1_3350	38.571	140	185
WP_003009535.1	lcl|NZ_AOVO01000023.1_cds_WP_000646250.1_364	92.097	329	329
WP_003009535.1	lcl|NZ_AOVO01000145.1_cds_WP_000744700.1_3551	32.595	316	329
WP_003009535.1	lcl|NZ_AOVO01000023.1_cds_WP_000600889.1_390	31.975	319	329
WP_003009535.1	lcl|NZ_AOVO01000023.1_cds_WP_000723090.1_443	30.448	335	329
WP_003009535.1	lcl|NZ_AOVO01000040.1_cds_WP_001984071.1_824	32.248	307	329
WP_003009535.1	lcl|NZ_AOVO01000106.1_cds_WP_000649925.1_2381	30.341	323	329
WP_003009535.1	lcl|NZ_AOVO01000033.1_cds_WP_000709511.1_699	29.003	331	329
WP_003009535.1	lcl|NZ_AOVO01000023.1_cds_WP_000601375.1_417	25.993	277	329
WP_003009535.1	lcl|NZ_AOVO01000023.1_cds_WP_001067557.1_367	28.105	306	329
WP_003009535.1	lcl|NZ_AOVO01000138.1_cds_WP_000688695.1_3252	27.811	338	329
WP_003009535.1	lcl|NZ_AOVO01000023.1_cds_WP_000410273.1_361	26.101	318	329
WP_003009535.1	lcl|NZ_AOVO01000023.1_cds_WP_000475904.1_426	27.899	276	329
WP_003009535.1	lcl|NZ_AOVO01000053.1_cds_WP_001074785.1_1258	27.636	275	329
WP_003009535.1	lcl|NZ_AOVO01000081.1_cds_WP_001003555.1_1749	26.036	338	329
WP_003009535.1	lcl|NZ_AOVO01000023.1_cds_WP_000487322.1_415	25.939	293	329
WP_003009795.1	lcl|NZ_AOVO01000023.1_cds_WP_000774262.1_365	81.648	267	267
WP_003009795.1	lcl|NZ_AOVO01000023.1_cds_WP_000800438.1_395	26.923	234	267
WP_003009795.1	lcl|NZ_AOVO01000023.1_cds_WP_000859505.1_414	27.049	244	267
WP_003009795.1	lcl|NZ_AOVO01000067.1_cds_WP_000667727.1_1398	28.866	194	267
WP_003009795.1	lcl|NZ_AOVO01000023.1_cds_WP_000842260.1_444	26.316	190	267
WP_003009795.1	lcl|NZ_AOVO01000107.1_cds_WP_000805357.1_2397	33.735	83	267
WP_003009515.1	lcl|NZ_AOVO01000023.1_cds_WP_000612797.1_366	87.992	508	509
