WP_002764162.1	lcl|NZ_AHPV01000249.1_cds_WP_000340715.1_453	93.902	82	106
WP_004279997.1	lcl|NZ_AHPV01000249.1_cds_WP_000712240.1_452	91.935	310	327
WP_004279997.1	lcl|NZ_AHPV01000249.1_cds_WP_000646251.1_449	27.778	252	327
WP_004279997.1	lcl|NZ_AHPV01000080.1_cds_WP_000744700.1_2402	22.936	327	327
WP_004279997.1	lcl|NZ_AHPV01000249.1_cds_WP_000600886.1_418	23.656	186	327
WP_004279997.1	lcl|NZ_AHPV01000249.1_cds_WP_000723084.1_362	22.759	290	327
WP_004279997.1	lcl|NZ_AHPV01000249.1_cds_WP_000025488.1_424	21.779	326	327
WP_004279997.1	lcl|NZ_AHPV01000249.1_cds_WP_001067556.1_446	24.847	326	327
WP_004279997.1	lcl|NZ_AHPV01000055.1_cds_WP_001984071.1_2933	23.529	306	327
WP_004280069.1	lcl|NZ_AHPV01000249.1_cds_WP_000202827.1_406	42.210	353	361
WP_004280807.1	lcl|NZ_AHPV01000249.1_cds_WP_000282880.1_366	29.787	235	220
WP_004280807.1	lcl|NZ_AHPV01000209.1_cds_WP_001099029.1_523	26.906	223	220
WP_004280807.1	lcl|NZ_AHPV01000249.1_cds_WP_001068983.1_388	30.435	92	220
WP_004280807.1	lcl|NZ_AHPV01000091.1_cds_WP_000840860.1_2165	29.808	104	220
WP_004280807.1	lcl|NZ_AHPV01000042.1_cds_WP_000868621.1_3345	29.670	91	220
WP_004280807.1	lcl|NZ_AHPV01000249.1_cds_WP_001114274.1_359	26.136	176	220
WP_004280807.1	lcl|NZ_AHPV01000082.1_cds_WP_000262845.1_2348	24.638	207	220
WP_004280570.1	lcl|NZ_AHPV01000249.1_cds_WP_001230567.1_415	35.693	339	354
WP_004280570.1	lcl|NZ_AHPV01000249.1_cds_WP_000582622.1_409	34.049	326	354
WP_004280570.1	lcl|NZ_AHPV01000185.1_cds_WP_001011670.1_684	33.569	283	354
WP_004280570.1	lcl|NZ_AHPV01000249.1_cds_WP_001230567.1_415	35.693	339	354
WP_004280570.1	lcl|NZ_AHPV01000249.1_cds_WP_000582622.1_409	34.049	326	354
WP_004280570.1	lcl|NZ_AHPV01000185.1_cds_WP_001011670.1_684	33.569	283	354
WP_004280623.1	lcl|NZ_AHPV01000052.1_cds_WP_001014583.1_2986	28.365	208	230
