WP_002764162.1	lcl|NZ_AFKQ01000031.1_cds_WP_000340715.1_3322	93.902	82	106
WP_004279997.1	lcl|NZ_AFKQ01000031.1_cds_WP_000410273.1_3323	91.613	310	327
WP_004279997.1	lcl|NZ_AFKQ01000031.1_cds_WP_000093099.1_3343	58.730	63	327
WP_004279997.1	lcl|NZ_AFKQ01000031.1_cds_WP_000646252.1_3326	28.175	252	327
WP_004279997.1	lcl|NZ_AFKQ01000029.1_cds_WP_000744700.1_3437	22.936	327	327
WP_004279997.1	lcl|NZ_AFKQ01000031.1_cds_WP_000600889.1_3352	23.656	186	327
WP_004279997.1	lcl|NZ_AFKQ01000036.1_cds_WP_000723090.1_3205	22.414	290	327
WP_004279997.1	lcl|NZ_AFKQ01000031.1_cds_WP_001067557.1_3329	24.847	326	327
WP_004279997.1	lcl|NZ_AFKQ01000125.1_cds_WP_001984071.1_1694	23.529	306	327
WP_004280069.1	lcl|NZ_AFKQ01000031.1_cds_WP_000202830.1_3362	42.210	353	361
WP_004280807.1	lcl|NZ_AFKQ01000036.1_cds_WP_000282880.1_3201	29.787	235	220
WP_004280807.1	lcl|NZ_AFKQ01000061.1_cds_WP_001099029.1_2570	26.906	223	220
WP_004280807.1	lcl|NZ_AFKQ01000031.1_cds_WP_001068986.1_3380	30.435	92	220
WP_004280807.1	lcl|NZ_AFKQ01000120.1_cds_WP_000840858.1_1733	29.808	104	220
WP_004280807.1	lcl|NZ_AFKQ01000046.1_cds_WP_000868621.1_2893	29.670	91	220
WP_004280807.1	lcl|NZ_AFKQ01000006.1_cds_WP_000262844.1_3705	24.638	207	220
WP_004280807.1	lcl|NZ_AFKQ01000036.1_cds_WP_001114267.1_3208	26.136	176	220
WP_004280570.1	lcl|NZ_AFKQ01000031.1_cds_WP_001230564.1_3355	35.988	339	354
WP_004280570.1	lcl|NZ_AFKQ01000031.1_cds_WP_000582618.1_3359	33.742	326	354
WP_004280570.1	lcl|NZ_AFKQ01000163.1_cds_WP_001011675.1_1460	33.898	295	354
WP_004280570.1	lcl|NZ_AFKQ01000031.1_cds_WP_001230564.1_3355	35.988	339	354
WP_004280570.1	lcl|NZ_AFKQ01000031.1_cds_WP_000582618.1_3359	33.742	326	354
WP_004280570.1	lcl|NZ_AFKQ01000163.1_cds_WP_001011675.1_1460	33.898	295	354
WP_004280623.1	lcl|NZ_AFKQ01000260.1_cds_WP_001014594.1_430	28.365	208	230
WP_004280623.1	lcl|NZ_AFKQ01000114.1_cds_WP_000721859.1_1840	30.000	110	230
WP_004280359.1	lcl|NZ_AFKQ01000031.1_cds_WP_000698819.1_3365	41.857	614	599
WP_004280004.1	lcl|NZ_AFKQ01000031.1_cds_WP_000582222.1_3341	38.211	246	387
WP_004280004.1	lcl|NZ_AFKQ01000299.1_cds_WP_001281953.1_295	32.172	373	387
WP_004280004.1	lcl|NZ_AFKQ01000031.1_cds_WP_000608295.1_3331	34.322	236	387
WP_004280004.1	lcl|NZ_AFKQ01000031.1_cds_WP_000947844.1_3353	31.559	263	387
