WP_002764162.1	lcl|NZ_AHPT01000133.1_cds_WP_000340715.1_1727	93.902	82	106
WP_004279997.1	lcl|NZ_AHPT01000133.1_cds_WP_000712240.1_1726	91.935	310	327
WP_004279997.1	lcl|NZ_AHPT01000133.1_cds_WP_000646251.1_1723	27.778	252	327
WP_004279997.1	lcl|NZ_AHPT01000047.1_cds_WP_000744700.1_3237	22.936	327	327
WP_004279997.1	lcl|NZ_AHPT01000133.1_cds_WP_000600886.1_1695	23.656	186	327
WP_004279997.1	lcl|NZ_AHPT01000068.1_cds_WP_000723084.1_2752	22.759	290	327
WP_004279997.1	lcl|NZ_AHPT01000133.1_cds_WP_000025488.1_1701	21.779	326	327
WP_004279997.1	lcl|NZ_AHPT01000133.1_cds_WP_001067556.1_1720	24.847	326	327
WP_004279997.1	lcl|NZ_AHPT01000056.1_cds_WP_001984071.1_2946	23.529	306	327
WP_004280069.1	lcl|NZ_AHPT01000133.1_cds_WP_000202827.1_1683	42.210	353	361
WP_004280807.1	lcl|NZ_AHPT01000068.1_cds_WP_000282880.1_2756	29.787	235	220
WP_004280807.1	lcl|NZ_AHPT01000272.1_cds_WP_001099029.1_14	26.906	223	220
WP_004280807.1	lcl|NZ_AHPT01000133.1_cds_WP_001068983.1_1665	30.435	92	220
WP_004280807.1	lcl|NZ_AHPT01000146.1_cds_WP_000840860.1_1346	29.808	104	220
WP_004280807.1	lcl|NZ_AHPT01000076.1_cds_WP_000868621.1_2578	29.670	91	220
WP_004280807.1	lcl|NZ_AHPT01000068.1_cds_WP_001114274.1_2749	26.136	176	220
WP_004280807.1	lcl|NZ_AHPT01000050.1_cds_WP_000262845.1_3089	24.638	207	220
WP_004280570.1	lcl|NZ_AHPT01000133.1_cds_WP_001230567.1_1692	35.693	339	354
WP_004280570.1	lcl|NZ_AHPT01000133.1_cds_WP_000582622.1_1686	34.049	326	354
WP_004280570.1	lcl|NZ_AHPT01000138.1_cds_WP_001011670.1_1540	33.569	283	354
WP_004280570.1	lcl|NZ_AHPT01000133.1_cds_WP_001230567.1_1692	35.693	339	354
WP_004280570.1	lcl|NZ_AHPT01000133.1_cds_WP_000582622.1_1686	34.049	326	354
WP_004280570.1	lcl|NZ_AHPT01000138.1_cds_WP_001011670.1_1540	33.569	283	354
WP_004280623.1	lcl|NZ_AHPT01000055.1_cds_WP_001014583.1_2967	28.365	208	230
WP_004280623.1	lcl|NZ_AHPT01000097.1_cds_WP_000721844.1_2305	30.909	110	230
WP_004280359.1	lcl|NZ_AHPT01000133.1_cds_LEP2GSC003_RS1000000123390_1680	44.027	293	599
WP_004280359.1	lcl|NZ_AHPT01000133.1_cds_LEP2GSC003_RS1000000123390_1680	40.557	323	599
WP_004280004.1	lcl|NZ_AHPT01000105.1_cds_WP_001281953.1_2268	32.172	373	387
WP_004280004.1	lcl|NZ_AHPT01000133.1_cds_WP_000947842.1_1694	31.559	263	387
WP_004280004.1	lcl|NZ_AHPT01000133.1_cds_WP_000575397.1_1705	32.877	219	387
WP_004280004.1	lcl|NZ_AHPT01000133.1_cds_WP_000346036.1_1685	27.147	361	387
WP_004280004.1	lcl|NZ_AHPT01000133.1_cds_WP_000575184.1_1645	29.329	283	387
WP_004280004.1	lcl|NZ_AHPT01000039.1_cds_WP_000538750.1_3534	27.103	321	387
WP_004280004.1	lcl|NZ_AHPT01000067.1_cds_WP_001982414.1_2769	26.160	237	387
WP_004280066.1	lcl|NZ_AHPT01000133.1_cds_LEP2GSC003_RS1000000123390_1680	30.389	283	583
WP_004280066.1	lcl|NZ_AHPT01000133.1_cds_LEP2GSC003_RS1000000123390_1680	25.373	335	583
WP_004280553.1	lcl|NZ_AHPT01000168.1_cds_WP_000613392.1_942	23.846	130	572
WP_004280553.1	lcl|NZ_AHPT01000097.1_cds_WP_000721844.1_2305	33.333	117	572
WP_004280553.1	lcl|NZ_AHPT01000168.1_cds_WP_000613392.1_942	23.846	130	572
WP_004280553.1	lcl|NZ_AHPT01000097.1_cds_WP_000721844.1_2305	33.333	117	572
WP_004280727.1	lcl|NZ_AHPT01000133.1_cds_WP_000575184.1_1645	35.039	254	417
WP_004280727.1	lcl|NZ_AHPT01000105.1_cds_WP_001281953.1_2268	28.440	327	417
WP_004280727.1	lcl|NZ_AHPT01000133.1_cds_WP_000346036.1_1685	29.367	395	417
WP_004280727.1	lcl|NZ_AHPT01000133.1_cds_WP_000575397.1_1705	31.179	263	417
WP_004280727.1	lcl|NZ_AHPT01000133.1_cds_WP_000947842.1_1694	27.239	268	417
WP_004280727.1	lcl|NZ_AHPT01000039.1_cds_WP_000538750.1_3534	27.843	255	417
WP_004280727.1	lcl|NZ_AHPT01000067.1_cds_WP_001982414.1_2769	24.280	243	417
WP_237578347.1	lcl|NZ_AHPT01000133.1_cds_LEP2GSC003_RS1000000123390_1680	47.603	292	611
