WP_002764162.1	lcl|NZ_FTNA01000004.1_cds_WP_000340715.1_3466	93.902	82	106
WP_004279997.1	lcl|NZ_FTNA01000004.1_cds_WP_000410273.1_3465	91.613	310	327
WP_004279997.1	lcl|NZ_FTNA01000004.1_cds_WP_000093099.1_3445	58.730	63	327
WP_004279997.1	lcl|NZ_FTNA01000004.1_cds_WP_000646250.1_3462	28.175	252	327
WP_004279997.1	lcl|NZ_FTNA01000010.1_cds_WP_000744700.1_2122	22.936	327	327
WP_004279997.1	lcl|NZ_FTNA01000004.1_cds_WP_000600889.1_3436	23.656	186	327
WP_004279997.1	lcl|NZ_FTNA01000004.1_cds_WP_000723090.1_3383	22.414	290	327
WP_004279997.1	lcl|NZ_FTNA01000004.1_cds_WP_001067557.1_3459	24.847	326	327
WP_004279997.1	lcl|NZ_FTNA01000025.1_cds_WP_001984071.1_2884	23.529	306	327
WP_004280069.1	lcl|NZ_FTNA01000004.1_cds_WP_000202830.1_3426	42.210	353	361
WP_004280807.1	lcl|NZ_FTNA01000004.1_cds_WP_000282880.1_3387	29.787	235	220
WP_004280807.1	lcl|NZ_FTNA01000008.1_cds_WP_001099029.1_2536	26.906	223	220
WP_004280807.1	lcl|NZ_FTNA01000004.1_cds_WP_001068986.1_3408	30.435	92	220
WP_004280807.1	lcl|NZ_FTNA01000037.1_cds_WP_000840858.1_2270	29.808	104	220
WP_004280807.1	lcl|NZ_FTNA01000003.1_cds_WP_000868621.1_1305	29.670	91	220
WP_004280807.1	lcl|NZ_FTNA01000009.1_cds_WP_000262844.1_2679	24.638	207	220
WP_004280807.1	lcl|NZ_FTNA01000004.1_cds_WP_001114267.1_3380	26.136	176	220
WP_004280570.1	lcl|NZ_FTNA01000004.1_cds_WP_001230564.1_3433	35.988	339	354
WP_004280570.1	lcl|NZ_FTNA01000004.1_cds_WP_000582618.1_3429	33.742	326	354
WP_004280570.1	lcl|NZ_FTNA01000020.1_cds_WP_001011675.1_99	33.898	295	354
WP_004280570.1	lcl|NZ_FTNA01000004.1_cds_WP_001230564.1_3433	35.988	339	354
WP_004280570.1	lcl|NZ_FTNA01000004.1_cds_WP_000582618.1_3429	33.742	326	354
WP_004280570.1	lcl|NZ_FTNA01000020.1_cds_WP_001011675.1_99	33.898	295	354
WP_004280623.1	lcl|NZ_FTNA01000023.1_cds_WP_001014594.1_2745	28.365	208	230
WP_004280623.1	lcl|NZ_FTNA01000007.1_cds_WP_000721859.1_212	30.000	110	230
WP_004280359.1	lcl|NZ_FTNA01000004.1_cds_WP_000698820.1_3423	42.020	614	599
WP_004280004.1	lcl|NZ_FTNA01000004.1_cds_WP_000582222.1_3447	38.211	246	387
WP_004280004.1	lcl|NZ_FTNA01000025.1_cds_WP_001281953.1_2850	32.172	373	387
WP_004280004.1	lcl|NZ_FTNA01000004.1_cds_WP_000608295.1_3457	34.322	236	387
WP_004280004.1	lcl|NZ_FTNA01000004.1_cds_WP_000947844.1_3435	31.559	263	387
WP_004280004.1	lcl|NZ_FTNA01000004.1_cds_WP_001198107.1_3458	36.893	206	387
WP_004280004.1	lcl|NZ_FTNA01000004.1_cds_WP_000346036.1_3428	27.147	361	387
WP_004280004.1	lcl|NZ_FTNA01000004.1_cds_WP_000575178.1_3389	29.682	283	387
WP_004280004.1	lcl|NZ_FTNA01000007.1_cds_WP_000538752.1_230	27.103	321	387
WP_004280004.1	lcl|NZ_FTNA01000009.1_cds_WP_001982414.1_2605	26.160	237	387
WP_004280066.1	lcl|NZ_FTNA01000004.1_cds_WP_000698820.1_3423	27.157	626	583
WP_004280553.1	lcl|NZ_FTNA01000013.1_cds_WP_000613386.1_1776	23.077	130	572
WP_004280553.1	lcl|NZ_FTNA01000007.1_cds_WP_000721859.1_212	33.333	117	572
WP_004280553.1	lcl|NZ_FTNA01000013.1_cds_WP_000613386.1_1776	23.077	130	572
WP_004280553.1	lcl|NZ_FTNA01000007.1_cds_WP_000721859.1_212	33.333	117	572
WP_004280727.1	lcl|NZ_FTNA01000004.1_cds_WP_001198107.1_3458	36.667	270	417
