WP_002764162.1	lcl|NZ_RQHH01000033.1_cds_WP_135630784.1_1940	62.162	74	106
WP_004279997.1	lcl|NZ_RQHH01000033.1_cds_WP_135630786.1_1943	79.233	313	327
WP_004279997.1	lcl|NZ_RQHH01000017.1_cds_WP_100718697.1_1410	24.138	319	327
WP_004279997.1	lcl|NZ_RQHH01000017.1_cds_WP_135630011.1_1383	27.070	314	327
WP_004279997.1	lcl|NZ_RQHH01000033.1_cds_WP_135630785.1_1942	22.120	217	327
WP_004279997.1	lcl|NZ_RQHH01000037.1_cds_WP_004788049.1_3631	21.320	197	327
WP_004279997.1	lcl|NZ_RQHH01000017.1_cds_WP_100719192.1_807	23.547	327	327
WP_004280807.1	lcl|NZ_RQHH01000033.1_cds_WP_100716986.1_1977	35.185	108	220
WP_004280807.1	lcl|NZ_RQHH01000033.1_cds_WP_135630917.1_2267	28.289	152	220
WP_004280807.1	lcl|NZ_RQHH01000033.1_cds_WP_020777804.1_1980	34.375	96	220
WP_004280807.1	lcl|NZ_RQHH01000033.1_cds_WP_004783871.1_1978	32.990	97	220
WP_004280807.1	lcl|NZ_RQHH01000033.1_cds_WP_100719349.1_2349	34.259	108	220
WP_004280807.1	lcl|NZ_RQHH01000017.1_cds_WP_165780020.1_1766	32.110	109	220
WP_004280807.1	lcl|NZ_RQHH01000033.1_cds_WP_100716990.1_1984	32.258	93	220
WP_004280807.1	lcl|NZ_RQHH01000033.1_cds_WP_135630803.1_1967	31.522	92	220
WP_004280570.1	lcl|NZ_RQHH01000033.1_cds_WP_135630792.1_1951	33.721	344	354
WP_004280570.1	lcl|NZ_RQHH01000017.1_cds_WP_135629476.1_291	34.354	294	354
WP_004280570.1	lcl|NZ_RQHH01000033.1_cds_WP_135630792.1_1951	33.721	344	354
WP_004280570.1	lcl|NZ_RQHH01000017.1_cds_WP_135629476.1_291	34.354	294	354
WP_004280623.1	lcl|NZ_RQHH01000033.1_cds_WP_135630789.1_1947	36.943	157	230
WP_004280623.1	lcl|NZ_RQHH01000017.1_cds_WP_135629763.1_974	28.972	214	230
WP_004280623.1	lcl|NZ_RQHH01000017.1_cds_WP_135629758.1_959	25.000	116	230
WP_004280004.1	lcl|NZ_RQHH01000017.1_cds_WP_135630399.1_1130	29.199	387	387
WP_004280004.1	lcl|NZ_RQHH01000033.1_cds_WP_210414228.1_1945	30.000	250	387
WP_004280004.1	lcl|NZ_RQHH01000033.1_cds_WP_135630801.1_1963	29.091	220	387
WP_004280004.1	lcl|NZ_RQHH01000017.1_cds_WP_100719471.1_474	23.077	351	387
WP_004280553.1	lcl|NZ_RQHH01000017.1_cds_WP_135629763.1_974	29.412	272	572
WP_004280553.1	lcl|NZ_RQHH01000033.1_cds_WP_100734559.1_2217	26.540	211	572
WP_004280553.1	lcl|NZ_RQHH01000017.1_cds_WP_135629763.1_974	29.412	272	572
WP_004280553.1	lcl|NZ_RQHH01000033.1_cds_WP_100734559.1_2217	26.540	211	572
WP_004280727.1	lcl|NZ_RQHH01000017.1_cds_WP_135630399.1_1130	29.607	331	417
WP_004280727.1	lcl|NZ_RQHH01000033.1_cds_WP_135630801.1_1963	33.463	257	417
WP_004280727.1	lcl|NZ_RQHH01000033.1_cds_WP_210414228.1_1945	28.617	311	417
WP_004280727.1	lcl|NZ_RQHH01000017.1_cds_WP_100734244.1_122	29.310	232	417
WP_004280727.1	lcl|NZ_RQHH01000017.1_cds_WP_100719471.1_474	25.000	240	417
WP_004280422.1	lcl|NZ_RQHH01000017.1_cds_WP_135629763.1_974	30.380	237	242
WP_004280422.1	lcl|NZ_RQHH01000033.1_cds_WP_135630789.1_1947	26.619	139	242
WP_004280656.1	lcl|NZ_RQHH01000033.1_cds_WP_135630790.1_1948	32.046	259	255
WP_004280656.1	lcl|NZ_RQHH01000017.1_cds_WP_004785575.1_1151	30.556	252	255
WP_004280656.1	lcl|NZ_RQHH01000021.1_cds_WP_004787563.1_3335	29.150	247	255
WP_004280656.1	lcl|NZ_RQHH01000021.1_cds_WP_100721449.1_3275	28.682	258	255
WP_004280656.1	lcl|NZ_RQHH01000037.1_cds_WP_004788221.1_3446	28.458	253	255
