WP_002764162.1	lcl|NZ_VCHG01000065.1_cds_WP_000340715.1_3036	93.902	82	106
WP_004279997.1	lcl|NZ_VCHG01000065.1_cds_WP_000410266.1_3035	91.613	310	327
WP_004279997.1	lcl|NZ_VCHG01000065.1_cds_WP_000646254.1_3032	27.778	252	327
WP_004279997.1	lcl|NZ_VCHG01000007.1_cds_WP_000744698.1_3149	22.936	327	327
WP_004279997.1	lcl|NZ_VCHG01000056.1_cds_WP_000723091.1_2759	22.759	290	327
WP_004279997.1	lcl|NZ_VCHG01000065.1_cds_WP_001067557.1_3029	24.847	326	327
WP_004279997.1	lcl|NZ_VCHG01000010.1_cds_WP_002072074.1_198	23.856	306	327
WP_004280807.1	lcl|NZ_VCHG01000056.1_cds_WP_000282882.1_2763	29.362	235	220
WP_004280807.1	lcl|NZ_VCHG01000017.1_cds_WP_001099039.1_931	26.906	223	220
WP_004280807.1	lcl|NZ_VCHG01000023.1_cds_WP_000840861.1_1370	29.808	104	220
WP_004280807.1	lcl|NZ_VCHG01000022.1_cds_WP_000868621.1_1325	29.670	91	220
WP_004280807.1	lcl|NZ_VCHG01000056.1_cds_WP_001114273.1_2756	26.136	176	220
WP_004280807.1	lcl|NZ_VCHG01000086.1_cds_WP_000262844.1_3525	24.638	207	220
WP_004280570.1	lcl|NZ_VCHG01000095.1_cds_WP_001033784.1_3704	32.571	350	354
WP_004280570.1	lcl|NZ_VCHG01000009.1_cds_WP_001011666.1_3615	33.898	295	354
WP_004280570.1	lcl|NZ_VCHG01000095.1_cds_WP_002072154.1_3698	28.435	313	354
WP_004280570.1	lcl|NZ_VCHG01000095.1_cds_WP_001033784.1_3704	32.571	350	354
WP_004280570.1	lcl|NZ_VCHG01000009.1_cds_WP_001011666.1_3615	33.898	295	354
WP_004280570.1	lcl|NZ_VCHG01000095.1_cds_WP_002072154.1_3698	28.435	313	354
WP_004280623.1	lcl|NZ_VCHG01000020.1_cds_WP_000696059.1_1194	43.373	166	230
WP_004280623.1	lcl|NZ_VCHG01000102.1_cds_WP_001014594.1_227	28.365	208	230
WP_004280623.1	lcl|NZ_VCHG01000095.1_cds_WP_000440091.1_3699	25.118	211	230
WP_004280623.1	lcl|NZ_VCHG01000132.1_cds_WP_000721854.1_625	30.000	110	230
WP_004280004.1	lcl|NZ_VCHG01000010.1_cds_WP_001281953.1_162	32.172	373	387
WP_004280004.1	lcl|NZ_VCHG01000106.1_cds_WP_000228801.1_266	34.728	239	387
WP_004280004.1	lcl|NZ_VCHG01000065.1_cds_WP_000608294.1_3027	34.322	236	387
WP_004280004.1	lcl|NZ_VCHG01000095.1_cds_WP_000172659.1_3696	34.400	250	387
WP_004280004.1	lcl|NZ_VCHG01000065.1_cds_WP_001198107.1_3028	36.893	206	387
