WP_002764162.1	lcl|NZ_AFKT01000033.1_cds_WP_000340715.1_3122	93.902	82	106
WP_004279997.1	lcl|NZ_AFKT01000033.1_cds_WP_000410273.1_3123	91.613	310	327
WP_004279997.1	lcl|NZ_AFKT01000033.1_cds_WP_000093099.1_3143	58.730	63	327
WP_004279997.1	lcl|NZ_AFKT01000033.1_cds_WP_000646250.1_3126	28.175	252	327
WP_004279997.1	lcl|NZ_AFKT01000029.1_cds_WP_000744700.1_3284	22.936	327	327
WP_004279997.1	lcl|NZ_AFKT01000033.1_cds_WP_000600889.1_3152	23.656	186	327
WP_004279997.1	lcl|NZ_AFKT01000336.1_cds_WP_000723090.1_100	22.414	290	327
WP_004279997.1	lcl|NZ_AFKT01000033.1_cds_WP_001067557.1_3129	24.847	326	327
WP_004279997.1	lcl|NZ_AFKT01000239.1_cds_WP_001984071.1_505	23.529	306	327
WP_004280069.1	lcl|NZ_AFKT01000033.1_cds_WP_000202830.1_3162	42.210	353	361
WP_004280807.1	lcl|NZ_AFKT01000251.1_cds_WP_000282880.1_439	29.787	235	220
WP_004280807.1	lcl|NZ_AFKT01000093.1_cds_WP_001099029.1_1891	26.906	223	220
WP_004280807.1	lcl|NZ_AFKT01000033.1_cds_WP_001068986.1_3180	30.435	92	220
WP_004280807.1	lcl|NZ_AFKT01000116.1_cds_WP_000840858.1_1671	29.808	104	220
WP_004280807.1	lcl|NZ_AFKT01000022.1_cds_WP_000868621.1_3574	29.670	91	220
WP_004280807.1	lcl|NZ_AFKT01000195.1_cds_WP_000262844.1_967	24.638	207	220
WP_004280807.1	lcl|NZ_AFKT01000115.1_cds_WP_001114267.1_1679	26.136	176	220
WP_004280570.1	lcl|NZ_AFKT01000033.1_cds_WP_001230564.1_3155	35.988	339	354
WP_004280570.1	lcl|NZ_AFKT01000033.1_cds_WP_000582618.1_3159	33.742	326	354
WP_004280570.1	lcl|NZ_AFKT01000327.1_cds_WP_001011675.1_205	33.898	295	354
WP_004280570.1	lcl|NZ_AFKT01000033.1_cds_WP_001230564.1_3155	35.988	339	354
WP_004280570.1	lcl|NZ_AFKT01000033.1_cds_WP_000582618.1_3159	33.742	326	354
WP_004280570.1	lcl|NZ_AFKT01000327.1_cds_WP_001011675.1_205	33.898	295	354
WP_004280623.1	lcl|NZ_AFKT01000162.1_cds_WP_001014594.1_1177	28.365	208	230
WP_004280623.1	lcl|NZ_AFKT01000229.1_cds_WP_000721859.1_620	30.000	110	230
WP_004280359.1	lcl|NZ_AFKT01000033.1_cds_WP_000698820.1_3165	42.020	614	599
WP_004280004.1	lcl|NZ_AFKT01000033.1_cds_WP_000582222.1_3141	38.211	246	387
WP_004280004.1	lcl|NZ_AFKT01000211.1_cds_WP_001281953.1_799	32.172	373	387
WP_004280004.1	lcl|NZ_AFKT01000033.1_cds_WP_000608295.1_3131	34.322	236	387
WP_004280004.1	lcl|NZ_AFKT01000033.1_cds_WP_000947844.1_3153	31.559	263	387
WP_004280004.1	lcl|NZ_AFKT01000033.1_cds_WP_001198107.1_3130	36.893	206	387
WP_004280004.1	lcl|NZ_AFKT01000033.1_cds_WP_000346036.1_3160	27.147	361	387
WP_004280004.1	lcl|NZ_AFKT01000251.1_cds_WP_000575178.1_441	29.682	283	387
WP_004280004.1	lcl|NZ_AFKT01000097.1_cds_WP_000538752.1_1842	27.103	321	387
WP_004280004.1	lcl|NZ_AFKT01000057.1_cds_WP_001982414.1_2523	26.160	237	387
WP_004280066.1	lcl|NZ_AFKT01000033.1_cds_WP_000698820.1_3165	27.157	626	583
WP_004280553.1	lcl|NZ_AFKT01000046.1_cds_WP_000613386.1_2811	23.077	130	572
WP_004280553.1	lcl|NZ_AFKT01000229.1_cds_WP_000721859.1_620	33.333	117	572
WP_004280553.1	lcl|NZ_AFKT01000046.1_cds_WP_000613386.1_2811	23.077	130	572
WP_004280553.1	lcl|NZ_AFKT01000229.1_cds_WP_000721859.1_620	33.333	117	572
WP_004280727.1	lcl|NZ_AFKT01000033.1_cds_WP_001198107.1_3130	36.667	270	417
WP_004280727.1	lcl|NZ_AFKT01000033.1_cds_WP_000608295.1_3131	34.717	265	417
WP_004280727.1	lcl|NZ_AFKT01000251.1_cds_WP_000575178.1_441	35.039	254	417
WP_004280727.1	lcl|NZ_AFKT01000211.1_cds_WP_001281953.1_799	28.440	327	417
WP_004280727.1	lcl|NZ_AFKT01000033.1_cds_WP_000346036.1_3160	29.367	395	417
WP_004280727.1	lcl|NZ_AFKT01000033.1_cds_WP_000582222.1_3141	37.850	214	417
WP_004280727.1	lcl|NZ_AFKT01000033.1_cds_WP_000947844.1_3153	27.239	268	417
WP_004280727.1	lcl|NZ_AFKT01000097.1_cds_WP_000538752.1_1842	27.668	253	417
WP_004280727.1	lcl|NZ_AFKT01000057.1_cds_WP_001982414.1_2523	24.280	243	417
WP_237578347.1	lcl|NZ_AFKT01000033.1_cds_WP_000698820.1_3165	42.454	603	611
