WP_002764162.1	lcl|NZ_AOGY02000051.1_cds_WP_002983174.1_1829	59.701	67	106
WP_004279997.1	lcl|NZ_AOGY02000051.1_cds_WP_002982922.1_1828	80.511	313	327
WP_004279997.1	lcl|NZ_AOGY02000007.1_cds_WP_002976093.1_3828	27.796	313	327
WP_004279997.1	lcl|NZ_AOGY02000070.1_cds_WP_002988752.1_678	23.006	326	327
WP_004279997.1	lcl|NZ_AOGY02000014.1_cds_WP_002976825.1_3574	23.988	321	327
WP_004279997.1	lcl|NZ_AOGY02000039.1_cds_WP_002980664.1_2330	20.690	203	327
WP_004280807.1	lcl|NZ_AOGY02000065.1_cds_WP_002987246.1_1044	27.347	245	220
WP_004280807.1	lcl|NZ_AOGY02000051.1_cds_WP_039926675.1_1761	33.663	101	220
WP_004280807.1	lcl|NZ_AOGY02000051.1_cds_WP_002982468.1_1758	32.292	96	220
WP_004280807.1	lcl|NZ_AOGY02000011.1_cds_WP_002976383.1_3757	29.204	113	220
WP_004280807.1	lcl|NZ_AOGY02000051.1_cds_WP_039926671.1_1752	31.579	95	220
WP_004280807.1	lcl|NZ_AOGY02000051.1_cds_WP_002982271.1_1751	28.689	122	220
WP_004280807.1	lcl|NZ_AOGY02000065.1_cds_WP_002987474.1_964	33.333	108	220
WP_004280807.1	lcl|NZ_AOGY02000062.1_cds_WP_039926902.1_1180	29.358	109	220
WP_004280807.1	lcl|NZ_AOGY02000051.1_cds_WP_002982483.1_1767	25.532	141	220
WP_004280570.1	lcl|NZ_AOGY02000051.1_cds_WP_002982737.1_1816	33.702	362	354
WP_004280570.1	lcl|NZ_AOGY02000051.1_cds_WP_002982292.1_1812	31.161	353	354
WP_004280570.1	lcl|NZ_AOGY02000056.1_cds_WP_002984085.1_1512	34.114	299	354
WP_004280570.1	lcl|NZ_AOGY02000051.1_cds_WP_002982737.1_1816	33.702	362	354
WP_004280570.1	lcl|NZ_AOGY02000051.1_cds_WP_002982292.1_1812	31.161	353	354
WP_004280570.1	lcl|NZ_AOGY02000056.1_cds_WP_002984085.1_1512	34.114	299	354
WP_004280623.1	lcl|NZ_AOGY02000014.1_cds_WP_002976927.1_3414	30.698	215	230
WP_004280623.1	lcl|NZ_AOGY02000014.1_cds_WP_002977021.1_3429	26.496	117	230
WP_004280004.1	lcl|NZ_AOGY02000051.1_cds_WP_002983201.1_1787	37.447	235	387
WP_004280004.1	lcl|NZ_AOGY02000038.1_cds_WP_002980408.1_2519	29.765	383	387
