WP_002764162.1	lcl|NZ_AP025028.1_cds_WP_109019586.1_2140	66.197	71	106
WP_004279997.1	lcl|NZ_AP025028.1_cds_WP_109019372.1_2139	82.051	312	327
WP_004279997.1	lcl|NZ_AP025028.1_cds_WP_109019587.1_2110	49.355	310	327
WP_004279997.1	lcl|NZ_AP025028.1_cds_WP_174705662.1_3407	24.359	312	327
WP_004279997.1	lcl|NZ_AP025028.1_cds_WP_109021488.1_3379	23.476	328	327
WP_004279997.1	lcl|NZ_AP025028.1_cds_WP_109019369.1_2143	23.438	192	327
WP_004280807.1	lcl|NZ_AP025028.1_cds_WP_109019422.1_2085	30.387	181	220
WP_004280807.1	lcl|NZ_AP025028.1_cds_WP_109019414.1_2093	26.887	212	220
WP_004280807.1	lcl|NZ_AP025028.1_cds_WP_109019368.1_2144	36.735	98	220
WP_004280807.1	lcl|NZ_AP025028.1_cds_WP_109018719.1_1209	32.323	99	220
WP_004280807.1	lcl|NZ_AP025028.1_cds_WP_109019412.1_2095	29.787	94	220
WP_004280807.1	lcl|NZ_AP025028.1_cds_WP_109019420.1_2087	30.000	100	220
WP_004280807.1	lcl|NZ_AP025028.1_cds_WP_217351556.1_2081	28.571	91	220
WP_004280807.1	lcl|NZ_AP025028.1_cds_WP_109019428.1_2079	29.787	94	220
WP_004280807.1	lcl|NZ_AP025028.1_cds_WP_109019425.1_2082	34.375	96	220
WP_004280570.1	lcl|NZ_AP025028.1_cds_WP_109019379.1_2132	35.562	329	354
WP_004280570.1	lcl|NZ_AP025028.1_cds_WP_109020396.1_2675	34.354	294	354
WP_004280570.1	lcl|NZ_AP025028.1_cds_WP_109019379.1_2132	35.562	329	354
WP_004280570.1	lcl|NZ_AP025028.1_cds_WP_109020396.1_2675	34.354	294	354
WP_004280623.1	lcl|NZ_AP025028.1_cds_WP_109021831.1_151	30.638	235	230
WP_004280623.1	lcl|NZ_AP025028.1_cds_WP_109021845.1_166	31.092	119	230
WP_004280359.1	lcl|NZ_AP025028.1_cds_WP_109021773.1_91	29.310	638	599
WP_004280004.1	lcl|NZ_AP025028.1_cds_WP_109022177.1_38	28.205	390	387
WP_004280004.1	lcl|NZ_AP025028.1_cds_WP_109019393.1_2117	35.021	237	387
WP_004280004.1	lcl|NZ_AP025028.1_cds_WP_242935165.1_2102	30.385	260	387
WP_004280004.1	lcl|NZ_AP025028.1_cds_WP_109019375.1_2136	29.889	271	387
WP_004280004.1	lcl|NZ_AP025028.1_cds_WP_109019381.1_2130	27.606	355	387
WP_004280004.1	lcl|NZ_AP025028.1_cds_WP_109020811.1_681	23.099	355	387
WP_004280004.1	lcl|NZ_AP025028.1_cds_WP_109019588.1_2107	24.803	254	387
WP_004280066.1	lcl|NZ_AP025028.1_cds_WP_109021773.1_91	39.363	597	583
WP_004280553.1	lcl|NZ_AP025028.1_cds_WP_109019798.1_1766	27.189	217	572
WP_004280553.1	lcl|NZ_AP025028.1_cds_WP_109021845.1_166	33.621	116	572
WP_004280553.1	lcl|NZ_AP025028.1_cds_WP_109021831.1_151	30.342	234	572
