WP_002764162.1	lcl|NZ_NPDW01000001.1_cds_WP_100743203.1_1855	60.811	74	106
WP_004279997.1	lcl|NZ_NPDW01000001.1_cds_WP_100743202.1_1854	82.692	312	327
WP_004279997.1	lcl|NZ_NPDW01000002.1_cds_WP_100743861.1_2447	27.389	314	327
WP_004279997.1	lcl|NZ_NPDW01000002.1_cds_WP_100743885.1_2475	24.138	319	327
WP_004279997.1	lcl|NZ_NPDW01000001.1_cds_WP_100743198.1_1850	22.043	186	327
WP_004279997.1	lcl|NZ_NPDW01000001.1_cds_WP_100741717.1_139	23.824	319	327
WP_004279997.1	lcl|NZ_NPDW01000003.1_cds_WP_100745004.1_3632	21.212	198	327
WP_004279997.1	lcl|NZ_NPDW01000001.1_cds_WP_100743175.1_1825	20.103	194	327
WP_004280807.1	lcl|NZ_NPDW01000001.1_cds_WP_100743151.1_1801	35.135	111	220
WP_004280807.1	lcl|NZ_NPDW01000001.1_cds_WP_100742902.1_1508	26.601	203	220
WP_004280807.1	lcl|NZ_NPDW01000001.1_cds_WP_100743148.1_1798	29.787	94	220
WP_004280807.1	lcl|NZ_NPDW01000001.1_cds_WP_100742835.1_1427	33.333	108	220
WP_004280807.1	lcl|NZ_NPDW01000001.1_cds_WP_100743150.1_1800	26.471	102	220
WP_004280807.1	lcl|NZ_NPDW01000002.1_cds_WP_165779511.1_2835	32.110	109	220
WP_004280570.1	lcl|NZ_NPDW01000001.1_cds_WP_100743196.1_1847	36.416	346	354
WP_004280570.1	lcl|NZ_NPDW01000001.1_cds_WP_165779492.1_1836	31.638	354	354
WP_004280570.1	lcl|NZ_NPDW01000001.1_cds_WP_100742192.1_669	33.110	299	354
WP_004280570.1	lcl|NZ_NPDW01000001.1_cds_WP_100743196.1_1847	36.416	346	354
WP_004280570.1	lcl|NZ_NPDW01000001.1_cds_WP_165779492.1_1836	31.638	354	354
WP_004280570.1	lcl|NZ_NPDW01000001.1_cds_WP_100742192.1_669	33.110	299	354
WP_004280623.1	lcl|NZ_NPDW01000002.1_cds_WP_100743522.1_2063	28.505	214	230
WP_004280623.1	lcl|NZ_NPDW01000002.1_cds_WP_100743509.1_2048	24.576	118	230
WP_004280623.1	lcl|NZ_NPDW01000001.1_cds_WP_100743171.1_1821	40.816	49	230
WP_004280004.1	lcl|NZ_NPDW01000001.1_cds_WP_100743164.1_1814	38.912	239	387
WP_004280004.1	lcl|NZ_NPDW01000001.1_cds_WP_100743197.1_1849	31.250	288	387
WP_004280004.1	lcl|NZ_NPDW01000002.1_cds_WP_100743633.1_2195	28.982	383	387
WP_004280004.1	lcl|NZ_NPDW01000001.1_cds_WP_100742016.1_465	23.077	351	387
WP_004280553.1	lcl|NZ_NPDW01000002.1_cds_WP_100743522.1_2063	30.233	258	572
WP_004280553.1	lcl|NZ_NPDW01000001.1_cds_WP_100742945.1_1558	24.766	214	572
WP_004280553.1	lcl|NZ_NPDW01000002.1_cds_WP_100744058.1_2681	26.020	196	572
WP_004280553.1	lcl|NZ_NPDW01000002.1_cds_WP_100743522.1_2063	30.233	258	572
WP_004280553.1	lcl|NZ_NPDW01000001.1_cds_WP_100742945.1_1558	24.766	214	572
WP_004280553.1	lcl|NZ_NPDW01000002.1_cds_WP_100744058.1_2681	26.020	196	572
WP_004280727.1	lcl|NZ_NPDW01000001.1_cds_WP_100743164.1_1814	33.333	261	417
WP_004280727.1	lcl|NZ_NPDW01000002.1_cds_WP_100743633.1_2195	28.097	331	417
WP_004280727.1	lcl|NZ_NPDW01000001.1_cds_WP_100743197.1_1849	29.084	251	417
WP_004280727.1	lcl|NZ_NPDW01000001.1_cds_WP_100742328.1_837	29.958	237	417
WP_004280727.1	lcl|NZ_NPDW01000001.1_cds_WP_100742016.1_465	24.364	275	417
WP_237578348.1	lcl|NZ_NPDW01000001.1_cds_WP_100742762.1_1344	28.926	121	207
WP_004280422.1	lcl|NZ_NPDW01000002.1_cds_WP_100743522.1_2063	28.270	237	242
WP_004280422.1	lcl|NZ_NPDW01000001.1_cds_WP_100743171.1_1821	33.333	123	242
WP_004280656.1	lcl|NZ_NPDW01000001.1_cds_WP_100743177.1_1827	31.086	267	255
WP_004280656.1	lcl|NZ_NPDW01000002.1_cds_WP_100743651.1_2216	30.159	252	255
WP_004280656.1	lcl|NZ_NPDW01000001.1_cds_WP_100743178.1_1828	27.273	264	255
WP_004280656.1	lcl|NZ_NPDW01000002.1_cds_WP_002974939.1_3068	29.150	247	255
WP_004280656.1	lcl|NZ_NPDW01000002.1_cds_WP_100744336.1_3004	28.295	258	255
WP_004280656.1	lcl|NZ_NPDW01000003.1_cds_WP_100744945.1_3566	26.877	253	255
WP_004280656.1	lcl|NZ_NPDW01000001.1_cds_WP_100742766.1_1348	25.781	256	255
WP_004280656.1	lcl|NZ_NPDW01000002.1_cds_WP_002972927.1_2183	26.007	273	255
WP_004280656.1	lcl|NZ_NPDW01000001.1_cds_WP_100743345.1_390	26.776	183	255
WP_004280656.1	lcl|NZ_NPDW01000002.1_cds_WP_100743570.1_2119	28.679	265	255
WP_004280656.1	lcl|NZ_NPDW01000001.1_cds_WP_100741801.1_227	23.954	263	255
WP_004280656.1	lcl|NZ_NPDW01000001.1_cds_WP_100743135.1_1785	25.185	270	255
WP_004280656.1	lcl|NZ_NPDW01000001.1_cds_WP_100742009.1_456	24.742	194	255
WP_004280656.1	lcl|NZ_NPDW01000003.1_cds_WP_100744933.1_3550	24.227	194	255
WP_004280656.1	lcl|NZ_NPDW01000002.1_cds_WP_100743850.1_2433	21.687	249	255
WP_004280656.1	lcl|NZ_NPDW01000002.1_cds_WP_100744256.1_2909	23.223	211	255
WP_004280656.1	lcl|NZ_NPDW01000001.1_cds_WP_100742776.1_1358	27.673	159	255
WP_004280656.1	lcl|NZ_NPDW01000002.1_cds_WP_100743885.1_2475	37.681	69	255
