WP_002764162.1	lcl|NZ_LSSQ01000022.1_cds_WP_004753574.1_2080	91.463	82	106
WP_004279997.1	lcl|NZ_LSSQ01000022.1_cds_WP_020765346.1_2079	91.935	310	327
WP_004279997.1	lcl|NZ_LSSQ01000022.1_cds_WP_020765358.1_2076	27.778	252	327
WP_004279997.1	lcl|NZ_LSSQ01000011.1_cds_WP_004753565.1_1141	22.936	327	327
WP_004279997.1	lcl|NZ_LSSQ01000022.1_cds_WP_020765339.1_2049	23.656	186	327
WP_004279997.1	lcl|NZ_LSSQ01000022.1_cds_WP_020766826.1_1994	22.069	290	327
WP_004279997.1	lcl|NZ_LSSQ01000007.1_cds_WP_004766600.1_675	24.402	209	327
WP_004279997.1	lcl|NZ_LSSQ01000022.1_cds_WP_004762989.1_2073	24.847	326	327
WP_004280069.1	lcl|NZ_LSSQ01000022.1_cds_WP_020765328.1_2039	42.776	353	361
WP_004280807.1	lcl|NZ_LSSQ01000022.1_cds_WP_020766833.1_1998	28.767	219	220
WP_004280807.1	lcl|NZ_LSSQ01000077.1_cds_WP_020767285.1_3525	25.688	218	220
WP_004280807.1	lcl|NZ_LSSQ01000022.1_cds_WP_020766848.1_2019	31.522	92	220
WP_004280807.1	lcl|NZ_LSSQ01000032.1_cds_WP_020766335.1_2420	31.731	104	220
WP_004280807.1	lcl|NZ_LSSQ01000008.1_cds_WP_004751232.1_785	30.769	91	220
WP_004280807.1	lcl|NZ_LSSQ01000022.1_cds_WP_002101546.1_1999	27.273	110	220
WP_004280807.1	lcl|NZ_LSSQ01000004.1_cds_WP_004754319.1_414	24.155	207	220
WP_004280570.1	lcl|NZ_LSSQ01000022.1_cds_WP_020765331.1_2046	35.693	339	354
WP_004280570.1	lcl|NZ_LSSQ01000022.1_cds_WP_020765324.1_2042	34.049	326	354
WP_004280570.1	lcl|NZ_LSSQ01000009.1_cds_WP_004771496.1_891	33.922	283	354
WP_004280570.1	lcl|NZ_LSSQ01000022.1_cds_WP_020765331.1_2046	35.693	339	354
WP_004280570.1	lcl|NZ_LSSQ01000022.1_cds_WP_020765324.1_2042	34.049	326	354
WP_004280570.1	lcl|NZ_LSSQ01000009.1_cds_WP_004771496.1_891	33.922	283	354
WP_004280623.1	lcl|NZ_LSSQ01000033.1_cds_WP_020767181.1_2592	42.169	166	230
WP_004280623.1	lcl|NZ_LSSQ01000004.1_cds_WP_020765528.1_453	28.846	208	230
WP_004280623.1	lcl|NZ_LSSQ01000010.1_cds_WP_004753115.1_936	31.858	113	230
WP_004280359.1	lcl|NZ_LSSQ01000022.1_cds_WP_020765350.1_2036	41.762	613	599
WP_004280004.1	lcl|NZ_LSSQ01000044.1_cds_WP_004754030.1_2944	32.162	370	387
