WP_002764162.1	lcl|NZ_JQRJ01000111.1_cds_WP_004462903.1_2698	97.561	82	106
WP_004279997.1	lcl|NZ_JQRJ01000111.1_cds_WP_004464977.1_2699	90.354	311	327
WP_004279997.1	lcl|NZ_JQRJ01000043.1_cds_WP_004464967.1_1376	22.179	257	327
WP_004279997.1	lcl|NZ_JQRJ01000054.1_cds_WP_004461583.1_1774	23.457	324	327
WP_004279997.1	lcl|NZ_JQRJ01000043.1_cds_WP_004465002.1_1378	25.683	183	327
WP_004279997.1	lcl|NZ_JQRJ01000027.1_cds_WP_004465060.1_1023	22.337	291	327
WP_004279997.1	lcl|NZ_JQRJ01000020.1_cds_WP_004461234.1_895	25.346	217	327
WP_004279997.1	lcl|NZ_JQRJ01000042.1_cds_WP_004468319.1_1358	21.429	168	327
WP_004280069.1	lcl|NZ_JQRJ01000111.1_cds_WP_004475166.1_2700	97.507	361	361
WP_004280807.1	lcl|NZ_JQRJ01000111.1_cds_WP_004475139.1_2701	97.260	219	220
WP_004280807.1	lcl|NZ_JQRJ01000027.1_cds_WP_061206521.1_1018	26.522	230	220
WP_004280807.1	lcl|NZ_JQRJ01000013.1_cds_WP_016754679.1_456	25.676	222	220
WP_004280807.1	lcl|NZ_JQRJ01000043.1_cds_WP_061206635.1_1371	25.641	234	220
WP_004280807.1	lcl|NZ_JQRJ01000019.1_cds_WP_004459124.1_832	29.310	116	220
WP_004280807.1	lcl|NZ_JQRJ01000027.1_cds_WP_061206520.1_1016	27.368	95	220
WP_004280807.1	lcl|NZ_JQRJ01000049.1_cds_WP_004491543.1_1537	24.432	176	220
WP_004280807.1	lcl|NZ_JQRJ01000050.1_cds_WP_061206670.1_1546	30.928	97	220
WP_004280807.1	lcl|NZ_JQRJ01000062.1_cds_WP_061206809.1_2033	24.638	207	220
WP_004280570.1	lcl|NZ_JQRJ01000111.1_cds_WP_061207030.1_2702	96.045	354	354
WP_004280570.1	lcl|NZ_JQRJ01000111.1_cds_WP_061207042.1_2720	33.333	288	354
WP_004280570.1	lcl|NZ_JQRJ01000176.1_cds_WP_061207205.1_3292	33.106	293	354
WP_004280570.1	lcl|NZ_JQRJ01000111.1_cds_WP_061207030.1_2702	96.045	354	354
WP_004280570.1	lcl|NZ_JQRJ01000111.1_cds_WP_061207042.1_2720	33.333	288	354
WP_004280570.1	lcl|NZ_JQRJ01000176.1_cds_WP_061207205.1_3292	33.106	293	354
WP_004280623.1	lcl|NZ_JQRJ01000111.1_cds_WP_061207031.1_2703	95.217	230	230
WP_004280623.1	lcl|NZ_JQRJ01000111.1_cds_WP_061207039.1_2716	36.986	219	230
WP_004280623.1	lcl|NZ_JQRJ01000111.1_cds_WP_061207033.1_2708	37.500	200	230
WP_004280623.1	lcl|NZ_JQRJ01000110.1_cds_WP_004462470.1_2686	30.476	210	230
WP_004280623.1	lcl|NZ_JQRJ01000135.1_cds_WP_004472657.1_2995	30.909	110	230
WP_004280091.1	lcl|NZ_JQRJ01000111.1_cds_WP_061207045.1_2704	96.569	204	204
WP_004280359.1	lcl|NZ_JQRJ01000111.1_cds_WP_004482342.1_2705	97.997	599	599
WP_004280359.1	lcl|NZ_JQRJ01000111.1_cds_WP_061207046.1_2712	38.769	601	599
WP_004280359.1	lcl|NZ_JQRJ01000111.1_cds_WP_004476556.1_2707	31.020	461	599
WP_004280359.1	lcl|NZ_JQRJ01000111.1_cds_WP_004476556.1_2707	42.424	66	599
WP_004280359.1	lcl|NZ_JQRJ01000067.1_cds_JG14_RS10945_2145	37.436	195	599
WP_004280359.1	lcl|NZ_JQRJ01000065.1_cds_JG14_RS10765_2108	26.728	434	599
WP_004280004.1	lcl|NZ_JQRJ01000111.1_cds_WP_061207032.1_2706	96.641	387	387
WP_004280004.1	lcl|NZ_JQRJ01000111.1_cds_WP_004465299.1_2723	31.129	363	387
WP_004280004.1	lcl|NZ_JQRJ01000111.1_cds_WP_004476587.1_2709	32.780	241	387
WP_004280004.1	lcl|NZ_JQRJ01000098.1_cds_WP_004466571.1_2524	30.623	369	387
