WP_002764162.1	lcl|NZ_AFKA01000104.1_cds_WP_000340715.1_2101	93.902	82	106
WP_004279997.1	lcl|NZ_AFKA01000104.1_cds_WP_000410273.1_2100	91.613	310	327
WP_004279997.1	lcl|NZ_AFKA01000104.1_cds_WP_000093099.1_2080	58.730	63	327
WP_004279997.1	lcl|NZ_AFKA01000104.1_cds_WP_000646250.1_2097	28.175	252	327
WP_004279997.1	lcl|NZ_AFKA01000114.1_cds_WP_000744700.1_1767	22.936	327	327
WP_004279997.1	lcl|NZ_AFKA01000104.1_cds_WP_000600889.1_2071	23.656	186	327
WP_004279997.1	lcl|NZ_AFKA01000104.1_cds_WP_000723090.1_2018	22.414	290	327
WP_004279997.1	lcl|NZ_AFKA01000104.1_cds_WP_001067557.1_2094	24.847	326	327
WP_004279997.1	lcl|NZ_AFKA01000201.1_cds_WP_001984071.1_519	23.529	306	327
WP_004280069.1	lcl|NZ_AFKA01000104.1_cds_WP_000202830.1_2061	42.210	353	361
WP_004280807.1	lcl|NZ_AFKA01000104.1_cds_WP_000282880.1_2022	29.787	235	220
WP_004280807.1	lcl|NZ_AFKA01000073.1_cds_WP_001099029.1_2277	26.906	223	220
WP_004280807.1	lcl|NZ_AFKA01000104.1_cds_WP_001068986.1_2043	30.435	92	220
WP_004280807.1	lcl|NZ_AFKA01000133.1_cds_WP_000840858.1_1352	29.808	104	220
WP_004280807.1	lcl|NZ_AFKA01000044.1_cds_WP_000868621.1_2846	29.670	91	220
WP_004280807.1	lcl|NZ_AFKA01000301.1_cds_WP_000262844.1_35	24.638	207	220
WP_004280807.1	lcl|NZ_AFKA01000231.1_cds_WP_001114267.1_433	26.136	176	220
WP_004280570.1	lcl|NZ_AFKA01000104.1_cds_WP_001230564.1_2068	35.988	339	354
WP_004280570.1	lcl|NZ_AFKA01000104.1_cds_WP_000582618.1_2064	33.742	326	354
WP_004280570.1	lcl|NZ_AFKA01000124.1_cds_WP_001011675.1_1507	33.898	295	354
WP_004280570.1	lcl|NZ_AFKA01000104.1_cds_WP_001230564.1_2068	35.988	339	354
WP_004280570.1	lcl|NZ_AFKA01000104.1_cds_WP_000582618.1_2064	33.742	326	354
WP_004280570.1	lcl|NZ_AFKA01000124.1_cds_WP_001011675.1_1507	33.898	295	354
WP_004280623.1	lcl|NZ_AFKA01000034.1_cds_WP_001014594.1_3109	28.365	208	230
WP_004280623.1	lcl|NZ_AFKA01000042.1_cds_WP_000721859.1_2890	30.000	110	230
WP_004280359.1	lcl|NZ_AFKA01000104.1_cds_WP_000698820.1_2058	42.020	614	599
WP_004280004.1	lcl|NZ_AFKA01000104.1_cds_WP_000582222.1_2082	38.211	246	387
WP_004280004.1	lcl|NZ_AFKA01000190.1_cds_WP_001281953.1_612	32.172	373	387
WP_004280004.1	lcl|NZ_AFKA01000104.1_cds_WP_000608295.1_2092	34.322	236	387
WP_004280004.1	lcl|NZ_AFKA01000104.1_cds_WP_000947844.1_2070	31.559	263	387
WP_004280004.1	lcl|NZ_AFKA01000104.1_cds_WP_001198107.1_2093	36.893	206	387
WP_004280004.1	lcl|NZ_AFKA01000104.1_cds_WP_000346036.1_2063	27.147	361	387
WP_004280004.1	lcl|NZ_AFKA01000104.1_cds_WP_000575178.1_2024	29.682	283	387
WP_004280004.1	lcl|NZ_AFKA01000286.1_cds_WP_000538752.1_153	27.103	321	387
WP_004280004.1	lcl|NZ_AFKA01000148.1_cds_WP_001982414.1_1147	26.160	237	387
WP_004280066.1	lcl|NZ_AFKA01000104.1_cds_WP_000698820.1_2058	27.157	626	583
WP_004280553.1	lcl|NZ_AFKA01000140.1_cds_WP_000613386.1_1289	23.077	130	572
WP_004280553.1	lcl|NZ_AFKA01000042.1_cds_WP_000721859.1_2890	33.333	117	572
WP_004280553.1	lcl|NZ_AFKA01000140.1_cds_WP_000613386.1_1289	23.077	130	572
WP_004280553.1	lcl|NZ_AFKA01000042.1_cds_WP_000721859.1_2890	33.333	117	572
WP_004280727.1	lcl|NZ_AFKA01000104.1_cds_WP_001198107.1_2093	36.667	270	417
WP_004280727.1	lcl|NZ_AFKA01000104.1_cds_WP_000608295.1_2092	34.717	265	417
WP_004280727.1	lcl|NZ_AFKA01000104.1_cds_WP_000575178.1_2024	35.039	254	417
WP_004280727.1	lcl|NZ_AFKA01000190.1_cds_WP_001281953.1_612	28.440	327	417
WP_004280727.1	lcl|NZ_AFKA01000104.1_cds_WP_000346036.1_2063	29.367	395	417
WP_004280727.1	lcl|NZ_AFKA01000104.1_cds_WP_000582222.1_2082	37.850	214	417
WP_004280727.1	lcl|NZ_AFKA01000104.1_cds_WP_000947844.1_2070	27.239	268	417
WP_004280727.1	lcl|NZ_AFKA01000286.1_cds_WP_000538752.1_153	27.668	253	417
WP_004280727.1	lcl|NZ_AFKA01000148.1_cds_WP_001982414.1_1147	24.280	243	417
WP_237578347.1	lcl|NZ_AFKA01000104.1_cds_WP_000698820.1_2058	42.454	603	611
WP_004280422.1	lcl|NZ_AFKA01000034.1_cds_WP_001014594.1_3109	27.236	246	242
WP_004280656.1	lcl|NZ_AFKA01000114.1_cds_WP_000998676.1_1741	32.271	251	255
