WP_002764162.1	lcl|NZ_JQRH01000041.1_cds_WP_004462903.1_1733	97.561	82	106
WP_004279997.1	lcl|NZ_JQRH01000041.1_cds_WP_004477867.1_1732	90.323	310	327
WP_004279997.1	lcl|NZ_JQRH01000001.1_cds_WP_004461583.1_13	23.457	324	327
WP_004279997.1	lcl|NZ_JQRH01000049.1_cds_WP_004462127.1_2076	22.101	276	327
WP_004279997.1	lcl|NZ_JQRH01000049.1_cds_WP_004476514.1_2016	22.337	291	327
WP_004279997.1	lcl|NZ_JQRH01000038.1_cds_WP_004461234.1_1609	25.346	217	327
WP_004279997.1	lcl|NZ_JQRH01000130.1_cds_WP_004468319.1_3376	21.429	168	327
WP_004280807.1	lcl|NZ_JQRH01000041.1_cds_WP_004477858.1_1726	51.244	201	220
WP_004280807.1	lcl|NZ_JQRH01000049.1_cds_WP_032917801.1_2021	26.957	230	220
WP_004280807.1	lcl|NZ_JQRH01000033.1_cds_WP_004480236.1_1489	25.676	222	220
WP_004280807.1	lcl|NZ_JQRH01000049.1_cds_WP_004479664.1_2041	32.258	93	220
WP_004280807.1	lcl|NZ_JQRH01000024.1_cds_WP_061236212.1_1092	29.310	116	220
WP_004280807.1	lcl|NZ_JQRH01000049.1_cds_WP_026131418.1_2013	24.432	176	220
WP_004280807.1	lcl|NZ_JQRH01000064.1_cds_WP_004482950.1_2437	30.928	97	220
WP_004280807.1	lcl|NZ_JQRH01000002.1_cds_WP_004465531.1_74	24.638	207	220
WP_004280570.1	lcl|NZ_JQRH01000049.1_cds_WP_061236317.1_2073	37.910	335	354
WP_004280570.1	lcl|NZ_JQRH01000049.1_cds_WP_004483049.1_2058	31.073	354	354
WP_004280570.1	lcl|NZ_JQRH01000051.1_cds_WP_004475890.1_2127	33.106	293	354
WP_004280570.1	lcl|NZ_JQRH01000041.1_cds_WP_004462889.1_1725	25.652	230	354
WP_004280570.1	lcl|NZ_JQRH01000049.1_cds_WP_061236317.1_2073	37.910	335	354
WP_004280570.1	lcl|NZ_JQRH01000049.1_cds_WP_004483049.1_2058	31.073	354	354
WP_004280570.1	lcl|NZ_JQRH01000051.1_cds_WP_004475890.1_2127	33.106	293	354
WP_004280570.1	lcl|NZ_JQRH01000041.1_cds_WP_004462889.1_1725	25.652	230	354
WP_004280623.1	lcl|NZ_JQRH01000143.1_cds_WP_017862685.1_3437	30.233	215	230
WP_004280623.1	lcl|NZ_JQRH01000018.1_cds_WP_004464381.1_941	30.909	110	230
WP_004280359.1	lcl|NZ_JQRH01000104.1_cds_WP_026131460.1_3105	29.358	654	599
WP_004280004.1	lcl|NZ_JQRH01000082.1_cds_WP_004466571.1_2800	30.623	369	387
WP_004280004.1	lcl|NZ_JQRH01000049.1_cds_WP_061236318.1_2075	35.628	247	387
