WP_002764162.1	lcl|NZ_JQPY01000072.1_cds_WP_000340715.1_2066	93.902	82	106
WP_004279997.1	lcl|NZ_JQPY01000072.1_cds_WP_000410275.1_2067	91.318	311	327
WP_004279997.1	lcl|NZ_JQPY01000072.1_cds_WP_000723078.1_2116	22.179	257	327
WP_004279997.1	lcl|NZ_JQPY01000022.1_cds_WP_000744700.1_872	22.936	327	327
WP_004279997.1	lcl|NZ_JQPY01000072.1_cds_WP_000723090.1_2136	22.414	290	327
WP_004279997.1	lcl|NZ_JQPY01000072.1_cds_WP_000567887.1_2118	23.009	226	327
WP_004279997.1	lcl|NZ_JQPY01000196.1_cds_WP_173646071.1_3690	23.932	234	327
WP_004280069.1	lcl|NZ_JQPY01000072.1_cds_WP_000020777.1_2068	96.676	361	361
WP_004280807.1	lcl|NZ_JQPY01000072.1_cds_WP_061243623.1_2069	96.804	219	220
WP_004280807.1	lcl|NZ_JQPY01000033.1_cds_WP_001099033.1_1202	26.009	223	220
WP_004280807.1	lcl|NZ_JQPY01000072.1_cds_WP_001068977.1_2132	26.609	233	220
WP_004280807.1	lcl|NZ_JQPY01000072.1_cds_WP_002189135.1_2110	28.571	133	220
WP_004280807.1	lcl|NZ_JQPY01000088.1_cds_WP_000840861.1_2422	29.808	104	220
WP_004280807.1	lcl|NZ_JQPY01000189.1_cds_WP_000868621.1_3636	29.670	91	220
WP_004280807.1	lcl|NZ_JQPY01000056.1_cds_WP_001114275.1_1772	26.136	176	220
WP_004280807.1	lcl|NZ_JQPY01000090.1_cds_WP_000262844.1_2474	24.638	207	220
WP_004280570.1	lcl|NZ_JQPY01000072.1_cds_WP_001136118.1_2070	96.328	354	354
WP_004280570.1	lcl|NZ_JQPY01000072.1_cds_WP_002189187.1_2089	33.333	288	354
WP_004280570.1	lcl|NZ_JQPY01000133.1_cds_WP_001011673.1_3039	33.898	295	354
WP_004280570.1	lcl|NZ_JQPY01000072.1_cds_WP_001136118.1_2070	96.328	354	354
