WP_002764162.1	lcl|NZ_JQPX01000126.1_cds_WP_000340715.1_3177	93.902	82	106
WP_004279997.1	lcl|NZ_JQPX01000126.1_cds_WP_000410273.1_3176	91.613	310	327
WP_004279997.1	lcl|NZ_JQPX01000126.1_cds_WP_000646251.1_3173	27.778	252	327
WP_004279997.1	lcl|NZ_JQPX01000031.1_cds_WP_061241946.1_969	22.936	327	327
WP_004279997.1	lcl|NZ_JQPX01000088.1_cds_WP_000723090.1_2464	22.414	290	327
WP_004279997.1	lcl|NZ_JQPX01000126.1_cds_WP_061243501.1_3170	24.847	326	327
WP_004280807.1	lcl|NZ_JQPX01000088.1_cds_WP_000282884.1_2468	29.362	235	220
WP_004280807.1	lcl|NZ_JQPX01000052.1_cds_WP_001099037.1_1531	26.457	223	220
WP_004280807.1	lcl|NZ_JQPX01000100.1_cds_WP_000840860.1_2744	29.808	104	220
WP_004280807.1	lcl|NZ_JQPX01000094.1_cds_WP_000868624.1_2622	29.670	91	220
WP_004280807.1	lcl|NZ_JQPX01000088.1_cds_WP_042752237.1_2461	26.136	176	220
WP_004280807.1	lcl|NZ_JQPX01000119.1_cds_WP_000262844.1_3054	24.638	207	220
WP_004280570.1	lcl|NZ_JQPX01000126.1_cds_WP_001033784.1_3144	32.571	350	354
WP_004280570.1	lcl|NZ_JQPX01000138.1_cds_WP_001011673.1_3312	33.898	295	354
WP_004280570.1	lcl|NZ_JQPX01000126.1_cds_WP_002068380.1_3150	28.435	313	354
WP_004280570.1	lcl|NZ_JQPX01000126.1_cds_WP_001033784.1_3144	32.571	350	354
WP_004280570.1	lcl|NZ_JQPX01000138.1_cds_WP_001011673.1_3312	33.898	295	354
WP_004280570.1	lcl|NZ_JQPX01000126.1_cds_WP_002068380.1_3150	28.435	313	354
WP_004280623.1	lcl|NZ_JQPX01000011.1_cds_WP_061241375.1_252	43.373	166	230
WP_004280623.1	lcl|NZ_JQPX01000004.1_cds_WP_061241239.1_32	28.365	208	230
WP_004280623.1	lcl|NZ_JQPX01000126.1_cds_WP_000440092.1_3149	25.676	222	230
WP_004280623.1	lcl|NZ_JQPX01000029.1_cds_WP_000721859.1_899	30.000	110	230
WP_004280004.1	lcl|NZ_JQPX01000146.1_cds_WP_001281953.1_3417	32.172	373	387
WP_004280004.1	lcl|NZ_JQPX01000126.1_cds_WP_000608294.1_3168	34.322	236	387
WP_004280004.1	lcl|NZ_JQPX01000126.1_cds_WP_000172660.1_3152	34.400	250	387
WP_004280004.1	lcl|NZ_JQPX01000126.1_cds_WP_061243499.1_3169	36.893	206	387
WP_004280004.1	lcl|NZ_JQPX01000088.1_cds_WP_010679520.1_2470	29.682	283	387
