WP_002764162.1	lcl|NZ_JADHZY010000003.1_cds_WP_002725873.1_2031	100.000	82	106
WP_004279997.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733579.1_2030	97.742	310	327
WP_004279997.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733534.1_2027	27.381	252	327
WP_004279997.1	lcl|NZ_JADHZY010000018.1_cds_WP_002722638.1_654	24.383	324	327
WP_004279997.1	lcl|NZ_JADHZY010000003.1_cds_WP_002740024.1_1936	22.337	291	327
WP_004279997.1	lcl|NZ_JADHZY010000002.1_cds_ISU80_RS00825_1413	25.726	241	327
WP_004279997.1	lcl|NZ_JADHZY010000009.1_cds_WP_002743770.1_3343	21.387	173	327
WP_004279997.1	lcl|NZ_JADHZY010000003.1_cds_WP_016749081.1_1998	24.503	151	327
WP_004280807.1	lcl|NZ_JADHZY010000032.1_cds_WP_002738595.1_1683	26.577	222	220
WP_004280807.1	lcl|NZ_JADHZY010000003.1_cds_WP_002742128.1_1940	26.180	233	220
WP_004280807.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733661.1_1960	33.696	92	220
WP_004280807.1	lcl|NZ_JADHZY010000028.1_cds_WP_002731944.1_1348	30.172	116	220
WP_004280807.1	lcl|NZ_JADHZY010000011.1_cds_WP_002726501.1_147	29.787	94	220
WP_004280807.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733618.1_1933	25.000	176	220
WP_004280570.1	lcl|NZ_JADHZY010000003.1_cds_WP_002740722.1_1987	36.012	336	354
WP_004280570.1	lcl|NZ_JADHZY010000003.1_cds_WP_002740726.1_1983	32.840	338	354
WP_004280570.1	lcl|NZ_JADHZY010000014.1_cds_WP_002730849.1_387	33.333	288	354
WP_004280570.1	lcl|NZ_JADHZY010000003.1_cds_WP_002740722.1_1987	36.012	336	354
WP_004280570.1	lcl|NZ_JADHZY010000003.1_cds_WP_002740726.1_1983	32.840	338	354
WP_004280570.1	lcl|NZ_JADHZY010000014.1_cds_WP_002730849.1_387	33.333	288	354
WP_004280623.1	lcl|NZ_JADHZY010000002.1_cds_WP_002738760.1_1534	30.476	210	230
WP_004280623.1	lcl|NZ_JADHZY010000020.1_cds_WP_002723863.1_914	29.091	110	230
WP_004280623.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733600.1_1969	28.814	118	230
WP_004280359.1	lcl|NZ_JADHZY010000070.1_cds_WP_004278354.1_3053	28.550	655	599
WP_004280004.1	lcl|NZ_JADHZY010000025.1_cds_WP_002728994.1_1210	30.914	372	387
WP_004280004.1	lcl|NZ_JADHZY010000003.1_cds_WP_002740861.1_2022	33.898	236	387
WP_004280004.1	lcl|NZ_JADHZY010000003.1_cds_WP_002740826.1_2023	36.408	206	387
WP_004280004.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733737.1_2002	32.420	219	387
WP_004280004.1	lcl|NZ_JADHZY010000003.1_cds_WP_002740294.1_1942	31.095	283	387
WP_004280004.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733599.1_1989	31.939	263	387
WP_004280004.1	lcl|NZ_JADHZY010000002.1_cds_WP_002738884.1_1463	28.483	323	387
WP_004280004.1	lcl|NZ_JADHZY010000008.1_cds_WP_002724641.1_3292	25.137	366	387
WP_004280066.1	lcl|NZ_JADHZY010000070.1_cds_WP_004278354.1_3053	40.902	599	583
