WP_002764162.1	lcl|NZ_JADDWV010000115.1_cds_WP_002725873.1_253	100.000	82	106
WP_004279997.1	lcl|NZ_JADDWV010000115.1_cds_WP_002725867.1_254	97.428	311	327
WP_004279997.1	lcl|NZ_JADDWV010000196.1_cds_WP_193816902.1_1089	20.623	257	327
WP_004279997.1	lcl|NZ_JADDWV010000164.1_cds_WP_061208146.1_806	24.074	324	327
WP_004279997.1	lcl|NZ_JADDWV010000196.1_cds_WP_011669957.1_1087	25.275	182	327
WP_004279997.1	lcl|NZ_JADDWV010000165.1_cds_WP_011671706.1_831	22.337	291	327
WP_004279997.1	lcl|NZ_JADDWV010000022.1_cds_WP_061208650.1_1623	25.455	330	327
WP_004279997.1	lcl|NZ_JADDWV010000136.1_cds_WP_002729504.1_455	21.387	173	327
WP_004280069.1	lcl|NZ_JADDWV010000115.1_cds_WP_011671697.1_255	98.061	361	361
WP_004280807.1	lcl|NZ_JADDWV010000115.1_cds_WP_011669919.1_256	98.636	220	220
WP_004280807.1	lcl|NZ_JADDWV010000208.1_cds_WP_193816943.1_1233	27.027	222	220
WP_004280807.1	lcl|NZ_JADDWV010000165.1_cds_WP_011669970.1_827	26.180	233	220
WP_004280807.1	lcl|NZ_JADDWV010000196.1_cds_WP_011671702.1_1094	24.138	232	220
WP_004280807.1	lcl|NZ_JADDWV010000119.1_cds_WP_193816692.1_321	30.172	116	220
WP_004280807.1	lcl|NZ_JADDWV010000165.1_cds_WP_193816828.1_834	25.000	176	220
WP_004280807.1	lcl|NZ_JADDWV010000014.1_cds_WP_002734441.1_572	29.787	94	220
WP_004280570.1	lcl|NZ_JADDWV010000115.1_cds_WP_193816672.1_257	96.893	354	354
WP_004280570.1	lcl|NZ_JADDWV010000215.1_cds_WP_193817012.1_1444	33.557	298	354
WP_004280570.1	lcl|NZ_JADDWV010000108.1_cds_WP_061208977.1_120	33.333	288	354
WP_004280570.1	lcl|NZ_JADDWV010000115.1_cds_WP_193816672.1_257	96.893	354	354
WP_004280570.1	lcl|NZ_JADDWV010000215.1_cds_WP_193817012.1_1444	33.557	298	354
