WP_002764162.1	lcl|NZ_JADDWP010000038.1_cds_WP_000340715.1_2332	93.902	82	106
WP_004279997.1	lcl|NZ_JADDWP010000038.1_cds_WP_000410266.1_2331	91.613	310	327
WP_004279997.1	lcl|NZ_JADDWP010000038.1_cds_WP_000646254.1_2328	27.778	252	327
WP_004279997.1	lcl|NZ_JADDWP010000013.1_cds_WP_000744698.1_357	22.936	327	327
WP_004279997.1	lcl|NZ_JADDWP010000016.1_cds_WP_000723091.1_636	22.759	290	327
WP_004279997.1	lcl|NZ_JADDWP010000313.1_cds_WP_193825806.1_1956	30.392	102	327
WP_004279997.1	lcl|NZ_JADDWP010000038.1_cds_WP_001067557.1_2325	24.847	326	327
WP_004279997.1	lcl|NZ_JADDWP010000004.1_cds_WP_002072074.1_2957	23.856	306	327
WP_004280807.1	lcl|NZ_JADDWP010000016.1_cds_WP_000282882.1_640	29.362	235	220
WP_004280807.1	lcl|NZ_JADDWP010000010.1_cds_WP_001099039.1_22	26.906	223	220
WP_004280807.1	lcl|NZ_JADDWP010000033.1_cds_WP_000840861.1_2080	29.808	104	220
WP_004280807.1	lcl|NZ_JADDWP010000032.1_cds_WP_000868621.1_2042	29.670	91	220
WP_004280807.1	lcl|NZ_JADDWP010000016.1_cds_WP_001114273.1_633	26.136	176	220
WP_004280807.1	lcl|NZ_JADDWP010000056.1_cds_WP_000262844.1_3154	24.638	207	220
WP_004280570.1	lcl|NZ_JADDWP010000028.1_cds_WP_001033784.1_1605	32.571	350	354
WP_004280570.1	lcl|NZ_JADDWP010000018.1_cds_WP_001011666.1_747	33.898	295	354
WP_004280570.1	lcl|NZ_JADDWP010000028.1_cds_WP_002072154.1_1599	28.435	313	354
WP_004280570.1	lcl|NZ_JADDWP010000028.1_cds_WP_001033784.1_1605	32.571	350	354
WP_004280570.1	lcl|NZ_JADDWP010000018.1_cds_WP_001011666.1_747	33.898	295	354
WP_004280570.1	lcl|NZ_JADDWP010000028.1_cds_WP_002072154.1_1599	28.435	313	354
WP_004280623.1	lcl|NZ_JADDWP010000030.1_cds_WP_000696059.1_1952	43.373	166	230
WP_004280623.1	lcl|NZ_JADDWP010000046.1_cds_WP_001014594.1_2774	28.365	208	230
WP_004280623.1	lcl|NZ_JADDWP010000028.1_cds_WP_000440091.1_1600	25.118	211	230
