WP_004753574.1	lcl|NZ_JADDWA010000005.1_cds_WP_002725873.1_2675	89.535	86	106
WP_004755091.1	lcl|NZ_JADDWA010000005.1_cds_WP_002733579.1_2676	92.994	314	314
WP_004755091.1	lcl|NZ_JADDWA010000017.1_cds_WP_002722638.1_606	22.936	327	314
WP_004755091.1	lcl|NZ_JADDWA010000005.1_cds_WP_002733534.1_2679	26.493	268	314
WP_004755091.1	lcl|NZ_JADDWA010000005.1_cds_WP_002740024.1_2770	23.843	281	314
WP_004755091.1	lcl|NZ_JADDWA010000013.1_cds_WP_002743770.1_357	22.941	170	314
WP_004755091.1	lcl|NZ_JADDWA010000006.1_cds_WP_002728309.1_2921	27.586	203	314
WP_004755091.1	lcl|NZ_JADDWA010000005.1_cds_WP_016749081.1_2708	24.503	151	314
WP_004777161.1	lcl|NZ_JADDWA010000005.1_cds_WP_026054882.1_2677	86.575	365	365
WP_004766667.1	lcl|NZ_JADDWA010000005.1_cds_WP_002733646.1_2678	96.757	185	185
WP_004766667.1	lcl|NZ_JADDWA010000003.1_cds_WP_002721790.1_1924	34.337	166	185
WP_004755430.1	lcl|NZ_JADDWA010000005.1_cds_WP_002733534.1_2679	97.872	329	329
WP_004755430.1	lcl|NZ_JADDWA010000017.1_cds_WP_002722638.1_606	30.159	315	329
WP_004755430.1	lcl|NZ_JADDWA010000005.1_cds_WP_002740024.1_2770	31.157	337	329
WP_004755430.1	lcl|NZ_JADDWA010000006.1_cds_WP_002728309.1_2921	30.868	311	329
WP_004755430.1	lcl|NZ_JADDWA010000013.1_cds_WP_002743770.1_357	27.566	341	329
WP_004755430.1	lcl|NZ_JADDWA010000006.1_cds_WP_002728316.1_2924	28.485	330	329
WP_004755430.1	lcl|NZ_JADDWA010000005.1_cds_WP_002733638.1_2716	27.941	340	329
WP_004755430.1	lcl|NZ_JADDWA010000076.1_cds_WP_002741146.1_3086	29.487	312	329
WP_004755430.1	lcl|NZ_JADDWA010000005.1_cds_WP_002733546.1_2745	26.667	270	329
WP_004755430.1	lcl|NZ_JADDWA010000005.1_cds_WP_002740721.1_2682	28.387	310	329
WP_004755430.1	lcl|NZ_JADDWA010000007.1_cds_WP_002732331.1_3190	26.254	339	329
WP_004755430.1	lcl|NZ_JADDWA010000005.1_cds_WP_002744551.1_2710	29.889	271	329
WP_004755430.1	lcl|NZ_JADDWA010000005.1_cds_WP_002733698.1_2753	26.642	274	329
