WP_004753574.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000340715.1_415	94.186	86	106
WP_004755091.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000410273.1_414	96.815	314	314
WP_004755091.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000093099.1_394	57.143	63	314
WP_004755091.1	lcl|NZ_JAGGCO010000008.1_cds_WP_000744700.1_1362	24.471	331	314
WP_004755091.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000646250.1_411	27.239	268	314
WP_004755091.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000723090.1_332	22.917	288	314
WP_004755091.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000600889.1_385	24.194	186	314
WP_004777161.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000604524.1_413	94.247	365	365
WP_004766667.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000884059.1_412	96.757	185	185
WP_004766667.1	lcl|NZ_JAGGCO010000003.1_cds_WP_000351733.1_648	40.714	140	185
WP_004755430.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000646250.1_411	97.568	329	329
WP_004755430.1	lcl|NZ_JAGGCO010000008.1_cds_WP_000744700.1_1362	32.381	315	329
WP_004755430.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000723090.1_332	31.045	335	329
WP_004755430.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000600889.1_385	31.677	322	329
WP_004755430.1	lcl|NZ_JAGGCO010000027.1_cds_WP_001984071.1_2814	31.935	310	329
WP_004755430.1	lcl|NZ_JAGGCO010000009.1_cds_WP_000649925.1_1488	29.573	328	329
WP_004755430.1	lcl|NZ_JAGGCO010000061.1_cds_WP_000709511.1_3676	29.730	333	329
WP_004755430.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000601375.1_358	25.000	300	329
WP_004755430.1	lcl|NZ_JAGGCO010000027.1_cds_WP_000688695.1_2834	29.091	275	329
WP_004755430.1	lcl|NZ_JAGGCO010000002.1_cds_WP_001067557.1_408	27.541	305	329
WP_004755430.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000475904.1_349	27.372	274	329
WP_004755430.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000410273.1_414	26.101	318	329
WP_004755430.1	lcl|NZ_JAGGCO010000006.1_cds_WP_001074785.1_1085	29.057	265	329
WP_004755430.1	lcl|NZ_JAGGCO010000019.1_cds_WP_001003555.1_2405	25.148	338	329
WP_004755430.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000487322.1_360	26.994	326	329
WP_004758405.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000774262.1_410	93.633	267	267
WP_004758405.1	lcl|NZ_JAGGCO010000002.1_cds_WP_000859505.1_361	26.693	251	267
