WP_004753574.1	lcl|NZ_JAIZBK010000002.1_cds_WP_135746496.1_2031	61.538	78	106
WP_004755091.1	lcl|NZ_JAIZBK010000002.1_cds_WP_135746495.1_2032	82.258	310	314
WP_004755091.1	lcl|NZ_JAIZBK010000001.1_cds_WP_135745382.1_1494	27.476	313	314
WP_004755091.1	lcl|NZ_JAIZBK010000001.1_cds_WP_135745407.1_1521	22.840	324	314
WP_004755091.1	lcl|NZ_JAIZBK010000006.1_cds_WP_135743732.1_3464	23.529	170	314
WP_004755091.1	lcl|NZ_JAIZBK010000002.1_cds_WP_238753201.1_2098	27.152	151	314
WP_004777161.1	lcl|NZ_JAIZBK010000002.1_cds_WP_238753116.1_2034	52.486	362	365
WP_004766667.1	lcl|NZ_JAIZBK010000003.1_cds_WP_135744205.1_2473	31.757	148	185
WP_004755430.1	lcl|NZ_JAIZBK010000001.1_cds_WP_135745407.1_1521	31.529	314	329
WP_004755430.1	lcl|NZ_JAIZBK010000002.1_cds_WP_238753201.1_2098	27.874	348	329
WP_004755430.1	lcl|NZ_JAIZBK010000001.1_cds_WP_135744912.1_908	30.000	310	329
WP_004755430.1	lcl|NZ_JAIZBK010000006.1_cds_WP_135743732.1_3464	29.619	341	329
WP_004755430.1	lcl|NZ_JAIZBK010000002.1_cds_WP_338127456.1_2076	30.645	310	329
WP_004755430.1	lcl|NZ_JAIZBK010000001.1_cds_WP_135745055.1_1082	28.395	324	329
WP_004755430.1	lcl|NZ_JAIZBK010000001.1_cds_WP_135745382.1_1494	27.476	313	329
WP_004755430.1	lcl|NZ_JAIZBK010000002.1_cds_WP_238753159.1_2064	26.667	315	329
WP_004755430.1	lcl|NZ_JAIZBK010000002.1_cds_WP_238753148.1_2052	25.868	317	329
WP_004755430.1	lcl|NZ_JAIZBK010000002.1_cds_WP_135746495.1_2032	26.332	319	329
WP_004755430.1	lcl|NZ_JAIZBK010000001.1_cds_WP_238734906.1_1149	29.249	253	329
WP_004755430.1	lcl|NZ_JAIZBK010000002.1_cds_WP_238753183.1_2083	26.506	249	329
WP_004755430.1	lcl|NZ_JAIZBK010000001.1_cds_WP_135745455.1_1575	29.317	249	329
WP_004755430.1	lcl|NZ_JAIZBK010000001.1_cds_WP_238752882.1_1857	23.922	255	329
WP_004755430.1	lcl|NZ_JAIZBK010000002.1_cds_WP_238753226.1_2120	25.000	268	329
WP_004755430.1	lcl|NZ_JAIZBK010000002.1_cds_WP_135746455.1_2073	31.646	158	329
WP_004755430.1	lcl|NZ_JAIZBK010000006.1_cds_WP_208739683.1_3453	26.840	231	329
WP_004755430.1	lcl|NZ_JAIZBK010000001.1_cds_WP_238734886.1_1141	23.704	270	329
WP_004755430.1	lcl|NZ_JAIZBK010000002.1_cds_WP_135746444.1_2084	19.444	252	329
WP_004758405.1	lcl|NZ_JAIZBK010000002.1_cds_WP_238753153.1_2059	25.000	200	267
WP_004758405.1	lcl|NZ_JAIZBK010000002.1_cds_WP_135746453.1_2075	25.681	257	267
WP_004758405.1	lcl|NZ_JAIZBK010000002.1_cds_WP_135746379.1_2181	24.904	261	267
WP_004758405.1	lcl|NZ_JAIZBK010000001.1_cds_WP_135744998.1_1015	29.070	172	267
WP_004758405.1	lcl|NZ_JAIZBK010000001.1_cds_WP_135745137.1_1177	33.913	115	267
WP_004758405.1	lcl|NZ_JAIZBK010000002.1_cds_WP_322113260.1_2099	23.944	213	267
WP_004758405.1	lcl|NZ_JAIZBK010000006.1_cds_WP_238754283.1_3465	27.368	190	267
WP_016748627.1	lcl|NZ_JAIZBK010000003.1_cds_WP_238754012.1_2451	24.781	343	509
WP_016748627.1	lcl|NZ_JAIZBK010000003.1_cds_WP_135744224.1_2450	28.302	106	509
