WP_004753574.1	lcl|NZ_AFLD01000234.1_cds_WP_000340715.1_319	94.186	86	106
WP_004755091.1	lcl|NZ_AFLD01000079.1_cds_WP_001073704.1_2176	97.006	167	314
WP_004755091.1	lcl|NZ_AFLD01000234.1_cds_WP_000410270.1_318	96.575	146	314
WP_004755091.1	lcl|NZ_AFLD01000079.1_cds_WP_000093099.1_2196	57.143	63	314
WP_004755091.1	lcl|NZ_AFLD01000125.1_cds_WP_000744700.1_1566	24.471	331	314
WP_004755091.1	lcl|NZ_AFLD01000079.1_cds_WP_000646250.1_2179	27.239	268	314
WP_004755091.1	lcl|NZ_AFLD01000079.1_cds_WP_000723090.1_2258	22.917	288	314
WP_004755091.1	lcl|NZ_AFLD01000079.1_cds_WP_000600889.1_2205	24.194	186	314
WP_004777161.1	lcl|NZ_AFLD01000079.1_cds_WP_000604524.1_2177	94.247	365	365
WP_004766667.1	lcl|NZ_AFLD01000079.1_cds_WP_000884059.1_2178	96.757	185	185
WP_004766667.1	lcl|NZ_AFLD01000030.1_cds_WP_000351733.1_3151	40.714	140	185
WP_004755430.1	lcl|NZ_AFLD01000079.1_cds_WP_000646250.1_2179	97.568	329	329
WP_004755430.1	lcl|NZ_AFLD01000125.1_cds_WP_000744700.1_1566	32.381	315	329
WP_004755430.1	lcl|NZ_AFLD01000079.1_cds_WP_000723090.1_2258	31.045	335	329
WP_004755430.1	lcl|NZ_AFLD01000079.1_cds_WP_000600889.1_2205	31.677	322	329
WP_004755430.1	lcl|NZ_AFLD01000148.1_cds_WP_001984071.1_1215	31.935	310	329
WP_004755430.1	lcl|NZ_AFLD01000265.1_cds_WP_000649925.1_240	29.573	328	329
WP_004755430.1	lcl|NZ_AFLD01000281.1_cds_WP_000709511.1_29	29.730	333	329
WP_004755430.1	lcl|NZ_AFLD01000079.1_cds_WP_000601375.1_2232	25.000	300	329
WP_004755430.1	lcl|NZ_AFLD01000148.1_cds_WP_000688695.1_1194	29.091	275	329
WP_004755430.1	lcl|NZ_AFLD01000079.1_cds_WP_001067557.1_2182	27.541	305	329
WP_004755430.1	lcl|NZ_AFLD01000079.1_cds_WP_000475904.1_2241	27.372	274	329
WP_004755430.1	lcl|NZ_AFLD01000057.1_cds_WP_001074785.1_2422	29.057	265	329
WP_004755430.1	lcl|NZ_AFLD01000028.1_cds_WP_001003555.1_3301	25.148	338	329
WP_004755430.1	lcl|NZ_AFLD01000079.1_cds_WP_000487322.1_2230	26.994	326	329
WP_004758405.1	lcl|NZ_AFLD01000079.1_cds_WP_000774262.1_2180	93.633	267	267
WP_004758405.1	lcl|NZ_AFLD01000079.1_cds_WP_000859505.1_2229	26.693	251	267
WP_004758405.1	lcl|NZ_AFLD01000079.1_cds_WP_000800438.1_2210	25.630	238	267
WP_004758405.1	lcl|NZ_AFLD01000079.1_cds_WP_000842260.1_2259	26.842	190	267
