WP_004753574.1	lcl|NZ_ANIM01000026.1_cds_WP_004753574.1_535	100.000	86	106
WP_004755091.1	lcl|NZ_ANIM01000026.1_cds_WP_020778495.1_534	97.452	314	314
WP_004755091.1	lcl|NZ_ANIM01000006.1_cds_WP_004753565.1_77	24.471	331	314
WP_004755091.1	lcl|NZ_ANIM01000026.1_cds_WP_004755430.1_531	25.472	318	314
WP_004755091.1	lcl|NZ_ANIM01000057.1_cds_WP_020778800.1_1210	23.132	281	314
WP_004777161.1	lcl|NZ_ANIM01000026.1_cds_WP_020778491.1_533	99.178	365	365
WP_004766667.1	lcl|NZ_ANIM01000026.1_cds_WP_004766667.1_532	100.000	185	185
WP_004766667.1	lcl|NZ_ANIM01000088.1_cds_WP_004752075.1_2051	41.429	140	185
WP_004755430.1	lcl|NZ_ANIM01000026.1_cds_WP_004755430.1_531	100.000	329	329
WP_004755430.1	lcl|NZ_ANIM01000006.1_cds_WP_004753565.1_77	31.746	315	329
WP_004755430.1	lcl|NZ_ANIM01000057.1_cds_WP_020778800.1_1210	30.861	337	329
WP_004755430.1	lcl|NZ_ANIM01000008.1_cds_WP_020778364.1_203	32.362	309	329
WP_004755430.1	lcl|NZ_ANIM01000085.1_cds_WP_020766960.1_1986	30.154	325	329
WP_004755430.1	lcl|NZ_ANIM01000008.1_cds_WP_004751412.1_215	30.154	325	329
WP_004755430.1	lcl|NZ_ANIM01000062.1_cds_WP_020778875.1_1387	27.566	341	329
WP_004755430.1	lcl|NZ_ANIM01000026.1_cds_WP_004755319.1_528	28.710	310	329
WP_004755430.1	lcl|NZ_ANIM01000026.1_cds_WP_020778495.1_534	24.843	318	329
WP_004755430.1	lcl|NZ_ANIM01000057.1_cds_WP_020762909.1_1193	26.277	274	329
WP_004755430.1	lcl|NZ_ANIM01000097.1_cds_WP_020779226.1_2334	30.000	180	329
WP_004755430.1	lcl|NZ_ANIM01000064.1_cds_WP_016750792.1_1438	28.839	267	329
WP_004755430.1	lcl|NZ_ANIM01000127.1_cds_WP_004766563.1_2769	26.255	259	329
WP_004755430.1	lcl|NZ_ANIM01000093.1_cds_WP_020765537.1_2221	32.031	128	329
WP_004758405.1	lcl|NZ_ANIM01000026.1_cds_WP_004762941.1_530	99.251	267	267
WP_004758405.1	lcl|NZ_ANIM01000057.1_cds_WP_020778801.1_1211	26.455	189	267
WP_004758405.1	lcl|NZ_ANIM01000061.1_cds_WP_020778860.1_1365	27.807	187	267
WP_004758405.1	lcl|NZ_ANIM01000145.1_cds_WP_004758210.1_3311	27.660	188	267
WP_016748627.1	lcl|NZ_ANIM01000026.1_cds_WP_004777106.1_529	99.607	509	509
WP_016748627.1	lcl|NZ_ANIM01000130.1_cds_WP_020779477.1_2889	26.807	332	509
WP_016748627.1	lcl|NZ_ANIM01000130.1_cds_WP_020766999.1_2890	31.111	90	509
WP_016748627.1	lcl|NZ_ANIM01000026.1_cds_WP_004777106.1_529	99.607	509	509
WP_016748627.1	lcl|NZ_ANIM01000130.1_cds_WP_020779477.1_2889	26.807	332	509
WP_016748627.1	lcl|NZ_ANIM01000130.1_cds_WP_020766999.1_2890	31.111	90	509
WP_004755319.1	lcl|NZ_ANIM01000026.1_cds_WP_004755319.1_528	99.697	330	330
WP_004755319.1	lcl|NZ_ANIM01000026.1_cds_WP_004755430.1_531	28.710	310	330
WP_004755319.1	lcl|NZ_ANIM01000008.1_cds_WP_020778364.1_203	25.092	271	330
WP_004755319.1	lcl|NZ_ANIM01000057.1_cds_WP_020778800.1_1210	26.048	334	330
WP_004755319.1	lcl|NZ_ANIM01000006.1_cds_WP_004753565.1_77	26.812	276	330
WP_004755319.1	lcl|NZ_ANIM01000097.1_cds_WP_020779226.1_2334	26.693	251	330
WP_004755319.1	lcl|NZ_ANIM01000085.1_cds_WP_020766960.1_1986	29.644	253	330
WP_004755319.1	lcl|NZ_ANIM01000062.1_cds_WP_020778875.1_1387	25.551	227	330
WP_004754883.1	lcl|NZ_ANIM01000026.1_cds_WP_004754883.1_527	100.000	366	366
WP_004754883.1	lcl|NZ_ANIM01000026.1_cds_WP_020778494.1_526	39.452	365	366
WP_004754883.1	lcl|NZ_ANIM01000057.1_cds_WP_020778805.1_1204	34.384	349	366
WP_004754883.1	lcl|NZ_ANIM01000061.1_cds_WP_004754030.1_1371	28.760	379	366
