WP_004753574.1	lcl|NZ_AHNB02000048.1_cds_WP_000340715.1_1300	94.186	86	106
WP_004755091.1	lcl|NZ_AHNB02000048.1_cds_WP_000410268.1_1301	96.774	310	314
WP_004755091.1	lcl|NZ_AHNB02000022.1_cds_WP_000744700.1_2998	24.471	331	314
WP_004755091.1	lcl|NZ_AHNB02000048.1_cds_WP_000723079.1_1351	23.656	279	314
WP_004755091.1	lcl|NZ_AHNB02000048.1_cds_WP_000723083.1_1373	23.264	288	314
WP_004755091.1	lcl|NZ_AHNB02000048.1_cds_WP_000567886.1_1353	23.364	214	314
WP_004766667.1	lcl|NZ_AHNB02000018.1_cds_WP_000351733.1_3320	40.714	140	185
WP_004766667.1	lcl|NZ_AHNB02000048.1_cds_WP_001047906.1_1332	34.463	177	185
WP_004755430.1	lcl|NZ_AHNB02000048.1_cds_WP_000723079.1_1351	30.841	321	329
WP_004755430.1	lcl|NZ_AHNB02000022.1_cds_WP_000744700.1_2998	32.381	315	329
WP_004755430.1	lcl|NZ_AHNB02000048.1_cds_WP_000723083.1_1373	31.343	335	329
WP_004755430.1	lcl|NZ_AHNB02000051.1_cds_WP_001984071.1_1077	31.935	310	329
WP_004755430.1	lcl|NZ_AHNB02000022.1_cds_WP_000649924.1_2837	29.573	328	329
WP_004755430.1	lcl|NZ_AHNB02000048.1_cds_WP_000567886.1_1353	29.180	305	329
WP_004755430.1	lcl|NZ_AHNB02000051.1_cds_WP_000709513.1_1067	29.730	333	329
WP_004755430.1	lcl|NZ_AHNB02000051.1_cds_WP_000688693.1_1099	29.091	275	329
WP_004755430.1	lcl|NZ_AHNB02000048.1_cds_WP_000410268.1_1301	26.061	330	329
WP_004755430.1	lcl|NZ_AHNB02000048.1_cds_WP_000475907.1_1356	26.667	240	329
WP_004755430.1	lcl|NZ_AHNB02000001.1_cds_WP_001074779.1_4087	28.679	265	329
WP_004755430.1	lcl|NZ_AHNB02000022.1_cds_WP_001003557.1_3130	25.000	332	329
WP_004758405.1	lcl|NZ_AHNB02000048.1_cds_WP_000043899.1_1352	26.016	246	267
WP_004758405.1	lcl|NZ_AHNB02000048.1_cds_WP_000842260.1_1374	26.842	190	267
WP_004758405.1	lcl|NZ_AHNB02000051.1_cds_WP_000667727.1_1121	30.909	110	267
WP_004758405.1	lcl|NZ_AHNB02000032.1_cds_WP_000805357.1_2254	27.660	188	267
WP_016748627.1	lcl|NZ_AHNB02000070.1_cds_WP_000291579.1_379	27.469	324	509
WP_016748627.1	lcl|NZ_AHNB02000070.1_cds_WP_000364507.1_378	31.111	90	509
WP_016748627.1	lcl|NZ_AHNB02000070.1_cds_WP_000291579.1_379	27.469	324	509
WP_016748627.1	lcl|NZ_AHNB02000070.1_cds_WP_000364507.1_378	31.111	90	509
WP_004755319.1	lcl|NZ_AHNB02000048.1_cds_WP_000723079.1_1351	22.545	275	330
WP_004755319.1	lcl|NZ_AHNB02000051.1_cds_WP_001984071.1_1077	24.632	272	330
