WP_004753574.1	lcl|NZ_JASEXG010000002.1_cds_WP_004462903.1_314	93.023	86	106
WP_004755091.1	lcl|NZ_JASEXG010000002.1_cds_WP_004472299.1_313	92.903	310	314
WP_004755091.1	lcl|NZ_JASEXG010000011.1_cds_WP_004471108.1_1761	25.000	324	314
WP_004755091.1	lcl|NZ_JASEXG010000002.1_cds_WP_282967932.1_310	25.157	318	314
WP_004755091.1	lcl|NZ_JASEXG010000013.1_cds_WP_004487738.1_1943	24.398	332	314
WP_004755091.1	lcl|NZ_JASEXG010000025.1_cds_WP_004465060.1_2918	23.488	281	314
WP_004755091.1	lcl|NZ_JASEXG010000002.1_cds_WP_282968181.1_283	26.282	156	314
WP_004777161.1	lcl|NZ_JASEXG010000002.1_cds_WP_004479563.1_312	83.288	365	365
WP_004766667.1	lcl|NZ_JASEXG010000002.1_cds_WP_016755108.1_311	94.595	185	185
WP_004766667.1	lcl|NZ_JASEXG010000005.1_cds_WP_004460143.1_868	35.714	154	185
WP_004755430.1	lcl|NZ_JASEXG010000002.1_cds_WP_282967932.1_310	92.988	328	329
WP_004755430.1	lcl|NZ_JASEXG010000011.1_cds_WP_004471108.1_1761	29.841	315	329
WP_004755430.1	lcl|NZ_JASEXG010000025.1_cds_WP_004465060.1_2918	31.343	335	329
WP_004755430.1	lcl|NZ_JASEXG010000003.1_cds_WP_004461234.1_517	32.476	311	329
WP_004755430.1	lcl|NZ_JASEXG010000002.1_cds_WP_004485949.1_275	28.399	331	329
WP_004755430.1	lcl|NZ_JASEXG010000013.1_cds_WP_004487738.1_1943	30.462	325	329
WP_004755430.1	lcl|NZ_JASEXG010000003.1_cds_WP_004467290.1_514	28.882	322	329
WP_004755430.1	lcl|NZ_JASEXG010000009.1_cds_WP_004466638.1_1462	27.010	311	329
WP_004755430.1	lcl|NZ_JASEXG010000002.1_cds_WP_046951346.1_307	29.804	255	329
WP_004755430.1	lcl|NZ_JASEXG010000041.1_cds_WP_061205836.1_3412	24.907	269	329
WP_004755430.1	lcl|NZ_JASEXG010000002.1_cds_WP_282968181.1_283	25.890	309	329
WP_004755430.1	lcl|NZ_JASEXG010000002.1_cds_WP_004472325.1_281	29.658	263	329
WP_004755430.1	lcl|NZ_JASEXG010000004.1_cds_WP_032916356.1_784	25.797	345	329
WP_004755430.1	lcl|NZ_JASEXG010000002.1_cds_WP_004472299.1_313	25.633	316	329
WP_004755430.1	lcl|NZ_JASEXG010000025.1_cds_WP_282968211.1_2900	26.050	238	329
WP_004755430.1	lcl|NZ_JASEXG010000001.1_cds_WP_282967845.1_104	27.652	264	329
WP_004755430.1	lcl|NZ_JASEXG010000004.1_cds_WP_061205801.1_731	26.923	286	329
WP_004755430.1	lcl|NZ_JASEXG010000037.1_cds_WP_282965630.1_3332	24.471	331	329
WP_004755430.1	lcl|NZ_JASEXG010000041.1_cds_WP_004479573.1_3414	30.460	174	329
WP_004755430.1	lcl|NZ_JASEXG010000025.1_cds_WP_282962410.1_2901	23.982	221	329
WP_004758405.1	lcl|NZ_JASEXG010000002.1_cds_WP_282967933.1_309	90.262	267	267
WP_004758405.1	lcl|NZ_JASEXG010000041.1_cds_WP_282968160.1_3415	25.498	251	267
