WP_004753574.1	lcl|NZ_ANIG01000085.1_cds_WP_002725873.1_3254	89.535	86	106
WP_004755091.1	lcl|NZ_ANIG01000085.1_cds_WP_002733579.1_3253	92.994	314	314
WP_004755091.1	lcl|NZ_ANIG01000003.1_cds_WP_002722638.1_170	22.936	327	314
WP_004755091.1	lcl|NZ_ANIG01000085.1_cds_WP_002733534.1_3250	26.493	268	314
WP_004755091.1	lcl|NZ_ANIG01000085.1_cds_WP_002727919.1_3155	23.843	281	314
WP_004755091.1	lcl|NZ_ANIG01000031.1_cds_WP_002729504.1_1272	22.941	170	314
WP_004755091.1	lcl|NZ_ANIG01000094.1_cds_WP_002728309.1_3479	27.586	203	314
WP_004755091.1	lcl|NZ_ANIG01000085.1_cds_WP_016749081.1_3223	24.503	151	314
WP_004777161.1	lcl|NZ_ANIG01000085.1_cds_WP_026054882.1_3252	86.575	365	365
WP_004766667.1	lcl|NZ_ANIG01000085.1_cds_WP_002733646.1_3251	96.757	185	185
WP_004766667.1	lcl|NZ_ANIG01000067.1_cds_WP_002721790.1_2508	34.337	166	185
WP_004755430.1	lcl|NZ_ANIG01000085.1_cds_WP_002733534.1_3250	97.872	329	329
WP_004755430.1	lcl|NZ_ANIG01000003.1_cds_WP_002722638.1_170	30.159	315	329
WP_004755430.1	lcl|NZ_ANIG01000085.1_cds_WP_002727919.1_3155	30.564	337	329
WP_004755430.1	lcl|NZ_ANIG01000094.1_cds_WP_002728309.1_3479	30.868	311	329
WP_004755430.1	lcl|NZ_ANIG01000031.1_cds_WP_002729504.1_1272	27.566	341	329
WP_004755430.1	lcl|NZ_ANIG01000094.1_cds_WP_002728316.1_3476	28.485	330	329
WP_004755430.1	lcl|NZ_ANIG01000085.1_cds_WP_002733638.1_3215	27.941	340	329
WP_004755430.1	lcl|NZ_ANIG01000074.1_cds_WP_016757558.1_2893	30.032	313	329
WP_004755430.1	lcl|NZ_ANIG01000085.1_cds_WP_002733546.1_3180	26.667	270	329
