WP_004753574.1	lcl|NZ_VWOW01000005.1_cds_WP_000340715.1_2663	94.186	86	106
WP_004755091.1	lcl|NZ_VWOW01000005.1_cds_WP_000410273.1_2664	96.815	314	314
WP_004755091.1	lcl|NZ_VWOW01000005.1_cds_WP_000093099.1_2684	57.143	63	314
WP_004755091.1	lcl|NZ_VWOW01000012.1_cds_WP_000744700.1_493	24.471	331	314
WP_004755091.1	lcl|NZ_VWOW01000005.1_cds_WP_000646250.1_2667	27.239	268	314
WP_004755091.1	lcl|NZ_VWOW01000005.1_cds_WP_000723090.1_2746	22.917	288	314
WP_004755091.1	lcl|NZ_VWOW01000005.1_cds_WP_000600889.1_2693	24.194	186	314
WP_004777161.1	lcl|NZ_VWOW01000005.1_cds_WP_000604524.1_2665	94.247	365	365
WP_004766667.1	lcl|NZ_VWOW01000005.1_cds_WP_000884059.1_2666	96.757	185	185
WP_004766667.1	lcl|NZ_VWOW01000001.1_cds_WP_000351733.1_105	40.714	140	185
WP_004755430.1	lcl|NZ_VWOW01000005.1_cds_WP_000646250.1_2667	97.568	329	329
WP_004755430.1	lcl|NZ_VWOW01000012.1_cds_WP_000744700.1_493	32.381	315	329
WP_004755430.1	lcl|NZ_VWOW01000005.1_cds_WP_000723090.1_2746	31.045	335	329
WP_004755430.1	lcl|NZ_VWOW01000005.1_cds_WP_000600889.1_2693	31.677	322	329
WP_004755430.1	lcl|NZ_VWOW01000026.1_cds_WP_001984071.1_1619	31.935	310	329
WP_004755430.1	lcl|NZ_VWOW01000006.1_cds_WP_000649925.1_3064	29.573	328	329
WP_004755430.1	lcl|NZ_VWOW01000059.1_cds_WP_000709511.1_2996	29.730	333	329
WP_004755430.1	lcl|NZ_VWOW01000005.1_cds_WP_000601375.1_2720	25.000	300	329
WP_004755430.1	lcl|NZ_VWOW01000026.1_cds_WP_000688695.1_1599	29.091	275	329
WP_004755430.1	lcl|NZ_VWOW01000005.1_cds_WP_001067557.1_2670	27.541	305	329
WP_004755430.1	lcl|NZ_VWOW01000005.1_cds_WP_000475904.1_2729	27.372	274	329
WP_004755430.1	lcl|NZ_VWOW01000005.1_cds_WP_000410273.1_2664	26.101	318	329
WP_004755430.1	lcl|NZ_VWOW01000027.1_cds_WP_001074785.1_1650	29.057	265	329
WP_004755430.1	lcl|NZ_VWOW01000016.1_cds_WP_001003555.1_783	25.148	338	329
WP_004755430.1	lcl|NZ_VWOW01000005.1_cds_WP_000487322.1_2718	26.994	326	329
WP_004758405.1	lcl|NZ_VWOW01000005.1_cds_WP_000774262.1_2668	93.633	267	267
