WP_004753574.1	lcl|NZ_VCHK01000019.1_cds_WP_002725873.1_992	89.535	86	106
WP_004755091.1	lcl|NZ_VCHK01000019.1_cds_WP_011669917.1_991	92.903	310	314
WP_004755091.1	lcl|NZ_VCHK01000073.1_cds_WP_011671202.1_2870	22.630	327	314
WP_004755091.1	lcl|NZ_VCHK01000056.1_cds_WP_011669955.1_2433	22.302	278	314
WP_004755091.1	lcl|NZ_VCHK01000056.1_cds_WP_011669957.1_2435	25.294	170	314
WP_004755091.1	lcl|NZ_VCHK01000062.1_cds_WP_011671706.1_2619	23.488	281	314
WP_004755091.1	lcl|NZ_VCHK01000105.1_cds_WP_002729504.1_244	22.941	170	314
WP_004755091.1	lcl|NZ_VCHK01000077.1_cds_WP_011670961.1_2942	27.586	203	314
WP_004766667.1	lcl|NZ_VCHK01000001.1_cds_WP_002750963.1_68	34.337	166	185
WP_004766667.1	lcl|NZ_VCHK01000019.1_cds_WP_011669938.1_960	34.463	177	185
WP_004755430.1	lcl|NZ_VCHK01000056.1_cds_WP_011669955.1_2433	31.153	321	329
WP_004755430.1	lcl|NZ_VCHK01000073.1_cds_WP_011671202.1_2870	30.794	315	329
WP_004755430.1	lcl|NZ_VCHK01000062.1_cds_WP_011671706.1_2619	31.642	335	329
WP_004755430.1	lcl|NZ_VCHK01000077.1_cds_WP_011670961.1_2942	31.190	311	329
WP_004755430.1	lcl|NZ_VCHK01000056.1_cds_WP_011669957.1_2435	28.852	305	329
WP_004755430.1	lcl|NZ_VCHK01000105.1_cds_WP_002729504.1_244	27.566	341	329
WP_004755430.1	lcl|NZ_VCHK01000077.1_cds_WP_002754065.1_2939	28.485	330	329
WP_004755430.1	lcl|NZ_VCHK01000018.1_cds_WP_011671143.1_927	30.351	313	329
WP_004755430.1	lcl|NZ_VCHK01000005.1_cds_WP_011671074.1_2268	25.148	338	329
WP_004755430.1	lcl|NZ_VCHK01000019.1_cds_WP_011669917.1_991	27.711	249	329
WP_004755430.1	lcl|NZ_VCHK01000007.1_cds_WP_002751102.1_2793	26.217	267	329
WP_004755430.1	lcl|NZ_VCHK01000056.1_cds_WP_011669959.1_2437	27.854	219	329
WP_004755430.1	lcl|NZ_VCHK01000057.1_cds_WP_011669202.1_2458	24.629	337	329
WP_004758405.1	lcl|NZ_VCHK01000056.1_cds_WP_011669956.1_2434	26.840	231	267
WP_004758405.1	lcl|NZ_VCHK01000062.1_cds_WP_011669974.1_2618	26.455	189	267
