WP_004753574.1	lcl|NZ_AHMH02000057.1_cds_WP_000340715.1_2749	94.186	86	106
WP_004755091.1	lcl|NZ_AHMH02000057.1_cds_WP_004428880.1_2748	96.795	312	314
WP_004755091.1	lcl|NZ_AHMH02000057.1_cds_WP_002178756.1_2744	24.437	311	314
WP_004755091.1	lcl|NZ_AHMH02000055.1_cds_WP_004428772.1_2770	24.308	325	314
WP_004755091.1	lcl|NZ_AHMH02000099.1_cds_WP_004430563.1_1826	23.448	290	314
WP_004755091.1	lcl|NZ_AHMH02000057.1_cds_WP_036068182.1_2735	21.300	277	314
WP_004755091.1	lcl|NZ_AHMH02000127.1_cds_WP_004439553.1_904	23.188	276	314
WP_004766667.1	lcl|NZ_AHMH02000145.1_cds_WP_002178322.1_407	40.714	140	185
WP_004755430.1	lcl|NZ_AHMH02000057.1_cds_WP_002178501.1_2709	32.738	336	329
WP_004755430.1	lcl|NZ_AHMH02000057.1_cds_WP_002178756.1_2744	30.659	349	329
WP_004755430.1	lcl|NZ_AHMH02000055.1_cds_WP_004428772.1_2770	31.111	315	329
WP_004755430.1	lcl|NZ_AHMH02000099.1_cds_WP_004430563.1_1826	31.454	337	329
WP_004755430.1	lcl|NZ_AHMH02000057.1_cds_WP_036068182.1_2735	31.457	302	329
WP_004755430.1	lcl|NZ_AHMH02000127.1_cds_WP_004439553.1_904	31.833	311	329
WP_004755430.1	lcl|NZ_AHMH02000005.1_cds_WP_004426761.1_4121	28.402	338	329
WP_004755430.1	lcl|NZ_AHMH02000039.1_cds_WP_002148036.1_3209	30.154	325	329
WP_004755430.1	lcl|NZ_AHMH02000081.1_cds_WP_004429771.1_2165	28.136	295	329
WP_004755430.1	lcl|NZ_AHMH02000057.1_cds_WP_004428880.1_2748	24.843	318	329
WP_004755430.1	lcl|NZ_AHMH02000057.1_cds_WP_004428900.1_2690	31.481	162	329
WP_004755430.1	lcl|NZ_AHMH02000046.1_cds_WP_004428300.1_3154	28.731	268	329
WP_004755430.1	lcl|NZ_AHMH02000114.1_cds_WP_004432019.1_1068	24.924	329	329
WP_004755430.1	lcl|NZ_AHMH02000057.1_cds_WP_004428883.1_2725	24.797	246	329
WP_004758405.1	lcl|NZ_AHMH02000057.1_cds_WP_002178459.1_2730	30.043	233	267
WP_004758405.1	lcl|NZ_AHMH02000099.1_cds_WP_004430538.1_1825	26.984	189	267
WP_004758405.1	lcl|NZ_AHMH02000072.1_cds_WP_004429370.1_2366	26.804	194	267
WP_004758405.1	lcl|NZ_AHMH02000057.1_cds_WP_002178723.1_2691	22.727	242	267
