WP_000340715.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000340715.1_1055	100.000	86	106
WP_000410268.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000410273.1_1056	99.677	310	318
WP_000410268.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000093099.1_1076	46.988	83	318
WP_000410268.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000646250.1_1059	25.680	331	318
WP_000410268.1	lcl|NZ_JAGGCI010000008.1_cds_WP_000744700.1_1443	24.611	321	318
WP_000410268.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000723090.1_1138	24.306	288	318
WP_000410268.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000600889.1_1085	23.636	275	318
WP_000020777.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000202830.1_1095	42.493	353	361
WP_002076509.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000282880.1_1134	30.638	235	223
WP_002076509.1	lcl|NZ_JAGGCI010000026.1_cds_WP_001099029.1_2862	26.906	223	223
WP_002076509.1	lcl|NZ_JAGGCI010000006.1_cds_WP_001068986.1_1113	30.435	92	223
WP_002076509.1	lcl|NZ_JAGGCI010000037.1_cds_WP_000840858.1_3260	29.808	104	223
WP_002076509.1	lcl|NZ_JAGGCI010000021.1_cds_WP_000868621.1_2585	29.670	91	223
WP_002076509.1	lcl|NZ_JAGGCI010000017.1_cds_WP_000262844.1_2348	24.638	207	223
WP_002076509.1	lcl|NZ_JAGGCI010000006.1_cds_WP_001114267.1_1141	26.705	176	223
WP_001136119.1	lcl|NZ_JAGGCI010000006.1_cds_WP_001230564.1_1088	36.578	339	354
WP_001136119.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000582618.1_1092	34.356	326	354
WP_001136119.1	lcl|NZ_JAGGCI010000023.1_cds_WP_001011675.1_2698	33.898	295	354
WP_001136119.1	lcl|NZ_JAGGCI010000006.1_cds_WP_001230564.1_1088	36.578	339	354
WP_001136119.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000582618.1_1092	34.356	326	354
WP_001136119.1	lcl|NZ_JAGGCI010000023.1_cds_WP_001011675.1_2698	33.898	295	354
WP_000535865.1	lcl|NZ_JAGGCI010000017.1_cds_WP_001014594.1_2308	28.365	208	234
WP_000535865.1	lcl|NZ_JAGGCI010000005.1_cds_WP_000721859.1_888	33.333	111	234
WP_000535865.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000848239.1_1103	28.571	126	234
WP_001117631.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000582222.1_1074	38.211	246	387
WP_001117631.1	lcl|NZ_JAGGCI010000027.1_cds_WP_001281953.1_2892	31.989	372	387
WP_001117631.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000608295.1_1064	28.448	348	387
WP_001117631.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000947844.1_1086	32.700	263	387
WP_001117631.1	lcl|NZ_JAGGCI010000006.1_cds_WP_001198107.1_1063	37.864	206	387
WP_001117631.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000575178.1_1132	29.329	283	387
WP_001117631.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000346036.1_1093	27.701	361	387
WP_001117631.1	lcl|NZ_JAGGCI010000005.1_cds_WP_000538752.1_906	26.480	321	387
WP_001117631.1	lcl|NZ_JAGGCI010000014.1_cds_WP_001982414.1_2085	24.251	367	387
WP_000697351.1	lcl|NZ_JAGGCI010000006.1_cds_WP_000698820.1_1098	27.636	626	583
WP_029781911.1	lcl|NZ_JAGGCI010000013.1_cds_WP_000613386.1_1994	21.538	130	572
WP_029781911.1	lcl|NZ_JAGGCI010000005.1_cds_WP_000721859.1_888	34.188	117	572
WP_029781911.1	lcl|NZ_JAGGCI010000013.1_cds_WP_000613386.1_1994	21.538	130	572
WP_029781911.1	lcl|NZ_JAGGCI010000005.1_cds_WP_000721859.1_888	34.188	117	572
WP_000041234.1	lcl|NZ_JAGGCI010000006.1_cds_WP_001198107.1_1063	34.161	322	417
