WP_000340715.1	lcl|NZ_AOWV01000180.1_cds_WP_000340715.1_3263	100.000	86	106
WP_000410268.1	lcl|NZ_AOWV01000180.1_cds_WP_000410266.1_3262	99.677	310	318
WP_000410268.1	lcl|NZ_AOWV01000180.1_cds_WP_000646254.1_3259	25.680	331	318
WP_000410268.1	lcl|NZ_AOWV01000053.1_cds_WP_000744698.1_625	24.611	321	318
WP_000410268.1	lcl|NZ_AOWV01000108.1_cds_WP_000723091.1_1579	23.958	288	318
WP_002076509.1	lcl|NZ_AOWV01000108.1_cds_WP_000282882.1_1583	30.213	235	223
WP_002076509.1	lcl|NZ_AOWV01000196.1_cds_WP_001099039.1_3657	26.906	223	223
WP_002076509.1	lcl|NZ_AOWV01000187.1_cds_WP_000840861.1_3467	29.808	104	223
WP_002076509.1	lcl|NZ_AOWV01000159.1_cds_WP_000868621.1_2587	29.670	91	223
WP_002076509.1	lcl|NZ_AOWV01000108.1_cds_WP_001114273.1_1576	26.705	176	223
WP_002076509.1	lcl|NZ_AOWV01000151.1_cds_WP_000262844.1_2474	24.638	207	223
WP_001136119.1	lcl|NZ_AOWV01000068.1_cds_WP_001033784.1_906	32.955	352	354
WP_001136119.1	lcl|NZ_AOWV01000150.1_cds_WP_001011666.1_2448	34.237	295	354
WP_001136119.1	lcl|NZ_AOWV01000068.1_cds_WP_002072154.1_912	28.435	313	354
WP_001136119.1	lcl|NZ_AOWV01000068.1_cds_WP_001033784.1_906	32.955	352	354
WP_001136119.1	lcl|NZ_AOWV01000150.1_cds_WP_001011666.1_2448	34.237	295	354
WP_001136119.1	lcl|NZ_AOWV01000068.1_cds_WP_002072154.1_912	28.435	313	354
WP_000535865.1	lcl|NZ_AOWV01000020.1_cds_WP_000696059.1_152	43.373	166	234
WP_000535865.1	lcl|NZ_AOWV01000010.1_cds_WP_001014594.1_82	28.365	208	234
WP_000535865.1	lcl|NZ_AOWV01000068.1_cds_WP_000440091.1_911	23.043	230	234
WP_000535865.1	lcl|NZ_AOWV01000122.1_cds_WP_000721854.1_1763	33.333	111	234
WP_001117631.1	lcl|NZ_AOWV01000085.1_cds_WP_001281953.1_1275	31.989	372	387
WP_001117631.1	lcl|NZ_AOWV01000041.1_cds_WP_000228801.1_383	33.891	239	387
WP_001117631.1	lcl|NZ_AOWV01000180.1_cds_WP_000608294.1_3254	28.448	348	387
WP_001117631.1	lcl|NZ_AOWV01000068.1_cds_WP_000172659.1_914	34.000	250	387
WP_001117631.1	lcl|NZ_AOWV01000180.1_cds_WP_001198107.1_3255	37.864	206	387
WP_001117631.1	lcl|NZ_AOWV01000090.1_cds_WP_000575181.1_1342	28.975	283	387
WP_001117631.1	lcl|NZ_AOWV01000100.1_cds_WP_000538754.1_1427	26.480	321	387
WP_001117631.1	lcl|NZ_AOWV01000195.1_cds_WP_001982414.1_3637	24.251	367	387
WP_029781911.1	lcl|NZ_AOWV01000020.1_cds_WP_000696059.1_152	35.918	245	572
WP_029781911.1	lcl|NZ_AOWV01000068.1_cds_WP_000440091.1_911	27.941	204	572
