WP_000340715.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004462903.1_1721	95.349	86	106
WP_000410268.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004464977.1_1722	91.824	318	318
WP_000410268.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004464967.1_1776	24.731	279	318
WP_000410268.1	lcl|NZ_JAUOTG010000001.1_cds_WP_008393339.1_217	24.528	318	318
WP_000410268.1	lcl|NZ_JAUOTG010000033.1_cds_WP_008394652.1_2161	24.306	288	318
WP_000410268.1	lcl|NZ_JAUOTG010000022.1_cds_WP_282964026.1_1778	25.683	183	318
WP_000410268.1	lcl|NZ_JAUOTG010000004.1_cds_WP_004468319.1_1644	23.243	185	318
WP_000410268.1	lcl|NZ_JAUOTG010000013.1_cds_WP_004461234.1_899	25.359	209	318
WP_000020777.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004475166.1_1723	97.230	361	361
WP_002076509.1	lcl|NZ_JAUOTG010000022.1_cds_WP_075918501.1_1724	97.758	223	223
WP_002076509.1	lcl|NZ_JAUOTG010000033.1_cds_WP_282964148.1_2166	31.933	119	223
WP_002076509.1	lcl|NZ_JAUOTG010000012.1_cds_WP_075918151.1_2031	26.577	222	223
WP_002076509.1	lcl|NZ_JAUOTG010000022.1_cds_WP_134787958.1_1771	27.197	239	223
WP_002076509.1	lcl|NZ_JAUOTG010000016.1_cds_WP_004459124.1_1132	29.808	104	223
WP_002076509.1	lcl|NZ_JAUOTG010000033.1_cds_WP_004475082.1_2158	25.000	176	223
WP_002076509.1	lcl|NZ_JAUOTG010000002.1_cds_WP_004473695.1_1537	30.928	97	223
WP_002076509.1	lcl|NZ_JAUOTG010000016.1_cds_WP_175612200.1_1092	24.171	211	223
WP_001136119.1	lcl|NZ_JAUOTG010000022.1_cds_WP_075918491.1_1725	98.588	354	354
WP_001136119.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004475149.1_1750	36.508	252	354
WP_001136119.1	lcl|NZ_JAUOTG010000025.1_cds_WP_004460833.1_559	33.788	293	354
WP_001136119.1	lcl|NZ_JAUOTG010000022.1_cds_WP_075918491.1_1725	98.588	354	354
WP_001136119.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004475149.1_1750	36.508	252	354
WP_001136119.1	lcl|NZ_JAUOTG010000025.1_cds_WP_004460833.1_559	33.788	293	354
WP_000535865.1	lcl|NZ_JAUOTG010000022.1_cds_WP_075918490.1_1726	94.323	229	234
WP_000535865.1	lcl|NZ_JAUOTG010000022.1_cds_WP_075918481.1_1746	37.963	216	234
WP_000535865.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004482355.1_1731	34.375	224	234
WP_000535865.1	lcl|NZ_JAUOTG010000008.1_cds_WP_004473894.1_3418	30.476	210	234
WP_000535865.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004465132.1_1761	29.365	126	234
WP_000535865.1	lcl|NZ_JAUOTG010000015.1_cds_WP_046951320.1_3506	30.000	110	234
WP_002183331.1	lcl|NZ_JAUOTG010000022.1_cds_Q4558_RS12420_1727	92.647	204	204
WP_002183331.1	lcl|NZ_JAUOTG010000060.1_cds_WP_282964318.1_1988	26.776	183	204
WP_001117631.1	lcl|NZ_JAUOTG010000022.1_cds_WP_061207032.1_1729	98.191	387	387
WP_001117631.1	lcl|NZ_JAUOTG010000022.1_cds_WP_075918479.1_1753	29.121	364	387
WP_001117631.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004475202.1_1732	34.025	241	387
WP_001117631.1	lcl|NZ_JAUOTG010000004.1_cds_WP_004466571.1_1681	30.623	369	387
WP_001117631.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004462146.1_1791	29.965	287	387
WP_001117631.1	lcl|NZ_JAUOTG010000011.1_cds_WP_004465893.1_1843	26.182	275	387
WP_001117631.1	lcl|NZ_JAUOTG010000017.1_cds_WP_004473876.1_43	24.658	365	387
WP_000697351.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004494287.1_1730	98.456	583	583
WP_000697351.1	lcl|NZ_JAUOTG010000004.1_cds_WP_282963687.1_1596	42.070	599	583
WP_000697351.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004482342.1_1728	29.011	617	583
WP_029781911.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004482355.1_1731	96.853	572	572
WP_029781911.1	lcl|NZ_JAUOTG010000022.1_cds_WP_075918481.1_1746	37.768	233	572
WP_029781911.1	lcl|NZ_JAUOTG010000022.1_cds_WP_075918490.1_1726	34.222	225	572
WP_029781911.1	lcl|NZ_JAUOTG010000042.1_cds_WP_061206660.1_3113	23.622	127	572
WP_029781911.1	lcl|NZ_JAUOTG010000015.1_cds_WP_046951320.1_3506	31.897	116	572
WP_029781911.1	lcl|NZ_JAUOTG010000022.1_cds_WP_004482355.1_1731	96.853	572	572
WP_029781911.1	lcl|NZ_JAUOTG010000022.1_cds_WP_075918481.1_1746	37.768	233	572
WP_029781911.1	lcl|NZ_JAUOTG010000022.1_cds_WP_075918490.1_1726	34.222	225	572
WP_029781911.1	lcl|NZ_JAUOTG010000042.1_cds_WP_061206660.1_3113	23.622	127	572
WP_029781911.1	lcl|NZ_JAUOTG010000015.1_cds_WP_046951320.1_3506	31.897	116	572
