WP_000340715.1	lcl|NZ_AFKM01000309.1_cds_WP_000340715.1_312	100.000	86	106
WP_000410268.1	lcl|NZ_AFKM01000309.1_cds_WP_000410273.1_311	99.677	310	318
WP_000410268.1	lcl|NZ_AFKM01000309.1_cds_WP_000093099.1_291	46.988	83	318
WP_000410268.1	lcl|NZ_AFKM01000309.1_cds_WP_000646252.1_308	25.680	331	318
WP_000410268.1	lcl|NZ_AFKM01000109.1_cds_WP_000744700.1_1856	24.611	321	318
WP_000410268.1	lcl|NZ_AFKM01000314.1_cds_WP_000723090.1_175	24.306	288	318
WP_000410268.1	lcl|NZ_AFKM01000309.1_cds_WP_000600889.1_282	23.636	275	318
WP_000020777.1	lcl|NZ_AFKM01000309.1_cds_WP_000202830.1_272	42.493	353	361
WP_002076509.1	lcl|NZ_AFKM01000314.1_cds_WP_000282880.1_171	30.638	235	223
WP_002076509.1	lcl|NZ_AFKM01000217.1_cds_WP_001099029.1_695	26.906	223	223
WP_002076509.1	lcl|NZ_AFKM01000309.1_cds_WP_001068986.1_254	30.435	92	223
WP_002076509.1	lcl|NZ_AFKM01000162.1_cds_WP_000840859.1_1304	28.846	104	223
WP_002076509.1	lcl|NZ_AFKM01000063.1_cds_WP_000868621.1_2569	29.670	91	223
WP_002076509.1	lcl|NZ_AFKM01000212.1_cds_WP_000262844.1_744	24.638	207	223
WP_002076509.1	lcl|NZ_AFKM01000263.1_cds_WP_001114267.1_412	26.705	176	223
WP_001136119.1	lcl|NZ_AFKM01000309.1_cds_WP_001230564.1_279	36.578	339	354
WP_001136119.1	lcl|NZ_AFKM01000309.1_cds_WP_000582618.1_275	34.356	326	354
WP_001136119.1	lcl|NZ_AFKM01000009.1_cds_WP_001011675.1_3666	33.898	295	354
WP_001136119.1	lcl|NZ_AFKM01000309.1_cds_WP_001230564.1_279	36.578	339	354
WP_001136119.1	lcl|NZ_AFKM01000309.1_cds_WP_000582618.1_275	34.356	326	354
WP_001136119.1	lcl|NZ_AFKM01000009.1_cds_WP_001011675.1_3666	33.898	295	354
WP_000535865.1	lcl|NZ_AFKM01000317.1_cds_WP_001014594.1_117	28.365	208	234
WP_000535865.1	lcl|NZ_AFKM01000110.1_cds_WP_000721859.1_1809	33.333	111	234
WP_000535865.1	lcl|NZ_AFKM01000309.1_cds_WP_000848239.1_264	28.571	126	234
WP_001117631.1	lcl|NZ_AFKM01000309.1_cds_WP_000582222.1_293	38.211	246	387
WP_001117631.1	lcl|NZ_AFKM01000200.1_cds_WP_001281953.1_830	31.989	372	387
WP_001117631.1	lcl|NZ_AFKM01000309.1_cds_WP_000608295.1_303	28.448	348	387
WP_001117631.1	lcl|NZ_AFKM01000309.1_cds_WP_000947844.1_281	32.700	263	387
WP_001117631.1	lcl|NZ_AFKM01000309.1_cds_WP_001198107.1_304	37.864	206	387
WP_001117631.1	lcl|NZ_AFKM01000314.1_cds_WP_000575178.1_169	29.329	283	387
WP_001117631.1	lcl|NZ_AFKM01000309.1_cds_WP_000346036.1_274	27.701	361	387
WP_001117631.1	lcl|NZ_AFKM01000039.1_cds_WP_000538752.1_3205	26.480	321	387
WP_001117631.1	lcl|NZ_AFKM01000037.1_cds_WP_001982414.1_3248	24.251	367	387
WP_000697351.1	lcl|NZ_AFKM01000309.1_cds_WP_000698820.1_269	27.636	626	583
WP_029781911.1	lcl|NZ_AFKM01000177.1_cds_WP_000613386.1_1115	21.538	130	572
WP_029781911.1	lcl|NZ_AFKM01000110.1_cds_WP_000721859.1_1809	34.188	117	572
WP_029781911.1	lcl|NZ_AFKM01000177.1_cds_WP_000613386.1_1115	21.538	130	572
WP_029781911.1	lcl|NZ_AFKM01000110.1_cds_WP_000721859.1_1809	34.188	117	572
