WP_000340715.1	lcl|NZ_AOVC01000018.1_cds_WP_000340715.1_198	100.000	86	106
WP_000410268.1	lcl|NZ_AOVC01000018.1_cds_WP_000410273.1_197	99.677	310	318
WP_000410268.1	lcl|NZ_AOVC01000018.1_cds_WP_000093099.1_177	46.988	83	318
WP_000410268.1	lcl|NZ_AOVC01000018.1_cds_WP_000646252.1_194	25.680	331	318
WP_000410268.1	lcl|NZ_AOVC01000041.1_cds_WP_000744700.1_632	24.611	321	318
WP_000410268.1	lcl|NZ_AOVC01000018.1_cds_WP_000723090.1_115	24.306	288	318
WP_000410268.1	lcl|NZ_AOVC01000018.1_cds_WP_000600889.1_168	23.636	275	318
WP_000020777.1	lcl|NZ_AOVC01000018.1_cds_WP_000202830.1_158	42.493	353	361
WP_002076509.1	lcl|NZ_AOVC01000018.1_cds_WP_000282880.1_119	30.638	235	223
WP_002076509.1	lcl|NZ_AOVC01000130.1_cds_WP_001099029.1_3494	26.906	223	223
WP_002076509.1	lcl|NZ_AOVC01000018.1_cds_WP_001068986.1_140	30.435	92	223
WP_002076509.1	lcl|NZ_AOVC01000035.1_cds_WP_000840858.1_541	29.808	104	223
WP_002076509.1	lcl|NZ_AOVC01000136.1_cds_WP_000868621.1_3673	29.670	91	223
WP_002076509.1	lcl|NZ_AOVC01000007.1_cds_WP_000262844.1_16	24.638	207	223
WP_002076509.1	lcl|NZ_AOVC01000127.1_cds_WP_001114267.1_3440	26.705	176	223
WP_001136119.1	lcl|NZ_AOVC01000018.1_cds_WP_001230564.1_165	36.578	339	354
WP_001136119.1	lcl|NZ_AOVC01000018.1_cds_WP_000582618.1_161	34.356	326	354
WP_001136119.1	lcl|NZ_AOVC01000095.1_cds_WP_001011675.1_2006	33.898	295	354
WP_001136119.1	lcl|NZ_AOVC01000018.1_cds_WP_001230564.1_165	36.578	339	354
WP_001136119.1	lcl|NZ_AOVC01000018.1_cds_WP_000582618.1_161	34.356	326	354
WP_001136119.1	lcl|NZ_AOVC01000095.1_cds_WP_001011675.1_2006	33.898	295	354
WP_000535865.1	lcl|NZ_AOVC01000120.1_cds_WP_001014594.1_3221	28.365	208	234
WP_000535865.1	lcl|NZ_AOVC01000121.1_cds_WP_000721859.1_3245	33.333	111	234
WP_000535865.1	lcl|NZ_AOVC01000018.1_cds_WP_000848239.1_150	28.571	126	234
WP_001117631.1	lcl|NZ_AOVC01000018.1_cds_WP_000582222.1_179	38.211	246	387
WP_001117631.1	lcl|NZ_AOVC01000057.1_cds_WP_001281953.1_1218	31.989	372	387
WP_001117631.1	lcl|NZ_AOVC01000018.1_cds_WP_000608295.1_189	28.448	348	387
WP_001117631.1	lcl|NZ_AOVC01000018.1_cds_WP_000947844.1_167	32.700	263	387
WP_001117631.1	lcl|NZ_AOVC01000018.1_cds_WP_001198107.1_190	37.864	206	387
WP_001117631.1	lcl|NZ_AOVC01000018.1_cds_WP_000575178.1_121	29.329	283	387
WP_001117631.1	lcl|NZ_AOVC01000018.1_cds_WP_000346036.1_160	27.701	361	387
WP_001117631.1	lcl|NZ_AOVC01000122.1_cds_WP_000538752.1_3263	26.480	321	387
WP_001117631.1	lcl|NZ_AOVC01000026.1_cds_WP_001982414.1_421	24.251	367	387
WP_000697351.1	lcl|NZ_AOVC01000018.1_cds_WP_000698820.1_155	27.636	626	583
WP_029781911.1	lcl|NZ_AOVC01000112.1_cds_WP_000613386.1_2884	21.538	130	572
WP_029781911.1	lcl|NZ_AOVC01000121.1_cds_WP_000721859.1_3245	34.188	117	572
WP_029781911.1	lcl|NZ_AOVC01000112.1_cds_WP_000613386.1_2884	21.538	130	572
WP_029781911.1	lcl|NZ_AOVC01000121.1_cds_WP_000721859.1_3245	34.188	117	572
WP_000041234.1	lcl|NZ_AOVC01000018.1_cds_WP_001198107.1_190	34.161	322	417
WP_000041234.1	lcl|NZ_AOVC01000018.1_cds_WP_000608295.1_189	33.677	291	417
WP_000041234.1	lcl|NZ_AOVC01000018.1_cds_WP_000575178.1_121	32.573	307	417
WP_000041234.1	lcl|NZ_AOVC01000057.1_cds_WP_001281953.1_1218	28.354	328	417
