WP_000340715.1	lcl|NZ_AFLZ02000005.1_cds_WP_000340715.1_3777	100.000	86	106
WP_000410268.1	lcl|NZ_AFLZ02000005.1_cds_WP_002079029.1_3776	99.355	310	318
WP_000410268.1	lcl|NZ_AFLZ02000005.1_cds_WP_000646249.1_3773	27.857	280	318
WP_000410268.1	lcl|NZ_AFLZ02000024.1_cds_WP_000744700.1_1752	24.611	321	318
WP_000410268.1	lcl|NZ_AFLZ02000005.1_cds_WP_000723090.1_3691	24.306	288	318
WP_000410268.1	lcl|NZ_AFLZ02000005.1_cds_WP_000600886.1_3743	23.636	275	318
WP_000410268.1	lcl|NZ_AFLZ02000005.1_cds_WP_000025487.1_3749	21.296	324	318
WP_000020777.1	lcl|NZ_AFLZ02000005.1_cds_WP_000202827.1_3733	42.493	353	361
WP_002076509.1	lcl|NZ_AFLZ02000005.1_cds_WP_000282884.1_3695	30.213	235	223
WP_002076509.1	lcl|NZ_AFLZ02000025.1_cds_WP_001099037.1_1422	26.457	223	223
WP_002076509.1	lcl|NZ_AFLZ02000005.1_cds_WP_001068986.1_3716	30.435	92	223
WP_002076509.1	lcl|NZ_AFLZ02000025.1_cds_WP_000840860.1_1351	29.808	104	223
WP_002076509.1	lcl|NZ_AFLZ02000026.1_cds_WP_000868624.1_1323	29.670	91	223
WP_002076509.1	lcl|NZ_AFLZ02000033.1_cds_WP_000262844.1_842	24.638	207	223
WP_002076509.1	lcl|NZ_AFLZ02000005.1_cds_WP_001114267.1_3688	26.705	176	223
WP_001136119.1	lcl|NZ_AFLZ02000005.1_cds_WP_001230568.1_3740	36.283	339	354
WP_001136119.1	lcl|NZ_AFLZ02000005.1_cds_WP_000582615.1_3736	34.356	326	354
WP_001136119.1	lcl|NZ_AFLZ02000011.1_cds_WP_001011674.1_2927	33.898	295	354
WP_001136119.1	lcl|NZ_AFLZ02000005.1_cds_WP_001230568.1_3740	36.283	339	354
WP_001136119.1	lcl|NZ_AFLZ02000005.1_cds_WP_000582615.1_3736	34.356	326	354
