WP_000340715.1	lcl|NZ_JQRC01000044.1_cds_WP_004454812.1_1562	98.837	86	106
WP_000410268.1	lcl|NZ_JQRC01000044.1_cds_WP_061247355.1_1563	95.806	310	318
WP_000410268.1	lcl|NZ_JQRC01000081.1_cds_WP_017214696.1_2424	23.792	269	318
WP_000410268.1	lcl|NZ_JQRC01000044.1_cds_WP_061247357.1_1566	26.115	314	318
WP_000410268.1	lcl|NZ_JQRC01000022.1_cds_WP_061246963.1_711	23.476	328	318
WP_000410268.1	lcl|NZ_JQRC01000052.1_cds_WP_002178495.1_1737	24.315	292	318
WP_000410268.1	lcl|NZ_JQRC01000032.1_cds_WP_201033193.1_1235	22.826	276	318
WP_002076509.1	lcl|NZ_JQRC01000039.1_cds_WP_002178457.1_1425	26.033	242	223
WP_002076509.1	lcl|NZ_JQRC01000127.1_cds_WP_002177654.1_3192	26.457	223	223
WP_002076509.1	lcl|NZ_JQRC01000075.1_cds_WP_061247669.1_2353	29.808	104	223
WP_002076509.1	lcl|NZ_JQRC01000027.1_cds_WP_002176998.1_1090	29.670	91	223
WP_002076509.1	lcl|NZ_JQRC01000091.1_cds_WP_002177414.1_2596	24.638	207	223
WP_002076509.1	lcl|NZ_JQRC01000052.1_cds_WP_061247414.1_1734	25.714	175	223
WP_001136119.1	lcl|NZ_JQRC01000081.1_cds_WP_017214713.1_2442	31.143	350	354
WP_001136119.1	lcl|NZ_JQRC01000029.1_cds_WP_061247152.1_1099	33.922	283	354
WP_001136119.1	lcl|NZ_JQRC01000081.1_cds_WP_017214713.1_2442	31.143	350	354
WP_001136119.1	lcl|NZ_JQRC01000029.1_cds_WP_061247152.1_1099	33.922	283	354
WP_000535865.1	lcl|NZ_JQRC01000081.1_cds_WP_061247716.1_2437	39.157	166	234
WP_000535865.1	lcl|NZ_JQRC01000062.1_cds_WP_061247533.1_2031	27.404	208	234
WP_000535865.1	lcl|NZ_JQRC01000272.1_cds_WP_002180250.1_3959	29.730	111	234
WP_001117631.1	lcl|NZ_JQRC01000081.1_cds_WP_017214700.1_2428	37.647	255	387
WP_001117631.1	lcl|NZ_JQRC01000096.1_cds_WP_061247897.1_2710	31.892	370	387
WP_001117631.1	lcl|NZ_JQRC01000081.1_cds_WP_017214708.1_2435	26.923	364	387
WP_001117631.1	lcl|NZ_JQRC01000039.1_cds_WP_061247297.1_1423	29.329	283	387
WP_001117631.1	lcl|NZ_JQRC01000169.1_cds_WP_002180117.1_3627	27.636	275	387
WP_001117631.1	lcl|NZ_JQRC01000147.1_cds_WP_036027114.1_3446	25.613	367	387
WP_029781911.1	lcl|NZ_JQRC01000081.1_cds_WP_061247716.1_2437	31.818	242	572
WP_029781911.1	lcl|NZ_JQRC01000046.1_cds_WP_061247368.1_1581	21.739	138	572
WP_029781911.1	lcl|NZ_JQRC01000272.1_cds_WP_002180250.1_3959	31.624	117	572
WP_029781911.1	lcl|NZ_JQRC01000081.1_cds_WP_061247716.1_2437	31.818	242	572
WP_029781911.1	lcl|NZ_JQRC01000046.1_cds_WP_061247368.1_1581	21.739	138	572
WP_029781911.1	lcl|NZ_JQRC01000272.1_cds_WP_002180250.1_3959	31.624	117	572
WP_000041234.1	lcl|NZ_JQRC01000096.1_cds_WP_061247897.1_2710	27.744	328	417
WP_000041234.1	lcl|NZ_JQRC01000081.1_cds_WP_017214708.1_2435	28.090	356	417
WP_000041234.1	lcl|NZ_JQRC01000039.1_cds_WP_061247297.1_1423	33.071	254	417
WP_000041234.1	lcl|NZ_JQRC01000081.1_cds_WP_017214700.1_2428	36.449	214	417
WP_000041234.1	lcl|NZ_JQRC01000169.1_cds_WP_002180117.1_3627	26.098	387	417
WP_000041234.1	lcl|NZ_JQRC01000147.1_cds_WP_036027114.1_3446	25.397	252	417
WP_002108487.1	lcl|NZ_JQRC01000081.1_cds_WP_017214714.1_2443	26.623	154	182
WP_002108487.1	lcl|NZ_JQRC01000081.1_cds_WP_017214712.1_2441	26.923	130	182
WP_002108506.1	lcl|NZ_JQRC01000127.1_cds_WP_017214485.1_3175	33.766	154	216
WP_002108506.1	lcl|NZ_JQRC01000018.1_cds_WP_061246909.1_573	22.857	105	216
WP_002108506.1	lcl|NZ_JQRC01000081.1_cds_WP_017214691.1_2419	29.134	127	216
WP_002108506.1	lcl|NZ_JQRC01000035.1_cds_WP_061247260.1_1321	22.892	166	216
WP_002108506.1	lcl|NZ_JQRC01000121.1_cds_WP_061248248.1_3124	25.517	145	216
WP_002108483.1	lcl|NZ_JQRC01000018.1_cds_WP_081099855.1_585	49.275	69	211
WP_025180281.1	lcl|NZ_JQRC01000081.1_cds_WP_017214722.1_2450	22.519	262	481
WP_025180280.1	lcl|NZ_JQRC01000081.1_cds_WP_061247716.1_2437	32.645	242	242
WP_025180280.1	lcl|NZ_JQRC01000062.1_cds_WP_061247533.1_2031	29.268	246	242
WP_002108525.1	lcl|NZ_JQRC01000186.1_cds_WP_017215054.1_3707	31.660	259	255
WP_002108525.1	lcl|NZ_JQRC01000081.1_cds_WP_017214729.1_2456	28.358	268	255
WP_002108525.1	lcl|NZ_JQRC01000068.1_cds_WP_002179721.1_2216	28.235	255	255
WP_002108525.1	lcl|NZ_JQRC01000163.1_cds_WP_061248652.1_3586	26.336	262	255
WP_002108525.1	lcl|NZ_JQRC01000016.1_cds_WP_002178615.1_506	26.136	264	255
WP_002108525.1	lcl|NZ_JQRC01000086.1_cds_WP_061247749.1_2531	29.084	251	255
WP_002108525.1	lcl|NZ_JQRC01000011.1_cds_WP_002176520.1_335	25.279	269	255
WP_002108525.1	lcl|NZ_JQRC01000039.1_cds_WP_017214733.1_1401	25.984	254	255
WP_002108525.1	lcl|NZ_JQRC01000052.1_cds_WP_002178495.1_1737	30.052	193	255
WP_002108525.1	lcl|NZ_JQRC01000087.1_cds_WP_002179114.1_2552	25.926	162	255
WP_002108525.1	lcl|NZ_JQRC01000026.1_cds_WP_338092401.1_1036	26.829	164	255
WP_002108525.1	lcl|NZ_JQRC01000026.1_cds_WP_002179955.1_1030	26.289	194	255
WP_002108525.1	lcl|NZ_JQRC01000061.1_cds_WP_020981218.1_1974	26.425	193	255
WP_002108525.1	lcl|NZ_JQRC01000022.1_cds_WP_061246963.1_711	37.838	74	255
WP_002108502.1	lcl|NZ_JQRC01000118.1_cds_WP_036026721.1_3083	29.730	333	314
WP_002108502.1	lcl|NZ_JQRC01000107.1_cds_WP_061247984.1_2845	26.423	246	314
WP_002108502.1	lcl|NZ_JQRC01000081.1_cds_WP_061247712.1_2436	25.824	182	314
WP_002108526.1	lcl|NZ_JQRC01000029.1_cds_WP_061247152.1_1099	39.373	287	282
WP_002108526.1	lcl|NZ_JQRC01000081.1_cds_WP_017214713.1_2442	34.932	292	282
WP_002099940.1	lcl|NZ_JQRC01000081.1_cds_WP_235594473.1_2438	27.381	252	321
WP_002078520.1	lcl|NZ_JQRC01000096.1_cds_WP_061247897.1_2710	38.155	401	401
WP_002078520.1	lcl|NZ_JQRC01000081.1_cds_WP_017214708.1_2435	32.804	378	401
WP_002078520.1	lcl|NZ_JQRC01000081.1_cds_WP_017214700.1_2428	31.830	377	401
WP_002078520.1	lcl|NZ_JQRC01000039.1_cds_WP_061247297.1_1423	28.611	360	401
WP_002078520.1	lcl|NZ_JQRC01000147.1_cds_WP_036027114.1_3446	26.042	384	401
WP_002078520.1	lcl|NZ_JQRC01000169.1_cds_WP_002180117.1_3627	27.147	361	401
WP_025180279.1	lcl|NZ_JQRC01000024.1_cds_WP_081099775.1_881	29.348	368	568
WP_025180279.1	lcl|NZ_JQRC01000142.1_cds_WP_002178140.1_3399	32.701	211	568
WP_025180279.1	lcl|NZ_JQRC01000081.1_cds_WP_020981137.1_2432	32.701	211	568
WP_025180279.1	lcl|NZ_JQRC01000038.1_cds_WP_061247282.1_1389	33.173	208	568
WP_025180279.1	lcl|NZ_JQRC01000024.1_cds_WP_020980217.1_859	34.158	202	568
WP_025180279.1	lcl|NZ_JQRC01000025.1_cds_WP_002176655.1_946	30.270	185	568
WP_025180279.1	lcl|NZ_JQRC01000065.1_cds_WP_002177150.1_2084	31.088	193	568
WP_025180279.1	lcl|NZ_JQRC01000070.1_cds_WP_020980394.1_2280	31.282	195	568
WP_025180279.1	lcl|NZ_JQRC01000011.1_cds_WP_017213193.1_408	32.620	187	568
WP_025180279.1	lcl|NZ_JQRC01000059.1_cds_WP_002180333.1_1883	29.949	197	568
WP_025180279.1	lcl|NZ_JQRC01000127.1_cds_WP_061248288.1_3180	31.579	209	568
WP_025180279.1	lcl|NZ_JQRC01000067.1_cds_WP_061247589.1_2174	29.775	178	568
WP_025180279.1	lcl|NZ_JQRC01000030.1_cds_WP_061247197.1_1201	31.088	193	568
WP_025180279.1	lcl|NZ_JQRC01000018.1_cds_WP_061246908.1_571	31.410	156	568
