WP_000340715.1	lcl|NZ_VWOW01000005.1_cds_WP_000340715.1_2663	100.000	86	106
WP_000410268.1	lcl|NZ_VWOW01000005.1_cds_WP_000410273.1_2664	99.677	310	318
WP_000410268.1	lcl|NZ_VWOW01000005.1_cds_WP_000093099.1_2684	46.988	83	318
WP_000410268.1	lcl|NZ_VWOW01000005.1_cds_WP_000646250.1_2667	25.680	331	318
WP_000410268.1	lcl|NZ_VWOW01000012.1_cds_WP_000744700.1_493	24.611	321	318
WP_000410268.1	lcl|NZ_VWOW01000005.1_cds_WP_000723090.1_2746	24.306	288	318
WP_000410268.1	lcl|NZ_VWOW01000005.1_cds_WP_000600889.1_2693	23.636	275	318
WP_000020777.1	lcl|NZ_VWOW01000005.1_cds_WP_000202830.1_2703	42.493	353	361
WP_002076509.1	lcl|NZ_VWOW01000005.1_cds_WP_000282880.1_2742	30.638	235	223
WP_002076509.1	lcl|NZ_VWOW01000083.1_cds_WP_001099029.1_3594	26.906	223	223
WP_002076509.1	lcl|NZ_VWOW01000005.1_cds_WP_001068986.1_2721	30.435	92	223
WP_002076509.1	lcl|NZ_VWOW01000044.1_cds_WP_000840858.1_2504	29.808	104	223
WP_002076509.1	lcl|NZ_VWOW01000022.1_cds_WP_000868621.1_1368	29.670	91	223
WP_002076509.1	lcl|NZ_VWOW01000050.1_cds_WP_000262844.1_2791	24.638	207	223
WP_002076509.1	lcl|NZ_VWOW01000005.1_cds_WP_001114267.1_2749	26.705	176	223
WP_001136119.1	lcl|NZ_VWOW01000005.1_cds_WP_001230564.1_2696	36.578	339	354
WP_001136119.1	lcl|NZ_VWOW01000005.1_cds_WP_000582618.1_2700	34.356	326	354
WP_001136119.1	lcl|NZ_VWOW01000024.1_cds_WP_001011675.1_1487	33.898	295	354
WP_001136119.1	lcl|NZ_VWOW01000005.1_cds_WP_001230564.1_2696	36.578	339	354
WP_001136119.1	lcl|NZ_VWOW01000005.1_cds_WP_000582618.1_2700	34.356	326	354
WP_001136119.1	lcl|NZ_VWOW01000024.1_cds_WP_001011675.1_1487	33.898	295	354
WP_000535865.1	lcl|NZ_VWOW01000063.1_cds_WP_001014594.1_3198	28.365	208	234
WP_000535865.1	lcl|NZ_VWOW01000036.1_cds_WP_000721859.1_2123	33.333	111	234
WP_000535865.1	lcl|NZ_VWOW01000005.1_cds_WP_000848239.1_2711	28.571	126	234
WP_001117631.1	lcl|NZ_VWOW01000005.1_cds_WP_000582222.1_2682	38.211	246	387
WP_001117631.1	lcl|NZ_VWOW01000026.1_cds_WP_001281953.1_1585	31.989	372	387
WP_001117631.1	lcl|NZ_VWOW01000005.1_cds_WP_000608295.1_2672	28.448	348	387
WP_001117631.1	lcl|NZ_VWOW01000005.1_cds_WP_000947844.1_2694	32.700	263	387
WP_001117631.1	lcl|NZ_VWOW01000005.1_cds_WP_001198107.1_2671	37.864	206	387
WP_001117631.1	lcl|NZ_VWOW01000005.1_cds_WP_000575178.1_2740	29.329	283	387
WP_001117631.1	lcl|NZ_VWOW01000005.1_cds_WP_000346036.1_2701	27.701	361	387
