WP_000340715.1	lcl|NZ_JADDVZ010000005.1_cds_WP_002725873.1_2780	91.860	86	106
WP_000410268.1	lcl|NZ_JADDVZ010000005.1_cds_WP_002733579.1_2779	93.548	310	318
WP_000410268.1	lcl|NZ_JADDVZ010000005.1_cds_WP_002733534.1_2776	27.143	280	318
WP_000410268.1	lcl|NZ_JADDVZ010000018.1_cds_WP_002722638.1_690	22.671	322	318
WP_000410268.1	lcl|NZ_JADDVZ010000005.1_cds_WP_002740024.1_2685	25.000	288	318
WP_000410268.1	lcl|NZ_JADDVZ010000006.1_cds_WP_002728309.1_3040	25.402	311	318
WP_000410268.1	lcl|NZ_JADDVZ010000014.1_cds_WP_002743770.1_414	22.353	170	318
WP_000410268.1	lcl|NZ_JADDVZ010000005.1_cds_WP_016749081.1_2747	24.342	152	318
WP_002076509.1	lcl|NZ_JADDVZ010000032.1_cds_WP_032856387.1_1709	26.222	225	223
WP_002076509.1	lcl|NZ_JADDVZ010000005.1_cds_WP_002742128.1_2689	30.579	121	223
WP_002076509.1	lcl|NZ_JADDVZ010000005.1_cds_WP_002733661.1_2709	33.696	92	223
WP_002076509.1	lcl|NZ_JADDVZ010000019.1_cds_WP_002731944.1_753	30.769	104	223
WP_002076509.1	lcl|NZ_JADDVZ010000009.1_cds_WP_002726501.1_3381	29.787	94	223
WP_002076509.1	lcl|NZ_JADDVZ010000005.1_cds_WP_002733618.1_2682	25.568	176	223
WP_001136119.1	lcl|NZ_JADDVZ010000005.1_cds_WP_002740722.1_2736	36.607	336	354
WP_001136119.1	lcl|NZ_JADDVZ010000005.1_cds_WP_002740726.1_2732	33.728	338	354
WP_001136119.1	lcl|NZ_JADDVZ010000026.1_cds_WP_002730849.1_1276	34.375	288	354
WP_001136119.1	lcl|NZ_JADDVZ010000005.1_cds_WP_002740722.1_2736	36.607	336	354
WP_001136119.1	lcl|NZ_JADDVZ010000005.1_cds_WP_002740726.1_2732	33.728	338	354
WP_001136119.1	lcl|NZ_JADDVZ010000026.1_cds_WP_002730849.1_1276	34.375	288	354
WP_000535865.1	lcl|NZ_JADDVZ010000033.1_cds_WP_002738760.1_1734	30.952	210	234
WP_000535865.1	lcl|NZ_JADDVZ010000013.1_cds_WP_002723863.1_330	29.091	110	234
WP_002183331.1	lcl|NZ_JADDVZ010000011.1_cds_WP_002734213.1_133	26.776	183	204
WP_001117631.1	lcl|NZ_JADDVZ010000024.1_cds_WP_002728994.1_1189	30.914	372	387
