WP_000340715.1	lcl|NZ_RQHV01000061.1_cds_WP_109019586.1_907	67.606	71	106
WP_000410268.1	lcl|NZ_RQHV01000061.1_cds_WP_135764945.1_908	83.013	312	318
WP_000410268.1	lcl|NZ_RQHV01000061.1_cds_WP_135764956.1_919	25.000	316	318
WP_000410268.1	lcl|NZ_RQHV01000048.1_cds_WP_135764371.1_1730	23.952	334	318
WP_000410268.1	lcl|NZ_RQHV01000061.1_cds_WP_135764972.1_935	22.124	339	318
WP_000410268.1	lcl|NZ_RQHV01000061.1_cds_WP_135764942.1_904	22.148	298	318
WP_000410268.1	lcl|NZ_RQHV01000061.1_cds_WP_135765010.1_976	25.309	162	318
WP_000410268.1	lcl|NZ_RQHV01000061.1_cds_WP_135765025.1_992	21.739	299	318
WP_002076509.1	lcl|NZ_RQHV01000061.1_cds_WP_135765029.1_996	35.417	96	223
WP_002076509.1	lcl|NZ_RQHV01000061.1_cds_WP_135765021.1_988	27.536	207	223
WP_002076509.1	lcl|NZ_RQHV01000061.1_cds_WP_246047889.1_903	36.364	99	223
WP_002076509.1	lcl|NZ_RQHV01000049.1_cds_WP_135764457.1_90	33.333	99	223
WP_002076509.1	lcl|NZ_RQHV01000061.1_cds_WP_135764953.1_916	32.927	82	223
WP_002076509.1	lcl|NZ_RQHV01000061.1_cds_WP_135765027.1_994	29.000	100	223
WP_002076509.1	lcl|NZ_RQHV01000061.1_cds_WP_135765033.1_1000	29.348	92	223
WP_002076509.1	lcl|NZ_RQHV01000061.1_cds_WP_135765035.1_1002	28.723	94	223
WP_002076509.1	lcl|NZ_RQHV01000061.1_cds_WP_135765032.1_999	33.673	98	223
WP_001136119.1	lcl|NZ_RQHV01000061.1_cds_WP_135764975.1_938	36.103	349	354
WP_001136119.1	lcl|NZ_RQHV01000043.1_cds_WP_135764118.1_2836	36.614	254	354
WP_001136119.1	lcl|NZ_RQHV01000061.1_cds_WP_135764975.1_938	36.103	349	354
WP_001136119.1	lcl|NZ_RQHV01000043.1_cds_WP_135764118.1_2836	36.614	254	354
WP_000535865.1	lcl|NZ_RQHV01000066.1_cds_WP_135765984.1_151	32.086	187	234
WP_000535865.1	lcl|NZ_RQHV01000066.1_cds_WP_135765971.1_136	28.205	117	234
WP_001117631.1	lcl|NZ_RQHV01000042.1_cds_WP_135763955.1_2454	29.231	390	387
