WP_000340715.1	lcl|NZ_AFLH02000484.1_cds_WP_000340715.1_1033	100.000	86	106
WP_000410268.1	lcl|NZ_AFLH02000484.1_cds_WP_000410273.1_1032	99.677	310	318
WP_000410268.1	lcl|NZ_AFLH02000484.1_cds_WP_000093099.1_1012	46.988	83	318
WP_000410268.1	lcl|NZ_AFLH02000484.1_cds_WP_000646250.1_1029	25.680	331	318
WP_000410268.1	lcl|NZ_AFLH02000238.1_cds_WP_000744700.1_2945	24.611	321	318
WP_000410268.1	lcl|NZ_AFLH02000091.1_cds_WP_000723090.1_3625	24.306	288	318
WP_000410268.1	lcl|NZ_AFLH02000425.1_cds_WP_000723090.1_1806	24.306	288	318
WP_000410268.1	lcl|NZ_AFLH02000484.1_cds_WP_000600889.1_1003	23.636	275	318
WP_000020777.1	lcl|NZ_AFLH02000484.1_cds_WP_000202830.1_993	42.493	353	361
WP_002076509.1	lcl|NZ_AFLH02000091.1_cds_WP_000282880.1_3621	30.638	235	223
WP_002076509.1	lcl|NZ_AFLH02000425.1_cds_WP_000282880.1_1802	30.638	235	223
WP_002076509.1	lcl|NZ_AFLH02000526.1_cds_WP_001099029.1_203	26.906	223	223
WP_002076509.1	lcl|NZ_AFLH02000484.1_cds_WP_001068986.1_975	30.435	92	223
WP_002076509.1	lcl|NZ_AFLH02000414.1_cds_WP_000840858.1_1942	29.808	104	223
WP_002076509.1	lcl|NZ_AFLH02000123.1_cds_WP_000868621.1_3488	29.670	91	223
WP_002076509.1	lcl|NZ_AFLH02000334.1_cds_WP_000262844.1_2453	24.638	207	223
WP_002076509.1	lcl|NZ_AFLH02000503.1_cds_WP_001114267.1_648	26.705	176	223
WP_001136119.1	lcl|NZ_AFLH02000484.1_cds_WP_001230564.1_1000	36.578	339	354
WP_001136119.1	lcl|NZ_AFLH02000484.1_cds_WP_000582618.1_996	34.356	326	354
WP_001136119.1	lcl|NZ_AFLH02000209.1_cds_WP_001011675.1_3143	33.898	295	354
WP_001136119.1	lcl|NZ_AFLH02000484.1_cds_WP_001230564.1_1000	36.578	339	354
WP_001136119.1	lcl|NZ_AFLH02000484.1_cds_WP_000582618.1_996	34.356	326	354
WP_001136119.1	lcl|NZ_AFLH02000209.1_cds_WP_001011675.1_3143	33.898	295	354
WP_000535865.1	lcl|NZ_AFLH02000135.1_cds_WP_001014594.1_3428	28.365	208	234
WP_000535865.1	lcl|NZ_AFLH02000177.1_cds_WP_000721859.1_3261	33.333	111	234
