WP_002725873.1	lcl|NZ_JADDVG010000006.1_cds_WP_002725873.1_2928	100.000	106	106
WP_002733579.1	lcl|NZ_JADDVG010000006.1_cds_WP_002733579.1_2929	100.000	314	314
WP_002733579.1	lcl|NZ_JADDVG010000017.1_cds_WP_002722638.1_606	24.615	325	314
WP_002733579.1	lcl|NZ_JADDVG010000006.1_cds_WP_002733534.1_2932	26.908	249	314
WP_002733579.1	lcl|NZ_JADDVG010000006.1_cds_WP_002740024.1_3023	23.132	281	314
WP_002733579.1	lcl|NZ_JADDVG010000007.1_cds_WP_002728309.1_3203	25.723	311	314
WP_002733579.1	lcl|NZ_JADDVG010000029.1_cds_WP_002743770.1_1372	20.809	173	314
WP_002733579.1	lcl|NZ_JADDVG010000006.1_cds_WP_016749081.1_2961	24.503	151	314
WP_002733579.1	lcl|NZ_JADDVG010000006.1_cds_WP_002740721.1_2935	24.848	330	314
WP_026054882.1	lcl|NZ_JADDVG010000006.1_cds_WP_026054882.1_2930	99.726	365	365
WP_002733646.1	lcl|NZ_JADDVG010000006.1_cds_WP_002733646.1_2931	100.000	185	185
WP_002733646.1	lcl|NZ_JADDVG010000003.1_cds_WP_002721790.1_1902	36.364	154	185
WP_258203953.1	lcl|NZ_JADDVG010000006.1_cds_WP_002733534.1_2932	98.784	329	329
WP_258203953.1	lcl|NZ_JADDVG010000017.1_cds_WP_002722638.1_606	30.159	315	329
WP_258203953.1	lcl|NZ_JADDVG010000006.1_cds_WP_002740024.1_3023	31.343	335	329
WP_258203953.1	lcl|NZ_JADDVG010000007.1_cds_WP_002728309.1_3203	30.868	311	329
WP_258203953.1	lcl|NZ_JADDVG010000029.1_cds_WP_002743770.1_1372	27.566	341	329
WP_258203953.1	lcl|NZ_JADDVG010000006.1_cds_WP_002733638.1_2969	27.586	348	329
WP_258203953.1	lcl|NZ_JADDVG010000007.1_cds_WP_002728316.1_3200	28.182	330	329
WP_258203953.1	lcl|NZ_JADDVG010000076.1_cds_WP_002741146.1_3083	29.167	312	329
