WP_002725873.1	lcl|NZ_AOVK01000131.1_cds_WP_000340715.1_2629	93.902	82	106
WP_002733579.1	lcl|NZ_AOVK01000131.1_cds_WP_000410273.1_2630	92.994	314	314
WP_002733579.1	lcl|NZ_AOVK01000131.1_cds_WP_000093099.1_2650	58.730	63	314
WP_002733579.1	lcl|NZ_AOVK01000131.1_cds_WP_000646250.1_2633	27.711	249	314
WP_002733579.1	lcl|NZ_AOVK01000134.1_cds_WP_000744700.1_2857	23.171	328	314
WP_002733579.1	lcl|NZ_AOVK01000131.1_cds_WP_000600889.1_2659	22.909	275	314
WP_002733579.1	lcl|NZ_AOVK01000131.1_cds_WP_000723090.1_2712	23.875	289	314
WP_002733579.1	lcl|NZ_AOVK01000131.1_cds_WP_001067557.1_2636	24.540	326	314
WP_026054882.1	lcl|NZ_AOVK01000131.1_cds_WP_000604524.1_2631	85.479	365	365
WP_002733646.1	lcl|NZ_AOVK01000131.1_cds_WP_000884059.1_2632	95.676	185	185
WP_002733646.1	lcl|NZ_AOVK01000049.1_cds_WP_000351733.1_556	40.714	140	185
WP_258203953.1	lcl|NZ_AOVK01000131.1_cds_WP_000646250.1_2633	98.480	329	329
WP_258203953.1	lcl|NZ_AOVK01000134.1_cds_WP_000744700.1_2857	32.381	315	329
WP_258203953.1	lcl|NZ_AOVK01000131.1_cds_WP_000723090.1_2712	31.045	335	329
WP_258203953.1	lcl|NZ_AOVK01000131.1_cds_WP_000600889.1_2659	31.677	322	329
WP_258203953.1	lcl|NZ_AOVK01000089.1_cds_WP_001984071.1_1291	31.475	305	329
WP_258203953.1	lcl|NZ_AOVK01000091.1_cds_WP_000649925.1_1417	30.183	328	329
WP_258203953.1	lcl|NZ_AOVK01000096.1_cds_WP_000709511.1_1504	29.730	333	329
WP_258203953.1	lcl|NZ_AOVK01000131.1_cds_WP_000601375.1_2686	24.161	298	329
WP_258203953.1	lcl|NZ_AOVK01000131.1_cds_WP_001067557.1_2636	30.350	257	329
WP_258203953.1	lcl|NZ_AOVK01000078.1_cds_WP_000688695.1_1099	29.329	283	329
WP_258203953.1	lcl|NZ_AOVK01000131.1_cds_WP_000475904.1_2695	27.372	274	329
WP_258203953.1	lcl|NZ_AOVK01000131.1_cds_WP_000410273.1_2630	25.705	319	329
WP_258203953.1	lcl|NZ_AOVK01000127.1_cds_WP_001074785.1_2318	29.434	265	329
WP_258203953.1	lcl|NZ_AOVK01000130.1_cds_WP_001003555.1_2539	25.148	338	329
WP_258203953.1	lcl|NZ_AOVK01000131.1_cds_WP_000487322.1_2684	27.077	325	329
WP_250066499.1	lcl|NZ_AOVK01000131.1_cds_WP_000774262.1_2634	92.135	267	267
WP_250066499.1	lcl|NZ_AOVK01000131.1_cds_WP_000859505.1_2683	28.155	206	267
WP_250066499.1	lcl|NZ_AOVK01000131.1_cds_WP_000800438.1_2664	28.492	179	267
WP_250066499.1	lcl|NZ_AOVK01000131.1_cds_WP_000842260.1_2713	27.895	190	267
WP_250066499.1	lcl|NZ_AOVK01000059.1_cds_WP_000667727.1_783	31.818	110	267
WP_250066499.1	lcl|NZ_AOVK01000108.1_cds_WP_000805357.1_1797	27.660	188	267
WP_002740779.1	lcl|NZ_AOVK01000131.1_cds_WP_000612797.1_2635	96.071	509	509
