WP_002725873.1	lcl|NZ_JADDVR010000007.1_cds_WP_002725873.1_3074	100.000	106	106
WP_002733579.1	lcl|NZ_JADDVR010000007.1_cds_WP_002733579.1_3075	100.000	314	314
WP_002733579.1	lcl|NZ_JADDVR010000019.1_cds_WP_002722638.1_750	24.615	325	314
WP_002733579.1	lcl|NZ_JADDVR010000007.1_cds_WP_002733534.1_3078	26.908	249	314
WP_002733579.1	lcl|NZ_JADDVR010000007.1_cds_WP_002740024.1_3169	23.132	281	314
WP_002733579.1	lcl|NZ_JADDVR010000008.1_cds_WP_002728309.1_3287	25.723	311	314
WP_002733579.1	lcl|NZ_JADDVR010000014.1_cds_WP_002743770.1_385	20.809	173	314
WP_002733579.1	lcl|NZ_JADDVR010000007.1_cds_WP_016749081.1_3107	24.503	151	314
WP_002733579.1	lcl|NZ_JADDVR010000007.1_cds_WP_002740721.1_3081	24.848	330	314
WP_026054882.1	lcl|NZ_JADDVR010000007.1_cds_WP_026054882.1_3076	99.726	365	365
WP_002733646.1	lcl|NZ_JADDVR010000007.1_cds_WP_002733646.1_3077	100.000	185	185
WP_002733646.1	lcl|NZ_JADDVR010000003.1_cds_WP_002721790.1_1944	36.364	154	185
WP_258203953.1	lcl|NZ_JADDVR010000007.1_cds_WP_002733534.1_3078	98.784	329	329
WP_258203953.1	lcl|NZ_JADDVR010000019.1_cds_WP_002722638.1_750	30.159	315	329
WP_258203953.1	lcl|NZ_JADDVR010000007.1_cds_WP_002740024.1_3169	31.343	335	329
WP_258203953.1	lcl|NZ_JADDVR010000008.1_cds_WP_002728309.1_3287	30.868	311	329
WP_258203953.1	lcl|NZ_JADDVR010000014.1_cds_WP_002743770.1_385	27.566	341	329
WP_258203953.1	lcl|NZ_JADDVR010000007.1_cds_WP_002733638.1_3115	27.586	348	329
WP_258203953.1	lcl|NZ_JADDVR010000008.1_cds_WP_002728316.1_3284	28.182	330	329
WP_258203953.1	lcl|NZ_JADDVR010000073.1_cds_WP_002741146.1_3044	29.167	312	329
WP_258203953.1	lcl|NZ_JADDVR010000007.1_cds_WP_002733546.1_3144	25.373	268	329
WP_258203953.1	lcl|NZ_JADDVR010000007.1_cds_WP_002740721.1_3081	28.990	307	329
WP_258203953.1	lcl|NZ_JADDVR010000009.1_cds_WP_002732331.1_3380	25.959	339	329
WP_258203953.1	lcl|NZ_JADDVR010000007.1_cds_WP_002744551.1_3109	29.259	270	329
