WP_002725873.1	lcl|NZ_AFJP01000278.1_cds_WP_000340715.1_479	93.902	82	106
WP_002733579.1	lcl|NZ_AFJP01000278.1_cds_WP_000410273.1_478	92.994	314	314
WP_002733579.1	lcl|NZ_AFJP01000278.1_cds_WP_000093099.1_458	58.730	63	314
WP_002733579.1	lcl|NZ_AFJP01000278.1_cds_WP_000646250.1_475	27.711	249	314
WP_002733579.1	lcl|NZ_AFJP01000085.1_cds_WP_000744700.1_2132	23.171	328	314
WP_002733579.1	lcl|NZ_AFJP01000278.1_cds_WP_000600889.1_449	22.909	275	314
WP_002733579.1	lcl|NZ_AFJP01000289.1_cds_WP_000723090.1_243	23.875	289	314
WP_002733579.1	lcl|NZ_AFJP01000278.1_cds_WP_001067557.1_472	24.540	326	314
WP_026054882.1	lcl|NZ_AFJP01000278.1_cds_WP_000604524.1_477	85.479	365	365
WP_002733646.1	lcl|NZ_AFJP01000278.1_cds_WP_000884059.1_476	95.676	185	185
WP_002733646.1	lcl|NZ_AFJP01000029.1_cds_WP_000351733.1_3537	40.714	140	185
WP_258203953.1	lcl|NZ_AFJP01000278.1_cds_WP_000646250.1_475	98.480	329	329
WP_258203953.1	lcl|NZ_AFJP01000085.1_cds_WP_000744700.1_2132	32.381	315	329
WP_258203953.1	lcl|NZ_AFJP01000289.1_cds_WP_000723090.1_243	31.045	335	329
WP_258203953.1	lcl|NZ_AFJP01000278.1_cds_WP_000600889.1_449	31.677	322	329
WP_258203953.1	lcl|NZ_AFJP01000300.1_cds_WP_001984071.1_41	31.475	305	329
WP_258203953.1	lcl|NZ_AFJP01000129.1_cds_WP_000649925.1_1727	30.183	328	329
WP_258203953.1	lcl|NZ_AFJP01000010.1_cds_WP_000709511.1_3639	29.730	333	329
WP_258203953.1	lcl|NZ_AFJP01000289.1_cds_WP_000601375.1_217	24.161	298	329
WP_258203953.1	lcl|NZ_AFJP01000278.1_cds_WP_001067557.1_472	30.350	257	329
WP_258203953.1	lcl|NZ_AFJP01000054.1_cds_WP_000688695.1_2623	29.329	283	329
WP_258203953.1	lcl|NZ_AFJP01000289.1_cds_WP_000475904.1_226	27.372	274	329
WP_258203953.1	lcl|NZ_AFJP01000278.1_cds_WP_000410273.1_478	25.705	319	329
WP_258203953.1	lcl|NZ_AFJP01000093.1_cds_WP_001074785.1_1969	29.434	265	329
WP_258203953.1	lcl|NZ_AFJP01000067.1_cds_WP_001003555.1_2376	25.148	338	329
WP_258203953.1	lcl|NZ_AFJP01000289.1_cds_WP_000487322.1_215	27.077	325	329
WP_250066499.1	lcl|NZ_AFJP01000278.1_cds_WP_000774262.1_474	92.135	267	267
WP_250066499.1	lcl|NZ_AFJP01000289.1_cds_WP_000859505.1_214	28.155	206	267
WP_250066499.1	lcl|NZ_AFJP01000278.1_cds_WP_000800438.1_444	28.492	179	267
