WP_002725873.1	lcl|NZ_RQHN01000005.1_cds_WP_135594790.1_3185	62.162	74	106
WP_002733579.1	lcl|NZ_RQHN01000005.1_cds_WP_135594788.1_3184	82.803	314	314
WP_002733579.1	lcl|NZ_RQHN01000005.1_cds_WP_135799053.1_3135	22.500	280	314
WP_002733579.1	lcl|NZ_RQHN01000009.1_cds_WP_100725791.1_930	22.727	330	314
WP_002733579.1	lcl|NZ_RQHN01000005.1_cds_WP_135594687.1_3133	21.569	306	314
WP_002733579.1	lcl|NZ_RQHN01000005.1_cds_WP_135799041.1_3115	27.347	245	314
WP_002733579.1	lcl|NZ_RQHN01000002.1_cds_WP_100715920.1_3317	22.485	169	314
WP_002733579.1	lcl|NZ_RQHN01000009.1_cds_WP_135799529.1_1499	23.529	323	314
WP_002733646.1	lcl|NZ_RQHN01000005.1_cds_WP_135652139.1_3155	33.898	177	185
WP_002733646.1	lcl|NZ_RQHN01000005.1_cds_WP_135591902.1_2709	33.333	129	185
WP_258203953.1	lcl|NZ_RQHN01000005.1_cds_WP_135799053.1_3135	31.894	301	329
WP_258203953.1	lcl|NZ_RQHN01000005.1_cds_WP_135594687.1_3133	30.820	305	329
WP_258203953.1	lcl|NZ_RQHN01000009.1_cds_WP_100725791.1_930	30.255	314	329
WP_258203953.1	lcl|NZ_RQHN01000009.1_cds_WP_135799529.1_1499	31.803	305	329
WP_258203953.1	lcl|NZ_RQHN01000002.1_cds_WP_100715920.1_3317	29.326	341	329
WP_258203953.1	lcl|NZ_RQHN01000005.1_cds_WP_135799041.1_3115	26.888	331	329
WP_258203953.1	lcl|NZ_RQHN01000009.1_cds_WP_135639720.1_957	29.299	314	329
WP_258203953.1	lcl|NZ_RQHN01000009.1_cds_WP_100721309.1_1320	27.950	322	329
WP_258203953.1	lcl|NZ_RQHN01000005.1_cds_WP_135594788.1_3184	28.302	318	329
WP_258203953.1	lcl|NZ_RQHN01000009.1_cds_WP_100716204.1_1269	27.092	251	329
WP_258203953.1	lcl|NZ_RQHN01000005.1_cds_WP_135799054.1_3142	21.723	267	329
WP_258203953.1	lcl|NZ_RQHN01000005.1_cds_WP_135652132.1_3145	34.194	155	329
WP_258203953.1	lcl|NZ_RQHN01000005.1_cds_WP_135799051.1_3131	26.154	260	329
WP_258203953.1	lcl|NZ_RQHN01000009.1_cds_WP_100725556.1_1277	24.275	276	329
WP_258203953.1	lcl|NZ_RQHN01000002.1_cds_WP_210409557.1_3306	24.595	309	329
WP_258203953.1	lcl|NZ_RQHN01000009.1_cds_WP_135799373.1_878	28.514	249	329
WP_258203953.1	lcl|NZ_RQHN01000005.1_cds_WP_135604102.1_3098	24.460	278	329
WP_258203953.1	lcl|NZ_RQHN01000009.1_cds_WP_135661930.1_580	26.257	179	329
WP_250066499.1	lcl|NZ_RQHN01000005.1_cds_WP_135594689.1_3134	26.939	245	267
WP_250066499.1	lcl|NZ_RQHN01000005.1_cds_WP_135594704.1_3143	28.111	217	267
WP_250066499.1	lcl|NZ_RQHN01000005.1_cds_WP_100727872.1_3037	25.564	266	267
WP_250066499.1	lcl|NZ_RQHN01000009.1_cds_WP_135594434.1_1387	28.324	173	267
WP_250066499.1	lcl|NZ_RQHN01000005.1_cds_WP_135604079.1_3114	25.641	195	267
WP_250066499.1	lcl|NZ_RQHN01000002.1_cds_WP_135798839.1_3318	27.225	191	267
WP_002740779.1	lcl|NZ_RQHN01000005.1_cds_WP_100717124.1_2731	25.836	329	509
WP_002740779.1	lcl|NZ_RQHN01000005.1_cds_WP_135604374.1_2732	32.759	58	509
WP_002740779.1	lcl|NZ_RQHN01000005.1_cds_WP_100717124.1_2731	25.836	329	509
WP_002740779.1	lcl|NZ_RQHN01000005.1_cds_WP_135604374.1_2732	32.759	58	509
WP_250066500.1	lcl|NZ_RQHN01000009.1_cds_WP_135799529.1_1499	23.741	278	330
WP_250066500.1	lcl|NZ_RQHN01000009.1_cds_WP_100716204.1_1269	27.547	265	330
WP_250066500.1	lcl|NZ_RQHN01000009.1_cds_WP_100725791.1_930	28.261	276	330
WP_250066500.1	lcl|NZ_RQHN01000005.1_cds_WP_135799053.1_3135	22.963	270	330
WP_250066500.1	lcl|NZ_RQHN01000009.1_cds_WP_135639720.1_957	26.730	318	330
WP_250066500.1	lcl|NZ_RQHN01000005.1_cds_WP_135799041.1_3115	24.923	325	330
WP_250066500.1	lcl|NZ_RQHN01000009.1_cds_WP_100725556.1_1277	24.621	264	330
WP_250066500.1	lcl|NZ_RQHN01000005.1_cds_WP_135594687.1_3133	24.046	262	330
WP_250066500.1	lcl|NZ_RQHN01000002.1_cds_WP_100715920.1_3317	23.841	302	330
WP_250066500.1	lcl|NZ_RQHN01000005.1_cds_WP_135799054.1_3142	24.691	162	330
