WP_002725873.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000340715.1_116	93.902	82	106
WP_002733579.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000410273.1_115	92.994	314	314
WP_002733579.1	lcl|NZ_JAMKEN010000010.1_cds_WP_000744700.1_249	23.171	328	314
WP_002733579.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000646251.1_112	27.309	249	314
WP_002733579.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000600889.1_82	22.909	275	314
WP_002733579.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000723090.1_30	23.875	289	314
WP_002733579.1	lcl|NZ_JAMKEN010000001.1_cds_WP_250180907.1_88	22.291	323	314
WP_002733579.1	lcl|NZ_JAMKEN010000001.1_cds_WP_001067557.1_109	24.540	326	314
WP_026054882.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000604524.1_114	85.479	365	365
WP_002733646.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000884059.1_113	95.676	185	185
WP_002733646.1	lcl|NZ_JAMKEN010000003.1_cds_WP_000351733.1_1905	40.714	140	185
WP_258203953.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000646251.1_112	99.088	329	329
WP_258203953.1	lcl|NZ_JAMKEN010000010.1_cds_WP_000744700.1_249	32.381	315	329
WP_258203953.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000723090.1_30	31.045	335	329
WP_258203953.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000600889.1_82	31.677	322	329
WP_258203953.1	lcl|NZ_JAMKEN010000013.1_cds_WP_250181024.1_617	31.475	305	329
WP_258203953.1	lcl|NZ_JAMKEN010000012.1_cds_WP_000649923.1_538	30.183	328	329
WP_258203953.1	lcl|NZ_JAMKEN010000013.1_cds_WP_000709511.1_627	29.730	333	329
WP_258203953.1	lcl|NZ_JAMKEN010000001.1_cds_M9Y90_RS00280_56	24.161	298	329
WP_258203953.1	lcl|NZ_JAMKEN010000001.1_cds_WP_001067557.1_109	30.350	257	329
WP_258203953.1	lcl|NZ_JAMKEN010000013.1_cds_WP_000688696.1_597	29.329	283	329
WP_258203953.1	lcl|NZ_JAMKEN010000001.1_cds_WP_002079020.1_86	29.630	270	329
WP_258203953.1	lcl|NZ_JAMKEN010000001.1_cds_WP_250180907.1_88	25.078	319	329
WP_258203953.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000475904.1_47	27.372	274	329
WP_258203953.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000410273.1_115	25.705	319	329
WP_258203953.1	lcl|NZ_JAMKEN010000027.1_cds_WP_001074784.1_1766	29.434	265	329
WP_258203953.1	lcl|NZ_JAMKEN010000008.1_cds_WP_001003557.1_3769	25.000	332	329
WP_258203953.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000487322.1_58	27.077	325	329
WP_250066499.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000774260.1_111	92.509	267	267
WP_250066499.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000859505.1_59	28.155	206	267
WP_250066499.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000800438.1_77	28.492	179	267
WP_250066499.1	lcl|NZ_JAMKEN010000001.1_cds_WP_000842260.1_29	27.895	190	267
WP_250066499.1	lcl|NZ_JAMKEN010000025.1_cds_WP_000805357.1_1665	27.660	188	267
WP_250066499.1	lcl|NZ_JAMKEN010000013.1_cds_WP_155572209.1_575	28.866	97	267
