WP_002725873.1	lcl|NZ_AFKV01000478.1_cds_WP_000340715.1_291	93.902	82	106
WP_002733579.1	lcl|NZ_AFKV01000478.1_cds_WP_000410273.1_290	92.994	314	314
WP_002733579.1	lcl|NZ_AFKV01000478.1_cds_WP_000093099.1_270	58.730	63	314
WP_002733579.1	lcl|NZ_AFKV01000478.1_cds_WP_000646250.1_287	27.711	249	314
WP_002733579.1	lcl|NZ_AFKV01000324.1_cds_WP_000744700.1_893	23.171	328	314
WP_002733579.1	lcl|NZ_AFKV01000144.1_cds_WP_000600889.1_2667	22.909	275	314
WP_002733579.1	lcl|NZ_AFKV01000464.1_cds_WP_000329357.1_427	23.875	289	314
WP_002733579.1	lcl|NZ_AFKV01000478.1_cds_WP_001067557.1_284	24.540	326	314
WP_026054882.1	lcl|NZ_AFKV01000478.1_cds_WP_000604524.1_289	85.479	365	365
WP_002733646.1	lcl|NZ_AFKV01000478.1_cds_WP_000884059.1_288	95.676	185	185
WP_002733646.1	lcl|NZ_AFKV01000131.1_cds_WP_000351733.1_3004	40.714	140	185
WP_258203953.1	lcl|NZ_AFKV01000478.1_cds_WP_000646250.1_287	98.480	329	329
WP_258203953.1	lcl|NZ_AFKV01000324.1_cds_WP_000744700.1_893	32.381	315	329
WP_258203953.1	lcl|NZ_AFKV01000144.1_cds_WP_000600889.1_2667	31.677	322	329
WP_258203953.1	lcl|NZ_AFKV01000201.1_cds_WP_001984071.1_1971	31.475	305	329
WP_258203953.1	lcl|NZ_AFKV01000464.1_cds_WP_000329357.1_427	28.710	310	329
WP_258203953.1	lcl|NZ_AFKV01000153.1_cds_WP_000649925.1_2547	30.183	328	329
WP_258203953.1	lcl|NZ_AFKV01000481.1_cds_WP_000709511.1_247	29.730	333	329
WP_258203953.1	lcl|NZ_AFKV01000144.1_cds_WP_000601375.1_2640	24.161	298	329
WP_258203953.1	lcl|NZ_AFKV01000478.1_cds_WP_001067557.1_284	30.350	257	329
WP_258203953.1	lcl|NZ_AFKV01000156.1_cds_WP_000688695.1_2449	29.329	283	329
WP_258203953.1	lcl|NZ_AFKV01000025.1_cds_WP_000475904.1_3758	27.372	274	329
WP_258203953.1	lcl|NZ_AFKV01000478.1_cds_WP_000410273.1_290	25.705	319	329
WP_258203953.1	lcl|NZ_AFKV01000165.1_cds_WP_001074785.1_2345	29.434	265	329
WP_258203953.1	lcl|NZ_AFKV01000286.1_cds_WP_001003555.1_1255	25.148	338	329
