WP_002725873.1	lcl|NZ_AFMH01000126.1_cds_WP_000340715.1_1471	93.902	82	106
WP_002733579.1	lcl|NZ_AFMH01000126.1_cds_WP_000410273.1_1472	92.994	314	314
WP_002733579.1	lcl|NZ_AFMH01000126.1_cds_WP_000093099.1_1492	58.730	63	314
WP_002733579.1	lcl|NZ_AFMH01000126.1_cds_WP_000646250.1_1475	27.711	249	314
WP_002733579.1	lcl|NZ_AFMH01000115.1_cds_WP_000744700.1_1808	23.171	328	314
WP_002733579.1	lcl|NZ_AFMH01000126.1_cds_WP_000600889.1_1501	22.909	275	314
WP_002733579.1	lcl|NZ_AFMH01000126.1_cds_WP_000723090.1_1554	23.875	289	314
WP_002733579.1	lcl|NZ_AFMH01000126.1_cds_WP_001067557.1_1478	24.540	326	314
WP_026054882.1	lcl|NZ_AFMH01000126.1_cds_WP_000604524.1_1473	85.479	365	365
WP_002733646.1	lcl|NZ_AFMH01000126.1_cds_WP_000884059.1_1474	95.676	185	185
WP_002733646.1	lcl|NZ_AFMH01000074.1_cds_WP_000351733.1_2250	40.714	140	185
WP_258203953.1	lcl|NZ_AFMH01000126.1_cds_WP_000646250.1_1475	98.480	329	329
WP_258203953.1	lcl|NZ_AFMH01000115.1_cds_WP_000744700.1_1808	32.381	315	329
WP_258203953.1	lcl|NZ_AFMH01000126.1_cds_WP_000723090.1_1554	31.045	335	329
WP_258203953.1	lcl|NZ_AFMH01000126.1_cds_WP_000600889.1_1501	31.677	322	329
WP_258203953.1	lcl|NZ_AFMH01000131.1_cds_WP_001984071.1_1397	31.475	305	329
WP_258203953.1	lcl|NZ_AFMH01000023.1_cds_WP_000649925.1_3413	30.183	328	329
WP_258203953.1	lcl|NZ_AFMH01000291.1_cds_WP_000709511.1_61	29.730	333	329
WP_258203953.1	lcl|NZ_AFMH01000126.1_cds_WP_000601375.1_1528	24.161	298	329
WP_258203953.1	lcl|NZ_AFMH01000126.1_cds_WP_001067557.1_1478	30.350	257	329
WP_258203953.1	lcl|NZ_AFMH01000047.1_cds_WP_000688695.1_2777	29.329	283	329
WP_258203953.1	lcl|NZ_AFMH01000126.1_cds_WP_000475904.1_1537	27.372	274	329
WP_258203953.1	lcl|NZ_AFMH01000126.1_cds_WP_000410273.1_1472	25.705	319	329
WP_258203953.1	lcl|NZ_AFMH01000026.1_cds_WP_001074785.1_3298	29.434	265	329
WP_258203953.1	lcl|NZ_AFMH01000142.1_cds_WP_001003555.1_1214	25.148	338	329
WP_258203953.1	lcl|NZ_AFMH01000126.1_cds_WP_000487322.1_1526	27.077	325	329
WP_250066499.1	lcl|NZ_AFMH01000126.1_cds_WP_000774262.1_1476	92.135	267	267
WP_250066499.1	lcl|NZ_AFMH01000126.1_cds_WP_000859505.1_1525	28.155	206	267
WP_250066499.1	lcl|NZ_AFMH01000126.1_cds_WP_000800438.1_1506	28.492	179	267
WP_250066499.1	lcl|NZ_AFMH01000126.1_cds_WP_000842260.1_1555	27.895	190	267
WP_250066499.1	lcl|NZ_AFMH01000033.1_cds_WP_000667727.1_3149	31.818	110	267
WP_250066499.1	lcl|NZ_AFMH01000036.1_cds_WP_000805357.1_3041	27.660	188	267
WP_002740779.1	lcl|NZ_AFMH01000126.1_cds_WP_000612797.1_1477	96.071	509	509
WP_002740779.1	lcl|NZ_AFMH01000056.1_cds_WP_000291591.1_2548	26.852	324	509
WP_002740779.1	lcl|NZ_AFMH01000056.1_cds_WP_000364507.1_2549	31.111	90	509
WP_002740779.1	lcl|NZ_AFMH01000126.1_cds_WP_000612797.1_1477	96.071	509	509
WP_002740779.1	lcl|NZ_AFMH01000056.1_cds_WP_000291591.1_2548	26.852	324	509
WP_002740779.1	lcl|NZ_AFMH01000056.1_cds_WP_000364507.1_2549	31.111	90	509
WP_250066500.1	lcl|NZ_AFMH01000126.1_cds_WP_001067557.1_1478	95.152	330	330
WP_250066500.1	lcl|NZ_AFMH01000126.1_cds_WP_000646250.1_1475	28.664	307	330
WP_250066500.1	lcl|NZ_AFMH01000126.1_cds_WP_000600889.1_1501	27.068	266	330
