WP_002725873.1	lcl|NZ_AFKW01000216.1_cds_WP_000340715.1_1112	93.902	82	106
WP_002733579.1	lcl|NZ_AFKW01000216.1_cds_WP_000410273.1_1111	92.994	314	314
WP_002733579.1	lcl|NZ_AFKW01000216.1_cds_WP_000093099.1_1091	58.730	63	314
WP_002733579.1	lcl|NZ_AFKW01000216.1_cds_WP_000646250.1_1108	27.711	249	314
WP_002733579.1	lcl|NZ_AFKW01000063.1_cds_WP_000744700.1_2881	23.171	328	314
WP_002733579.1	lcl|NZ_AFKW01000216.1_cds_WP_000600889.1_1082	22.909	275	314
WP_002733579.1	lcl|NZ_AFKW01000041.1_cds_WP_000723090.1_3532	23.875	289	314
WP_002733579.1	lcl|NZ_AFKW01000216.1_cds_WP_001067557.1_1105	24.540	326	314
WP_026054882.1	lcl|NZ_AFKW01000216.1_cds_WP_000604524.1_1110	85.479	365	365
WP_002733646.1	lcl|NZ_AFKW01000216.1_cds_WP_000884059.1_1109	95.676	185	185
WP_002733646.1	lcl|NZ_AFKW01000071.1_cds_WP_000351733.1_2685	40.714	140	185
WP_258203953.1	lcl|NZ_AFKW01000216.1_cds_WP_000646250.1_1108	98.480	329	329
WP_258203953.1	lcl|NZ_AFKW01000063.1_cds_WP_000744700.1_2881	32.381	315	329
WP_258203953.1	lcl|NZ_AFKW01000041.1_cds_WP_000723090.1_3532	31.045	335	329
WP_258203953.1	lcl|NZ_AFKW01000216.1_cds_WP_000600889.1_1082	31.677	322	329
WP_258203953.1	lcl|NZ_AFKW01000280.1_cds_WP_001984071.1_529	31.475	305	329
WP_258203953.1	lcl|NZ_AFKW01000048.1_cds_WP_000649925.1_3312	30.183	328	329
WP_258203953.1	lcl|NZ_AFKW01000059.1_cds_WP_000709511.1_2965	29.730	333	329
WP_258203953.1	lcl|NZ_AFKW01000009.1_cds_WP_000601375.1_3685	24.161	298	329
WP_258203953.1	lcl|NZ_AFKW01000216.1_cds_WP_001067557.1_1105	30.350	257	329
WP_258203953.1	lcl|NZ_AFKW01000093.1_cds_WP_000688695.1_2263	29.329	283	329
WP_258203953.1	lcl|NZ_AFKW01000041.1_cds_WP_000475904.1_3515	27.372	274	329
WP_258203953.1	lcl|NZ_AFKW01000216.1_cds_WP_000410273.1_1111	25.705	319	329
