WP_002725873.1	lcl|NZ_AOHA02000086.1_cds_WP_004462903.1_54	97.561	82	106
WP_002733579.1	lcl|NZ_AOHA02000086.1_cds_WP_004472299.1_53	91.935	310	314
WP_002733579.1	lcl|NZ_AOHA02000041.1_cds_WP_004473914.1_1875	23.692	325	314
WP_002733579.1	lcl|NZ_AOHA02000086.1_cds_WP_004470124.1_50	26.908	249	314
WP_002733579.1	lcl|NZ_AOHA02000072.1_cds_WP_004465060.1_596	23.132	281	314
WP_002733579.1	lcl|NZ_AOHA02000018.1_cds_WP_004461234.1_2726	25.087	287	314
WP_002733579.1	lcl|NZ_AOHA02000061.1_cds_WP_004468319.1_1105	20.710	169	314
WP_026054882.1	lcl|NZ_AOHA02000086.1_cds_WP_004493782.1_52	89.315	365	365
WP_002733646.1	lcl|NZ_AOHA02000086.1_cds_WP_004493818.1_51	94.595	185	185
WP_002733646.1	lcl|NZ_AOHA02000017.1_cds_WP_004460143.1_2912	35.714	154	185
WP_258203953.1	lcl|NZ_AOHA02000086.1_cds_WP_004470124.1_50	93.902	328	329
WP_258203953.1	lcl|NZ_AOHA02000072.1_cds_WP_004465060.1_596	31.343	335	329
WP_258203953.1	lcl|NZ_AOHA02000041.1_cds_WP_004473914.1_1875	29.841	315	329
WP_258203953.1	lcl|NZ_AOHA02000018.1_cds_WP_004461234.1_2726	32.476	311	329
WP_258203953.1	lcl|NZ_AOHA02000061.1_cds_WP_004468319.1_1105	27.381	336	329
WP_258203953.1	lcl|NZ_AOHA02000005.1_cds_WP_032928188.1_3651	28.882	322	329
WP_258203953.1	lcl|NZ_AOHA02000018.1_cds_WP_004467290.1_2723	28.571	322	329
WP_258203953.1	lcl|NZ_AOHA02000086.1_cds_WP_004493815.1_47	31.128	257	329
WP_258203953.1	lcl|NZ_AOHA02000015.1_cds_WP_032928347.1_3013	25.217	345	329
WP_258203953.1	lcl|NZ_AOHA02000086.1_cds_WP_004472299.1_53	26.667	270	329
WP_258203953.1	lcl|NZ_AOHA02000048.1_cds_WP_004493178.1_1624	27.099	262	329
WP_258203953.1	lcl|NZ_AOHA02000072.1_cds_WP_004472277.1_578	26.050	238	329
WP_258203953.1	lcl|NZ_AOHA02000041.1_cds_WP_004483653.1_1970	24.773	331	329
WP_258203953.1	lcl|NZ_AOHA02000015.1_cds_WP_004492610.1_2961	27.869	244	329
WP_250066499.1	lcl|NZ_AOHA02000086.1_cds_WP_004472235.1_49	89.139	267	267
