WP_002725873.1	lcl|NZ_AKWQ02000047.1_cds_WP_004753574.1_1253	91.463	82	106
WP_002733579.1	lcl|NZ_AKWQ02000047.1_cds_WP_004779581.1_1252	91.720	314	314
WP_002733579.1	lcl|NZ_AKWQ02000019.1_cds_WP_004753565.1_2864	23.171	328	314
WP_002733579.1	lcl|NZ_AKWQ02000071.1_cds_WP_004780164.1_349	20.939	277	314
WP_002733579.1	lcl|NZ_AKWQ02000006.1_cds_WP_004778489.1_3726	22.776	281	314
WP_002733579.1	lcl|NZ_AKWQ02000071.1_cds_WP_004780151.1_347	20.900	311	314
WP_002733646.1	lcl|NZ_AKWQ02000031.1_cds_WP_004752075.1_2301	41.429	140	185
WP_002733646.1	lcl|NZ_AKWQ02000047.1_cds_WP_004779567.1_1220	34.463	177	185
WP_258203953.1	lcl|NZ_AKWQ02000071.1_cds_WP_004780164.1_349	30.841	321	329
WP_258203953.1	lcl|NZ_AKWQ02000019.1_cds_WP_004753565.1_2864	31.746	315	329
WP_258203953.1	lcl|NZ_AKWQ02000006.1_cds_WP_004778489.1_3726	31.045	335	329
WP_258203953.1	lcl|NZ_AKWQ02000044.1_cds_WP_004766600.1_1505	31.818	308	329
WP_258203953.1	lcl|NZ_AKWQ02000019.1_cds_WP_000649925.1_3024	30.183	328	329
WP_258203953.1	lcl|NZ_AKWQ02000071.1_cds_WP_004780151.1_347	28.710	310	329
WP_258203953.1	lcl|NZ_AKWQ02000044.1_cds_WP_004766610.1_1494	29.846	325	329
WP_258203953.1	lcl|NZ_AKWQ02000044.1_cds_LEP1GSC082_RS02000000228150_1527	30.222	225	329
WP_258203953.1	lcl|NZ_AKWQ02000047.1_cds_WP_004779581.1_1252	26.335	281	329
WP_258203953.1	lcl|NZ_AKWQ02000071.1_cds_WP_002759862.1_344	26.277	274	329
WP_258203953.1	lcl|NZ_AKWQ02000035.1_cds_WP_004765661.1_1942	25.984	254	329
WP_258203953.1	lcl|NZ_AKWQ02000076.1_cds_WP_004766127.1_173	29.213	267	329
WP_258203953.1	lcl|NZ_AKWQ02000069.1_cds_WP_004766563.1_423	25.573	262	329
WP_250066499.1	lcl|NZ_AKWQ02000071.1_cds_WP_004780153.1_348	27.706	231	267
WP_250066499.1	lcl|NZ_AKWQ02000006.1_cds_WP_004766678.1_3725	27.513	189	267
WP_250066499.1	lcl|NZ_AKWQ02000037.1_cds_WP_004779324.1_1842	28.342	187	267
WP_250066499.1	lcl|NZ_AKWQ02000062.1_cds_WP_004758210.1_694	27.660	188	267
WP_002740779.1	lcl|NZ_AKWQ02000076.1_cds_WP_004766085.1_244	25.223	337	509
WP_002740779.1	lcl|NZ_AKWQ02000076.1_cds_WP_004766128.1_243	31.111	90	509
