WP_002725873.1	lcl|NZ_AHQJ01000496.1_cds_WP_004753574.1_377	91.463	82	106
WP_002733579.1	lcl|NZ_AHQJ01000496.1_cds_WP_004761722.1_376	92.675	314	314
WP_002733579.1	lcl|NZ_AHQJ01000496.1_cds_WP_004755430.1_373	27.309	249	314
WP_002733579.1	lcl|NZ_AHQJ01000038.1_cds_WP_004753565.1_3301	23.171	328	314
WP_002733579.1	lcl|NZ_AHQJ01000281.1_cds_WP_016752924.1_1285	22.776	281	314
WP_002733579.1	lcl|NZ_AHQJ01000496.1_cds_WP_016753423.1_370	25.152	330	314
WP_026054882.1	lcl|NZ_AHQJ01000496.1_cds_WP_004777161.1_375	86.575	365	365
WP_002733646.1	lcl|NZ_AHQJ01000496.1_cds_WP_004766667.1_374	96.757	185	185
WP_002733646.1	lcl|NZ_AHQJ01000065.1_cds_WP_004752075.1_3068	41.429	140	185
WP_258203953.1	lcl|NZ_AHQJ01000496.1_cds_WP_004755430.1_373	98.480	329	329
WP_258203953.1	lcl|NZ_AHQJ01000038.1_cds_WP_004753565.1_3301	31.746	315	329
WP_258203953.1	lcl|NZ_AHQJ01000281.1_cds_WP_016752924.1_1285	31.045	335	329
WP_258203953.1	lcl|NZ_AHQJ01000285.1_cds_WP_004751543.1_1262	31.169	308	329
WP_258203953.1	lcl|NZ_AHQJ01000260.1_cds_WP_016752814.1_1527	30.816	331	329
WP_258203953.1	lcl|NZ_AHQJ01000285.1_cds_WP_004751412.1_1252	29.846	325	329
WP_258203953.1	lcl|NZ_AHQJ01000140.1_cds_WP_016752254.1_2753	27.941	340	329
WP_258203953.1	lcl|NZ_AHQJ01000496.1_cds_WP_016753423.1_370	29.316	307	329
WP_258203953.1	lcl|NZ_AHQJ01000496.1_cds_WP_004761722.1_376	26.866	268	329
WP_258203953.1	lcl|NZ_AHQJ01000092.1_cds_WP_002733698.1_2951	26.642	274	329
WP_258203953.1	lcl|NZ_AHQJ01000489.1_cds_WP_004755140.1_454	25.984	254	329
WP_258203953.1	lcl|NZ_AHQJ01000039.1_cds_WP_004751780.1_3291	29.213	267	329
WP_258203953.1	lcl|NZ_AHQJ01000241.1_cds_WP_004750263.1_1729	25.573	262	329
WP_258203953.1	lcl|NZ_AHQJ01000288.1_cds_WP_004755281.1_1230	27.984	243	329
WP_250066499.1	lcl|NZ_AHQJ01000496.1_cds_WP_004758405.1_372	95.506	267	267
WP_250066499.1	lcl|NZ_AHQJ01000281.1_cds_WP_016752925.1_1286	27.513	189	267
WP_250066499.1	lcl|NZ_AHQJ01000248.1_cds_WP_016752758.1_1654	33.929	112	267
WP_250066499.1	lcl|NZ_AHQJ01000010.1_cds_WP_016751817.1_3592	27.660	188	267
WP_002740779.1	lcl|NZ_AHQJ01000496.1_cds_WP_016753424.1_371	99.607	509	509
WP_002740779.1	lcl|NZ_AHQJ01000238.1_cds_WP_004751764.1_1780	25.758	330	509
WP_002740779.1	lcl|NZ_AHQJ01000238.1_cds_WP_004752264.1_1779	31.111	90	509
WP_002740779.1	lcl|NZ_AHQJ01000496.1_cds_WP_016753424.1_371	99.607	509	509
WP_002740779.1	lcl|NZ_AHQJ01000238.1_cds_WP_004751764.1_1780	25.758	330	509
WP_002740779.1	lcl|NZ_AHQJ01000238.1_cds_WP_004752264.1_1779	31.111	90	509
WP_250066500.1	lcl|NZ_AHQJ01000496.1_cds_WP_016753423.1_370	97.576	330	330
WP_250066500.1	lcl|NZ_AHQJ01000496.1_cds_WP_004755430.1_373	28.387	310	330
WP_250066500.1	lcl|NZ_AHQJ01000285.1_cds_WP_004751543.1_1262	25.461	271	330
WP_250066500.1	lcl|NZ_AHQJ01000281.1_cds_WP_016752924.1_1285	25.749	334	330
WP_250066500.1	lcl|NZ_AHQJ01000038.1_cds_WP_004753565.1_3301	26.250	320	330
WP_250066500.1	lcl|NZ_AHQJ01000489.1_cds_WP_004755140.1_454	26.693	251	330
WP_250066500.1	lcl|NZ_AHQJ01000260.1_cds_WP_016752814.1_1527	29.412	255	330
