WP_002725873.1	lcl|NZ_JQPW01000003.1_cds_WP_000340715.1_94	93.902	82	106
WP_002733579.1	lcl|NZ_JQPW01000003.1_cds_WP_000410273.1_95	92.994	314	314
WP_002733579.1	lcl|NZ_JQPW01000097.1_cds_WP_000744698.1_2617	23.171	328	314
WP_002733579.1	lcl|NZ_JQPW01000003.1_cds_WP_000646251.1_98	27.309	249	314
WP_002733579.1	lcl|NZ_JQPW01000061.1_cds_WP_000723090.1_1943	23.875	289	314
WP_002733579.1	lcl|NZ_JQPW01000003.1_cds_WP_001067557.1_101	24.540	326	314
WP_026054882.1	lcl|NZ_JQPW01000003.1_cds_WP_000604524.1_96	85.479	365	365
WP_002733646.1	lcl|NZ_JQPW01000003.1_cds_WP_000884059.1_97	95.676	185	185
WP_002733646.1	lcl|NZ_JQPW01000074.1_cds_WP_000351733.1_2231	40.714	140	185
WP_258203953.1	lcl|NZ_JQPW01000003.1_cds_WP_000646251.1_98	99.088	329	329
WP_258203953.1	lcl|NZ_JQPW01000097.1_cds_WP_000744698.1_2617	32.381	315	329
WP_258203953.1	lcl|NZ_JQPW01000061.1_cds_WP_000723090.1_1943	31.045	335	329
WP_258203953.1	lcl|NZ_JQPW01000001.1_cds_WP_002109435.1_37	31.148	305	329
WP_258203953.1	lcl|NZ_JQPW01000127.1_cds_WP_061237070.1_3130	30.183	328	329
WP_258203953.1	lcl|NZ_JQPW01000169.1_cds_WP_000709511.1_3608	29.730	333	329
WP_258203953.1	lcl|NZ_JQPW01000003.1_cds_WP_001067557.1_101	30.350	257	329
WP_258203953.1	lcl|NZ_JQPW01000001.1_cds_WP_000688696.1_17	29.329	283	329
WP_258203953.1	lcl|NZ_JQPW01000003.1_cds_WP_000475904.1_148	27.372	274	329
WP_258203953.1	lcl|NZ_JQPW01000003.1_cds_WP_000410273.1_95	25.705	319	329
WP_258203953.1	lcl|NZ_JQPW01000046.1_cds_WP_001074779.1_1646	29.057	265	329
WP_258203953.1	lcl|NZ_JQPW01000007.1_cds_WP_001003558.1_315	25.602	332	329
WP_258203953.1	lcl|NZ_JQPW01000003.1_cds_WP_000378097.1_118	24.419	172	329
WP_250066499.1	lcl|NZ_JQPW01000003.1_cds_WP_000774262.1_99	92.135	267	267
WP_250066499.1	lcl|NZ_JQPW01000061.1_cds_WP_000842260.1_1942	27.895	190	267
