WP_002725873.1	lcl|NZ_JADHZY010000003.1_cds_WP_002725873.1_2031	100.000	106	106
WP_002733579.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733579.1_2030	100.000	314	314
WP_002733579.1	lcl|NZ_JADHZY010000018.1_cds_WP_002722638.1_654	24.615	325	314
WP_002733579.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733534.1_2027	26.908	249	314
WP_002733579.1	lcl|NZ_JADHZY010000003.1_cds_WP_002740024.1_1936	23.132	281	314
WP_002733579.1	lcl|NZ_JADHZY010000002.1_cds_ISU80_RS00825_1413	25.649	308	314
WP_002733579.1	lcl|NZ_JADHZY010000009.1_cds_WP_002743770.1_3343	20.809	173	314
WP_002733579.1	lcl|NZ_JADHZY010000003.1_cds_WP_016749081.1_1998	24.503	151	314
WP_002733579.1	lcl|NZ_JADHZY010000003.1_cds_ISU80_RS02050_2024	24.848	330	314
WP_026054882.1	lcl|NZ_JADHZY010000003.1_cds_WP_026054882.1_2029	99.726	365	365
WP_002733646.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733646.1_2028	100.000	185	185
WP_002733646.1	lcl|NZ_JADHZY010000005.1_cds_WP_002721790.1_2827	36.364	154	185
WP_258203953.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733534.1_2027	98.784	329	329
WP_258203953.1	lcl|NZ_JADHZY010000018.1_cds_WP_002722638.1_654	30.159	315	329
WP_258203953.1	lcl|NZ_JADHZY010000003.1_cds_WP_002740024.1_1936	31.343	335	329
WP_258203953.1	lcl|NZ_JADHZY010000002.1_cds_ISU80_RS00825_1413	31.169	308	329
WP_258203953.1	lcl|NZ_JADHZY010000009.1_cds_WP_002743770.1_3343	27.566	341	329
WP_258203953.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733638.1_1990	27.586	348	329
WP_258203953.1	lcl|NZ_JADHZY010000002.1_cds_WP_002728316.1_1416	28.182	330	329
WP_258203953.1	lcl|NZ_JADHZY010000069.1_cds_WP_002741146.1_2925	29.167	312	329
WP_258203953.1	lcl|NZ_JADHZY010000003.1_cds_WP_002733546.1_1961	25.373	268	329
WP_258203953.1	lcl|NZ_JADHZY010000003.1_cds_ISU80_RS02050_2024	28.990	307	329
WP_258203953.1	lcl|NZ_JADHZY010000008.1_cds_WP_194492932.1_3293	25.664	339	329
