WP_002725873.1	lcl|NZ_JASEXA010000054.1_cds_WP_004462903.1_3143	97.561	82	106
WP_002733579.1	lcl|NZ_JASEXA010000054.1_cds_WP_282969326.1_3144	91.613	310	314
WP_002733579.1	lcl|NZ_JASEXA010000030.1_cds_WP_004461583.1_2583	23.692	325	314
WP_002733579.1	lcl|NZ_JASEXA010000077.1_cds_WP_282969373.1_3443	22.464	276	314
WP_002733579.1	lcl|NZ_JASEXA010000048.1_cds_WP_004481568.1_3001	23.457	243	314
WP_002733579.1	lcl|NZ_JASEXA010000023.1_cds_WP_004461234.1_2180	25.087	287	314
WP_002733579.1	lcl|NZ_JASEXA010000024.1_cds_WP_004468319.1_2229	20.710	169	314
WP_002733646.1	lcl|NZ_JASEXA010000006.1_cds_WP_004460143.1_708	35.714	154	185
WP_258203953.1	lcl|NZ_JASEXA010000096.1_cds_WP_004462894.1_3578	31.214	346	329
WP_258203953.1	lcl|NZ_JASEXA010000030.1_cds_WP_004461583.1_2583	29.841	315	329
WP_258203953.1	lcl|NZ_JASEXA010000023.1_cds_WP_004461234.1_2180	32.476	311	329
WP_258203953.1	lcl|NZ_JASEXA010000048.1_cds_WP_004481568.1_3001	31.045	335	329
WP_258203953.1	lcl|NZ_JASEXA010000077.1_cds_WP_282969373.1_3443	30.435	299	329
WP_258203953.1	lcl|NZ_JASEXA010000024.1_cds_WP_004468319.1_2229	27.381	336	329
WP_258203953.1	lcl|NZ_JASEXA010000001.1_cds_WP_282968917.1_78	29.193	322	329
WP_258203953.1	lcl|NZ_JASEXA010000023.1_cds_WP_004461242.1_2183	28.788	330	329
WP_258203953.1	lcl|NZ_JASEXA010000070.1_cds_WP_008394668.1_3379	25.000	268	329
WP_258203953.1	lcl|NZ_JASEXA010000011.1_cds_WP_282969019.1_1174	25.507	345	329
WP_258203953.1	lcl|NZ_JASEXA010000054.1_cds_WP_282969326.1_3144	26.667	270	329
WP_258203953.1	lcl|NZ_JASEXA010000087.1_cds_WP_004470510.1_3533	27.099	262	329
WP_258203953.1	lcl|NZ_JASEXA010000084.1_cds_WP_004479697.1_3508	25.630	238	329
WP_258203953.1	lcl|NZ_JASEXA010000062.1_cds_WP_004476349.1_3291	24.773	331	329
WP_258203953.1	lcl|NZ_JASEXA010000011.1_cds_WP_004472818.1_1227	27.869	244	329
WP_258203953.1	lcl|NZ_JASEXA010000070.1_cds_WP_004479573.1_3381	30.460	174	329
WP_250066499.1	lcl|NZ_JASEXA010000077.1_cds_WP_004491544.1_3448	26.289	194	267
WP_250066499.1	lcl|NZ_JASEXA010000070.1_cds_WP_004477718.1_3382	27.670	206	267
WP_250066499.1	lcl|NZ_JASEXA010000055.1_cds_WP_004477560.1_3155	31.313	198	267
WP_250066499.1	lcl|NZ_JASEXA010000048.1_cds_WP_004476528.1_3002	27.895	190	267
WP_250066499.1	lcl|NZ_JASEXA010000028.1_cds_WP_016754360.1_1887	26.344	186	267
WP_250066499.1	lcl|NZ_JASEXA010000024.1_cds_WP_004477855.1_2230	26.344	186	267
WP_002740779.1	lcl|NZ_JASEXA010000027.1_cds_WP_004483518.1_2428	26.687	326	509
WP_002740779.1	lcl|NZ_JASEXA010000027.1_cds_WP_004460640.1_2429	33.333	90	509
