WP_002725873.1	lcl|NZ_AFJN02000018.1_cds_WP_004462903.1_2121	97.561	82	106
WP_002733579.1	lcl|NZ_AFJN02000018.1_cds_WP_004464977.1_2122	91.935	310	314
WP_002733579.1	lcl|NZ_AFJN02000032.1_cds_WP_004461583.1_766	23.692	325	314
WP_002733579.1	lcl|NZ_AFJN02000018.1_cds_WP_004464967.1_2172	22.302	278	314
WP_002733579.1	lcl|NZ_AFJN02000018.1_cds_WP_004465002.1_2174	25.543	184	314
WP_002733579.1	lcl|NZ_AFJN02000018.1_cds_WP_004465060.1_2193	23.132	281	314
WP_002733579.1	lcl|NZ_AFJN02000038.1_cds_WP_004461234.1_467	25.087	287	314
WP_002733646.1	lcl|NZ_AFJN02000005.1_cds_WP_004460143.1_3276	35.714	154	185
WP_002733646.1	lcl|NZ_AFJN02000018.1_cds_WP_004465162.1_2155	34.463	177	185
WP_258203953.1	lcl|NZ_AFJN02000018.1_cds_WP_004464967.1_2172	31.776	321	329
WP_258203953.1	lcl|NZ_AFJN02000018.1_cds_WP_004465060.1_2193	31.343	335	329
WP_258203953.1	lcl|NZ_AFJN02000032.1_cds_WP_004461583.1_766	29.841	315	329
WP_258203953.1	lcl|NZ_AFJN02000038.1_cds_WP_004461234.1_467	32.476	311	329
WP_258203953.1	lcl|NZ_AFJN02000018.1_cds_WP_004465002.1_2174	30.164	305	329
WP_258203953.1	lcl|NZ_AFJN02000043.1_cds_WP_004472946.1_199	28.882	322	329
WP_258203953.1	lcl|NZ_AFJN02000030.1_cds_WP_004466638.1_1138	27.010	311	329
WP_258203953.1	lcl|NZ_AFJN02000038.1_cds_WP_004467290.1_470	28.571	322	329
WP_258203953.1	lcl|NZ_AFJN02000021.1_cds_WP_032914955.1_1988	25.507	345	329
WP_258203953.1	lcl|NZ_AFJN02000018.1_cds_WP_004464977.1_2122	26.667	270	329
WP_258203953.1	lcl|NZ_AFJN02000013.1_cds_WP_004464543.1_2755	27.099	262	329
WP_258203953.1	lcl|NZ_AFJN02000018.1_cds_WP_004465101.1_2176	25.993	277	329
WP_258203953.1	lcl|NZ_AFJN02000032.1_cds_WP_004467180.1_666	25.305	328	329
WP_258203953.1	lcl|NZ_AFJN02000032.1_cds_WP_004467130.1_572	27.459	244	329
