WP_000340715.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733653.1_3118	90.698	86	106
WP_000410273.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733579.1_3119	92.994	314	314
WP_000410273.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733534.1_3122	25.078	319	314
WP_000410273.1	lcl|NZ_JASUZS010000001.1_cds_WP_002722638.1_268	22.769	325	314
WP_000410273.1	lcl|NZ_JASUZS010000008.1_cds_WP_002727919.1_3214	24.555	281	314
WP_000410273.1	lcl|NZ_JASUZS010000003.1_cds_WP_002728309.1_2088	25.402	311	314
WP_000410273.1	lcl|NZ_JASUZS010000005.1_cds_WP_002729504.1_2655	22.353	170	314
WP_000410273.1	lcl|NZ_JASUZS010000008.1_cds_WP_016749081.1_3146	22.769	325	314
WP_000604524.1	lcl|NZ_JASUZS010000008.1_cds_WP_026054882.1_3120	85.479	365	365
WP_000884059.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733646.1_3121	95.676	185	185
WP_000884059.1	lcl|NZ_JASUZS010000006.1_cds_WP_002721790.1_2858	36.301	146	185
WP_000646256.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733534.1_3122	98.176	329	329
WP_000646256.1	lcl|NZ_JASUZS010000008.1_cds_WP_002727919.1_3214	30.746	335	329
WP_000646256.1	lcl|NZ_JASUZS010000001.1_cds_WP_002722638.1_268	29.841	315	329
WP_000646256.1	lcl|NZ_JASUZS010000003.1_cds_WP_002728309.1_2088	31.190	311	329
WP_000646256.1	lcl|NZ_JASUZS010000005.1_cds_WP_002729504.1_2655	27.273	341	329
WP_000646256.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733638.1_3154	27.586	348	329
WP_000646256.1	lcl|NZ_JASUZS010000003.1_cds_WP_002735602.1_2085	28.485	330	329
WP_000646256.1	lcl|NZ_JASUZS010000001.1_cds_WP_002732362.1_142	29.167	312	329
WP_000646256.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733546.1_3189	25.373	268	329
WP_000646256.1	lcl|NZ_JASUZS010000008.1_cds_WP_016749079.1_3125	29.316	307	329
WP_000646256.1	lcl|NZ_JASUZS010000001.1_cds_WP_002732331.1_53	25.959	339	329
WP_000646256.1	lcl|NZ_JASUZS010000008.1_cds_WP_002744551.1_3148	28.889	270	329
WP_000646256.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733579.1_3119	27.309	249	329
WP_000646256.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733698.1_3197	26.642	274	329
WP_000646256.1	lcl|NZ_JASUZS010000008.1_cds_WP_016749081.1_3146	23.659	317	329
WP_000646256.1	lcl|NZ_JASUZS010000007.1_cds_WP_002728462.1_2969	27.509	269	329
WP_000646256.1	lcl|NZ_JASUZS010000001.1_cds_WP_002732574.1_359	24.620	329	329
WP_000646256.1	lcl|NZ_JASUZS010000002.1_cds_WP_002728696.1_1487	27.309	249	329
WP_000646256.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733757.1_3187	31.034	174	329
WP_000774263.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733627.1_3123	92.884	267	267
WP_000774263.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733554.1_3186	24.701	251	267
WP_000774263.1	lcl|NZ_JASUZS010000008.1_cds_WP_002733775.1_3159	24.153	236	267
WP_000774263.1	lcl|NZ_JASUZS010000008.1_cds_WP_002727921.1_3215	26.455	189	267
WP_000774263.1	lcl|NZ_JASUZS010000009.1_cds_WP_002729040.1_3359	33.636	110	267
WP_000774263.1	lcl|NZ_JASUZS010000005.1_cds_WP_002729513.1_2654	26.455	189	267
WP_000774263.1	lcl|NZ_JASUZS010000017.1_cds_WP_002766579.1_1087	26.344	186	267
WP_002163445.1	lcl|NZ_JASUZS010000008.1_cds_WP_002738292.1_3124	96.267	509	509
WP_002163445.1	lcl|NZ_JASUZS010000007.1_cds_WP_002728536.1_3042	25.826	333	509
WP_002163445.1	lcl|NZ_JASUZS010000007.1_cds_WP_002728534.1_3041	31.111	90	509
