WP_000340715.1	lcl|NZ_JADDXN010000002.1_cds_WP_002725873.1_2365	91.860	86	106
WP_000410273.1	lcl|NZ_JADDXN010000002.1_cds_WP_061209188.1_2366	92.971	313	314
WP_000410273.1	lcl|NZ_JADDXN010000091.1_cds_WP_061208146.1_3150	23.077	325	314
WP_000410273.1	lcl|NZ_JADDXN010000186.1_cds_WP_061209097.1_1248	21.014	276	314
WP_000410273.1	lcl|NZ_JADDXN010000063.1_cds_WP_011671706.1_2756	24.199	281	314
WP_000410273.1	lcl|NZ_JADDXN010000068.1_cds_WP_061208650.1_2848	25.402	311	314
WP_000410273.1	lcl|NZ_JADDXN010000029.1_cds_WP_002729504.1_2379	22.353	170	314
WP_000884059.1	lcl|NZ_JADDXN010000178.1_cds_WP_002750963.1_1107	36.301	146	185
WP_000646256.1	lcl|NZ_JADDXN010000002.1_cds_WP_061208754.1_2370	32.738	336	329
WP_000646256.1	lcl|NZ_JADDXN010000063.1_cds_WP_011671706.1_2756	31.642	335	329
WP_000646256.1	lcl|NZ_JADDXN010000091.1_cds_WP_061208146.1_3150	30.476	315	329
WP_000646256.1	lcl|NZ_JADDXN010000068.1_cds_WP_061208650.1_2848	31.511	311	329
WP_000646256.1	lcl|NZ_JADDXN010000186.1_cds_WP_061209097.1_1248	31.126	302	329
WP_000646256.1	lcl|NZ_JADDXN010000029.1_cds_WP_002729504.1_2379	27.273	341	329
WP_000646256.1	lcl|NZ_JADDXN010000068.1_cds_WP_002754065.1_2845	28.485	330	329
WP_000646256.1	lcl|NZ_JADDXN010000087.1_cds_WP_061207995.1_3073	29.712	313	329
WP_000646256.1	lcl|NZ_JADDXN010000027.1_cds_WP_061208029.1_2315	25.000	268	329
WP_000646256.1	lcl|NZ_JADDXN010000002.1_cds_WP_061209188.1_2366	27.309	249	329
WP_000646256.1	lcl|NZ_JADDXN010000027.1_cds_WP_061208022.1_2323	26.642	274	329
WP_000646256.1	lcl|NZ_JADDXN010000225.1_cds_WP_002751102.1_1713	27.509	269	329
WP_000646256.1	lcl|NZ_JADDXN010000047.1_cds_IQA77_RS03165_2603	29.054	148	329
WP_000646256.1	lcl|NZ_JADDXN010000016.1_cds_WP_011669202.1_1174	24.332	337	329
WP_000646256.1	lcl|NZ_JADDXN010000027.1_cds_WP_061208031.1_2313	30.460	174	329
WP_000646256.1	lcl|NZ_JADDXN010000126.1_cds_WP_061208495.1_424	27.490	251	329
WP_000774263.1	lcl|NZ_JADDXN010000186.1_cds_WP_061209102.1_1243	23.830	235	267
WP_000774263.1	lcl|NZ_JADDXN010000027.1_cds_WP_061208032.1_2312	25.100	251	267
WP_000774263.1	lcl|NZ_JADDXN010000063.1_cds_WP_061208084.1_2755	26.455	189	267
WP_000774263.1	lcl|NZ_JADDXN010000044.1_cds_WP_061208961.1_2583	33.636	110	267
WP_000774263.1	lcl|NZ_JADDXN010000029.1_cds_WP_061209013.1_2380	26.455	189	267
