WP_000340715.1	lcl|NZ_JQRD01000006.1_cds_WP_000340715.1_59	100.000	86	106
WP_000410273.1	lcl|NZ_JQRD01000006.1_cds_WP_004421326.1_60	94.268	314	314
WP_000410273.1	lcl|NZ_JQRD01000006.1_cds_WP_004434477.1_86	22.556	266	314
WP_000410273.1	lcl|NZ_JQRD01000006.1_cds_WP_061231970.1_63	26.332	319	314
WP_000410273.1	lcl|NZ_JQRD01000001.1_cds_WP_004419974.1_32	24.383	324	314
WP_000410273.1	lcl|NZ_JQRD01000187.1_cds_WP_004421482.1_2203	24.138	290	314
WP_000410273.1	lcl|NZ_JQRD01000164.1_cds_WP_198289136.1_2032	22.826	276	314
WP_000604524.1	lcl|NZ_JQRD01000006.1_cds_WP_004421179.1_61	90.411	365	365
WP_000884059.1	lcl|NZ_JQRD01000006.1_cds_WP_004421442.1_62	96.216	185	185
WP_000884059.1	lcl|NZ_JQRD01000136.1_cds_WP_004424034.1_1751	40.714	140	185
WP_000646256.1	lcl|NZ_JQRD01000006.1_cds_WP_061231970.1_63	96.353	329	329
WP_000646256.1	lcl|NZ_JQRD01000187.1_cds_WP_004421482.1_2203	31.642	335	329
WP_000646256.1	lcl|NZ_JQRD01000001.1_cds_WP_004419974.1_32	30.794	315	329
WP_000646256.1	lcl|NZ_JQRD01000164.1_cds_WP_198289136.1_2032	31.373	306	329
WP_000646256.1	lcl|NZ_JQRD01000006.1_cds_WP_004434771.1_77	30.149	335	329
WP_000646256.1	lcl|NZ_JQRD01000066.1_cds_WP_061232257.1_846	28.994	338	329
WP_000646256.1	lcl|NZ_JQRD01000299.1_cds_WP_061233374.1_2973	30.462	325	329
WP_000646256.1	lcl|NZ_JQRD01000006.1_cds_WP_004421253.1_66	29.316	307	329
WP_000646256.1	lcl|NZ_JQRD01000033.1_cds_WP_061232122.1_448	27.174	276	329
WP_000646256.1	lcl|NZ_JQRD01000006.1_cds_WP_004421326.1_60	26.119	268	329
WP_000646256.1	lcl|NZ_JQRD01000187.1_cds_WP_061233014.1_2186	26.642	274	329
WP_000646256.1	lcl|NZ_JQRD01000006.1_cds_WP_004434477.1_86	27.602	221	329
WP_000646256.1	lcl|NZ_JQRD01000009.1_cds_WP_004436914.1_123	28.090	267	329
WP_000646256.1	lcl|NZ_JQRD01000107.1_cds_WP_061232642.1_1400	25.191	262	329
WP_000646256.1	lcl|NZ_JQRD01000369.1_cds_WP_004432019.1_3311	24.620	329	329
WP_000646256.1	lcl|NZ_JQRD01000144.1_cds_WP_061232868.1_1875	27.160	243	329
WP_000774263.1	lcl|NZ_JQRD01000006.1_cds_WP_004421408.1_64	94.382	267	267
WP_000774263.1	lcl|NZ_JQRD01000187.1_cds_WP_004430538.1_2204	26.455	189	267
WP_000774263.1	lcl|NZ_JQRD01000312.1_cds_WP_061233395.1_3033	33.071	127	267
WP_000774263.1	lcl|NZ_JQRD01000038.1_cds_WP_004456362.1_513	37.209	86	267
WP_002163445.1	lcl|NZ_JQRD01000006.1_cds_WP_004420971.1_65	95.294	510	509
WP_002163445.1	lcl|NZ_JQRD01000076.1_cds_WP_061232297.1_954	27.864	323	509
WP_002163445.1	lcl|NZ_JQRD01000076.1_cds_WP_002148203.1_955	31.111	90	509
WP_002163445.1	lcl|NZ_JQRD01000006.1_cds_WP_004420971.1_65	95.294	510	509
WP_002163445.1	lcl|NZ_JQRD01000076.1_cds_WP_061232297.1_954	27.864	323	509
WP_002163445.1	lcl|NZ_JQRD01000076.1_cds_WP_002148203.1_955	31.111	90	509
WP_001067556.1	lcl|NZ_JQRD01000006.1_cds_WP_004421253.1_66	96.061	330	330
WP_001067556.1	lcl|NZ_JQRD01000006.1_cds_WP_061231970.1_63	29.804	255	330
WP_001067556.1	lcl|NZ_JQRD01000164.1_cds_WP_198289136.1_2032	26.568	271	330
WP_001067556.1	lcl|NZ_JQRD01000187.1_cds_WP_004421482.1_2203	25.287	348	330
