WP_000340715.1	lcl|NZ_AKWH02000012.1_cds_WP_000340713.1_3311	95.349	86	106
WP_000410273.1	lcl|NZ_AKWH02000012.1_cds_WP_004768487.1_3310	95.161	310	314
WP_000410273.1	lcl|NZ_AKWH02000008.1_cds_WP_004753565.1_3621	24.691	324	314
WP_000410273.1	lcl|NZ_AKWH02000012.1_cds_WP_004768436.1_3264	22.680	291	314
WP_000410273.1	lcl|NZ_AKWH02000012.1_cds_WP_004755262.1_3237	23.843	281	314
WP_000410273.1	lcl|NZ_AKWH02000012.1_cds_WP_004768472.1_3262	21.474	312	314
WP_000410273.1	lcl|NZ_AKWH02000021.1_cds_WP_004751543.1_2723	24.359	234	314
WP_000884059.1	lcl|NZ_AKWH02000043.1_cds_WP_004752075.1_1375	40.714	140	185
WP_000884059.1	lcl|NZ_AKWH02000012.1_cds_WP_002725884.1_3281	34.463	177	185
WP_000646256.1	lcl|NZ_AKWH02000012.1_cds_WP_004768436.1_3264	30.721	319	329
WP_000646256.1	lcl|NZ_AKWH02000008.1_cds_WP_004753565.1_3621	31.429	315	329
WP_000646256.1	lcl|NZ_AKWH02000012.1_cds_WP_004755262.1_3237	31.045	335	329
WP_000646256.1	lcl|NZ_AKWH02000021.1_cds_WP_004751543.1_2723	31.494	308	329
WP_000646256.1	lcl|NZ_AKWH02000072.1_cds_WP_004768899.1_449	30.816	331	329
WP_000646256.1	lcl|NZ_AKWH02000012.1_cds_WP_004768472.1_3262	28.155	309	329
WP_000646256.1	lcl|NZ_AKWH02000021.1_cds_WP_004762820.1_2712	29.909	331	329
WP_000646256.1	lcl|NZ_AKWH02000027.1_cds_WP_004769131.1_2491	27.729	339	329
WP_000646256.1	lcl|NZ_AKWH02000012.1_cds_WP_004768487.1_3310	26.786	280	329
WP_000646256.1	lcl|NZ_AKWH02000012.1_cds_WP_002759862.1_3259	26.277	274	329
WP_000646256.1	lcl|NZ_AKWH02000015.1_cds_WP_004768084.1_3104	25.820	244	329
WP_000646256.1	lcl|NZ_AKWH02000018.1_cds_WP_004769914.1_2915	29.057	265	329
WP_000646256.1	lcl|NZ_AKWH02000077.1_cds_WP_004750263.1_281	25.573	262	329
WP_000646256.1	lcl|NZ_AKWH02000073.1_cds_WP_004771695.1_350	27.984	243	329
WP_000774263.1	lcl|NZ_AKWH02000012.1_cds_WP_002725899.1_3263	29.293	198	267
WP_000774263.1	lcl|NZ_AKWH02000012.1_cds_WP_004754191.1_3236	25.926	189	267
WP_000774263.1	lcl|NZ_AKWH02000027.1_cds_WP_004760150.1_2469	27.979	193	267
WP_000774263.1	lcl|NZ_AKWH02000003.1_cds_WP_004758210.1_3967	37.209	86	267
WP_002163445.1	lcl|NZ_AKWH02000018.1_cds_WP_004751764.1_2987	27.554	323	509
WP_002163445.1	lcl|NZ_AKWH02000018.1_cds_WP_004767754.1_2986	31.111	90	509
WP_002163445.1	lcl|NZ_AKWH02000018.1_cds_WP_004751764.1_2987	27.554	323	509
WP_002163445.1	lcl|NZ_AKWH02000018.1_cds_WP_004767754.1_2986	31.111	90	509
WP_001067556.1	lcl|NZ_AKWH02000021.1_cds_WP_004751543.1_2723	26.568	271	330
WP_001067556.1	lcl|NZ_AKWH02000012.1_cds_WP_004768436.1_3264	23.273	275	330
WP_001067556.1	lcl|NZ_AKWH02000012.1_cds_WP_004755262.1_3237	24.642	349	330
WP_001067556.1	lcl|NZ_AKWH02000015.1_cds_WP_004768084.1_3104	27.572	243	330
WP_001067556.1	lcl|NZ_AKWH02000008.1_cds_WP_004753565.1_3621	26.812	276	330
WP_001067556.1	lcl|NZ_AKWH02000072.1_cds_WP_004768899.1_449	28.854	253	330
WP_001067556.1	lcl|NZ_AKWH02000027.1_cds_WP_004769131.1_2491	25.551	227	330
WP_001067556.1	lcl|NZ_AKWH02000073.1_cds_WP_004771695.1_350	23.973	292	330
WP_000424609.1	lcl|NZ_AKWH02000032.1_cds_WP_004770258.1_2267	41.975	243	264
WP_000424609.1	lcl|NZ_AKWH02000023.1_cds_WP_004754016.1_2650	28.824	170	264
WP_002074065.1	lcl|NZ_AKWH02000068.1_cds_WP_004771458.1_645	39.590	293	310
WP_002074065.1	lcl|NZ_AKWH02000023.1_cds_WP_004754016.1_2650	25.246	305	310
WP_002074065.1	lcl|NZ_AKWH02000043.1_cds_WP_004752420.1_1307	25.792	221	310
WP_002074065.1	lcl|NZ_AKWH02000068.1_cds_WP_004771458.1_645	39.590	293	310
WP_002074065.1	lcl|NZ_AKWH02000023.1_cds_WP_004754016.1_2650	25.246	305	310
WP_002074065.1	lcl|NZ_AKWH02000043.1_cds_WP_004752420.1_1307	25.792	221	310
WP_001088863.1	lcl|NZ_AKWH02000004.1_cds_WP_004756253.1_3903	46.429	56	144
WP_000517243.1	lcl|NZ_AKWH02000008.1_cds_WP_004769551.1_3592	26.923	78	221
WP_000517243.1	lcl|NZ_AKWH02000068.1_cds_WP_004751308.1_629	29.703	101	221
WP_001149938.1	lcl|NZ_AKWH02000068.1_cds_WP_004763473.1_628	24.057	212	393
